myotis_lucifugus ENSMLUG00000012039
erinaceus_europaeus ENSEEUG00000003786
bos_taurus ENSBTAG00000016077
bos_mutus ENSBMUG00000016323
bison_bison_bison ENSBBBG00000018299
capra_hircus ENSCHIG00000015369
ovis_aries ENSOARG00000013237
tursiops_truncatus ENSTTRG00000002210
sus_scrofa ENSSSCG00000032506
vulpes_vulpes ENSVVUG00000028287
canis_lupus_dingo ENSCAFG00020023398
canis_lupus_familiaris ENSCAFG00000018071
ursus_maritimus ENSUMAG00000014213
ursus_americanus ENSUAMG00000014479
ailuropoda_melanoleuca ENSAMEG00000008136
mustela_putorius_furo ENSMPUG00000008631
neovison_vison ENSNVIG00000015355
panthera_tigris_altaica ENSPTIG00000016461
panthera_pardus ENSPPRG00000014318
felis_catus ENSFCAG00000005824
equus_asinus_asinus ENSEASG00005020307
equus_caballus ENSECAG00000022001
pan_paniscus ENSPPAG00000034111
pan_troglodytes ENSPTRG00000042436
homo_sapiens ENSG00000130803
pongo_abelii ENSPPYG00000009520
nomascus_leucogenys ENSNLEG00000029885
colobus_angolensis_palliatus ENSCANG00000035769
piliocolobus_tephrosceles ENSPTEG00000031867
rhinopithecus_roxellana ENSRROG00000045625
rhinopithecus_bieti ENSRBIG00000027750
cercocebus_atys ENSCATG00000035588
mandrillus_leucophaeus ENSMLEG00000040922
papio_anubis ENSPANG00000007764
theropithecus_gelada ENSTGEG00000022884
macaca_fascicularis ENSMFAG00000036858
macaca_mulatta ENSMMUG00000020841
macaca_nemestrina ENSMNEG00000026253
chlorocebus_sabaeus ENSCSAG00000007764
cebus_capucinus ENSCCAG00000018106
saimiri_boliviensis_boliviensis ENSSBOG00000018054
callithrix_jacchus ENSCJAG00000006214
aotus_nancymaae ENSANAG00000023090
carlito_syrichta ENSTSYG00000029979
prolemur_simus ENSPSMG00000024517
propithecus_coquereli ENSPCOG00000017287
microcebus_murinus ENSMICG00000031730
otolemur_garnettii ENSOGAG00000011129
peromyscus_maniculatus_bairdii ENSPEMG00000014576
microtus_ochrogaster ENSMOCG00000000804
cricetulus_griseus_chok1gshd ENSCGRG00001012515
cricetulus_griseus_crigri-picr ENSCGRG00015023820
cricetulus_griseus_crigri ENSCGRG00000008133
mesocricetus_auratus ENSMAUG00000012374
mesocricetus_auratus ENSMAUG00000000162
mus_spicilegus ENSMSIG00000000744
mus_musculus ENSMUSG00000057551
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032948
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031827
mus_pahari MGP_PahariEiJ_G0014694
rattus_norvegicus ENSRNOG00000006684
meriones_unguiculatus ENSMUGG00000008874
nannospalax_galili ENSNGAG00000016891
castor_canadensis ENSCCNG00000017151
dipodomys_ordii ENSDORG00000011612
ictidomys_tridecemlineatus ENSSTOG00000021569
spermophilus_dauricus ENSSDAG00000019113
urocitellus_parryii ENSUPAG00010002455
marmota_marmota_marmota ENSMMMG00000021845
cavia_aperea ENSCAPG00000003392
cavia_porcellus ENSCPOG00000003954
chinchilla_lanigera ENSCLAG00000013328
heterocephalus_glaber_female ENSHGLG00000011841
heterocephalus_glaber_male ENSHGLG00100001617
fukomys_damarensis ENSFDAG00000006054
octodon_degus ENSODEG00000016488
sorex_araneus ENSSARG00000010025
oryctolagus_cuniculus ENSOCUG00000007715
ochotona_princeps ENSOPRG00000014061
oryctolagus_cuniculus ENSOCUG00000013499
choloepus_hoffmanni ENSCHOG00000004080
dasypus_novemcinctus ENSDNOG00000044751
loxodonta_africana ENSLAFG00000002806
echinops_telfairi ENSETEG00000005251
