parus_major ENSPMJG00000005320
cyanistes_caeruleus ENSCCEG00000009962
coturnix_japonica ENSCJPG00005006641
melopsittacus_undulatus ENSMUNG00000006226
calidris_pugnax ENSCPUG00000016579
lonchura_striata ENSLSDG00000010446
serinus_canaria ENSSCAG00000002362
zonotrichia_albicollis ENSZALG00000008918
junco_hyemalis ENSJHYG00000017113
manacus_vitellinus ENSMVIG00005015845
anas_platyrhynchos ENSAPLG00000027946
apteryx_owenii ENSAOWG00000015182
apteryx_haastii ENSAHAG00000005768
apteryx_rowi ENSARWG00000015619
dromaius_novaehollandiae ENSDNVG00000008996
anser_brachyrhynchus ENSABRG00000008625
lepidothrix_coronata ENSLCOG00000004297
crocodylus_porosus ENSCPRG00005018430
chrysemys_picta ENSCPBG00000007142
chelonoidis_abingdonii ENSCABG00000006920
salvator_merianae ENSSMRG00000011033
nothoprocta_perdicaria ENSNPEG00000005614
calidris_pygmaea ENSCPGG00000004921
gopherus_agassizii ENSGAGG00000017052
sphenodon_punctatus ENSSPUG00000013060
phascolarctos_cinereus ENSPCIG00000026894
castor_canadensis ENSCCNG00000005482
ictalurus_punctatus ENSIPUG00000014793
