otolemur_garnettii ENSOGAG00000006132
oryctolagus_cuniculus ENSOCUG00000008028
heterocephalus_glaber_male ENSHGLG00100012886
heterocephalus_glaber_female ENSHGLG00000008337
castor_canadensis ENSCCNG00000018528
mus_pahari MGP_PahariEiJ_G0022189
meriones_unguiculatus ENSMUGG00000003586
mus_spicilegus ENSMSIG00000010214
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029452
mus_musculus ENSMUSG00000055430
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028448
rattus_norvegicus ENSRNOG00000007808
cricetulus_griseus_crigri-picr ENSCGRG00015024682
cricetulus_griseus_crigri ENSCGRG00000018608
cricetulus_griseus_chok1gshd ENSCGRG00001005879
mesocricetus_auratus ENSMAUG00000016101
peromyscus_maniculatus_bairdii ENSPEMG00000027573
microtus_ochrogaster ENSMOCG00000006906
nannospalax_galili ENSNGAG00000019469
jaculus_jaculus ENSJJAG00000015528
microcebus_murinus ENSMICG00000030185
prolemur_simus ENSPSMG00000002498
ictidomys_tridecemlineatus ENSSTOG00000023534
urocitellus_parryii ENSUPAG00010010247
marmota_marmota_marmota ENSMMMG00000006213
spermophilus_dauricus ENSSDAG00000000320
theropithecus_gelada ENSTGEG00000005223
chlorocebus_sabaeus ENSCSAG00000000411
piliocolobus_tephrosceles ENSPTEG00000021344
homo_sapiens ENSG00000177432
cercocebus_atys ENSCATG00000039043
mandrillus_leucophaeus ENSMLEG00000042654
papio_anubis ENSPANG00000000430
macaca_nemestrina ENSMNEG00000042035
macaca_fascicularis ENSMFAG00000032406
macaca_mulatta ENSMMUG00000010140
rhinopithecus_roxellana ENSRROG00000028999
rhinopithecus_bieti ENSRBIG00000009898
colobus_angolensis_palliatus ENSCANG00000030073
pan_paniscus ENSPPAG00000040579
pan_troglodytes ENSPTRG00000016277
gorilla_gorilla ENSGGOG00000023308
nomascus_leucogenys ENSNLEG00000018566
aotus_nancymaae ENSANAG00000007129
ailuropoda_melanoleuca ENSAMEG00000020110
mustela_putorius_furo ENSMPUG00000002166
bos_mutus ENSBMUG00000020609
bos_taurus ENSBTAG00000010128
bison_bison_bison ENSBBBG00000010839
ovis_aries ENSOARG00000000433
capra_hircus ENSCHIG00000020207
tursiops_truncatus ENSTTRG00000003907
vicugna_pacos ENSVPAG00000001432
pteropus_vampyrus ENSPVAG00000001131
canis_lupus_familiaris ENSCAFG00000009805
canis_lupus_dingo ENSCAFG00020007002
ursus_maritimus ENSUMAG00000004470
panthera_tigris_altaica ENSPTIG00000001643
myotis_lucifugus ENSMLUG00000012266
neovison_vison ENSNVIG00000022171
vulpes_vulpes ENSVVUG00000007916
ursus_americanus ENSUAMG00000006811
equus_caballus ENSECAG00000001741
equus_asinus_asinus ENSEASG00005012607
choloepus_hoffmanni ENSCHOG00000012777
