labrus_bergylta ENSLBEG00000027548
gasterosteus_aculeatus ENSGACG00000010801
tetraodon_nigroviridis ENSTNIG00000007463
takifugu_rubripes ENSTRUG00000020287
mola_mola ENSMMOG00000007503
amphiprion_percula ENSAPEG00000002589
amphiprion_ocellaris ENSAOCG00000024715
acanthochromis_polyacanthus ENSAPOG00000005144
stegastes_partitus ENSSPAG00000008049
haplochromis_burtoni ENSHBUG00000013152
pundamilia_nyererei ENSPNYG00000000484
maylandia_zebra ENSMZEG00005027368
astatotilapia_calliptera ENSACLG00000024231
neolamprologus_brichardi ENSNBRG00000012851
oreochromis_niloticus ENSONIG00000000951
amphilophus_citrinellus ENSACIG00000009959
xiphophorus_maculatus ENSXMAG00000022307
xiphophorus_couchianus ENSXCOG00000013368
gambusia_affinis ENSGAFG00000019667
poecilia_formosa ENSPFOG00000010614
poecilia_latipinna ENSPLAG00000002145
poecilia_mexicana ENSPMEG00000018552
poecilia_reticulata ENSPREG00000003223
kryptolebias_marmoratus ENSKMAG00000003561
oryzias_latipes ENSORLG00020012806
oryzias_latipes ENSORLG00000026596
oryzias_latipes_asm223469v1 ENSORLG00015018637
seriola_dumerili ENSSDUG00000018396
seriola_lalandi_dorsalis ENSSLDG00000023232
monopterus_albus ENSMALG00000001598
mastacembelus_armatus ENSMAMG00000021924
anabas_testudineus ENSATEG00000010905
cynoglossus_semilaevis ENSCSEG00000000852
esox_lucius ENSELUG00000004849
