panthera_tigris_altaica ENSPTIG00000009962
panthera_pardus ENSPPRG00000021015
ursus_americanus ENSUAMG00000001969
ursus_maritimus ENSUMAG00000003437
bos_taurus ENSBTAG00000052661
bos_mutus ENSBMUG00000022702
bison_bison_bison ENSBBBG00000001825
spermophilus_dauricus ENSSDAG00000016673
urocitellus_parryii ENSUPAG00010015508
marmota_marmota_marmota ENSMMMG00000018484
peromyscus_maniculatus_bairdii ENSPEMG00000025563
pan_troglodytes ENSPTRG00000044155
pan_paniscus ENSPPAG00000007845
nomascus_leucogenys ENSNLEG00000036090
colobus_angolensis_palliatus ENSCANG00000001764
piliocolobus_tephrosceles ENSPTEG00000030340
rhinopithecus_roxellana ENSRROG00000026425
macaca_mulatta ENSMMUG00000047403
macaca_nemestrina ENSMNEG00000024553
macaca_fascicularis ENSMFAG00000009021
mandrillus_leucophaeus ENSMLEG00000027774
cercocebus_atys ENSCATG00000016400
theropithecus_gelada ENSTGEG00000027076
rhinopithecus_bieti ENSRBIG00000024015
papio_anubis ENSPANG00000029584
gorilla_gorilla ENSGGOG00000043459
saimiri_boliviensis_boliviensis ENSSBOG00000013153
prolemur_simus ENSPSMG00000018245
phascolarctos_cinereus ENSPCIG00000019238
