equus_caballus ENSECAG00000029160
pteropus_vampyrus ENSPVAG00000005150
sus_scrofa ENSSSCG00000036693
vicugna_pacos ENSVPAG00000000944
tursiops_truncatus ENSTTRG00000015342
ursus_maritimus ENSUMAG00000009914
ursus_americanus ENSUAMG00000012109
mustela_putorius_furo ENSMPUG00000002153
neovison_vison ENSNVIG00000005361
vulpes_vulpes ENSVVUG00000011989
panthera_pardus ENSPPRG00000004365
panthera_tigris_altaica ENSPTIG00000012584
felis_catus ENSFCAG00000043907
prolemur_simus ENSPSMG00000016205
microcebus_murinus ENSMICG00000042550
otolemur_garnettii ENSOGAG00000027640
pan_troglodytes ENSPTRG00000029588
pan_paniscus ENSPPAG00000034612
homo_sapiens ENSG00000274349
pongo_abelii ENSPPYG00000019045
nomascus_leucogenys ENSNLEG00000004367
rhinopithecus_roxellana ENSRROG00000029483
rhinopithecus_roxellana ENSRROG00000032662
rhinopithecus_bieti ENSRBIG00000039200
colobus_angolensis_palliatus ENSCANG00000035844
colobus_angolensis_palliatus ENSCANG00000033198
piliocolobus_tephrosceles ENSPTEG00000008799
cercocebus_atys ENSCATG00000032510
mandrillus_leucophaeus ENSMLEG00000030109
papio_anubis ENSPANG00000024644
theropithecus_gelada ENSTGEG00000003905
macaca_fascicularis ENSMFAG00000030164
macaca_mulatta ENSMMUG00000007614
macaca_nemestrina ENSMNEG00000042531
chlorocebus_sabaeus ENSCSAG00000006965
cebus_capucinus ENSCCAG00000023430
saimiri_boliviensis_boliviensis ENSSBOG00000024932
callithrix_jacchus ENSCJAG00000011340
aotus_nancymaae ENSANAG00000022878
spermophilus_dauricus ENSSDAG00000019382
ictidomys_tridecemlineatus ENSSTOG00000030701
marmota_marmota_marmota ENSMMMG00000006452
urocitellus_parryii ENSUPAG00010007616
castor_canadensis ENSCCNG00000030993
dasypus_novemcinctus ENSDNOG00000004257
