oryzias_melastigma ENSOMEG00000020971
oryzias_latipes ENSORLG00020001887
poecilia_reticulata ENSPREG00000004492
amphiprion_ocellaris ENSAOCG00000019415
neolamprologus_brichardi ENSNBRG00000006158
paramormyrops_kingsleyae ENSPKIG00000001901
salvator_merianae ENSSMRG00000014601
ciona_intestinalis ENSCING00000022287
ciona_savignyi ENSCSAVG00000003640
ciona_intestinalis ENSCING00000014877
ciona_intestinalis ENSCING00000014919
ciona_intestinalis ENSCING00000022805
ciona_savignyi ENSCSAVG00000005699
latimeria_chalumnae ENSLACG00000011413
oryzias_latipes ENSORLG00020013831
ciona_savignyi ENSCSAVG00000005982
