papio_anubis ENSPANG00000035618
nomascus_leucogenys ENSNLEG00000032110
rhinopithecus_bieti ENSRBIG00000033102
rhinopithecus_roxellana ENSRROG00000034857
piliocolobus_tephrosceles ENSPTEG00000024964
colobus_angolensis_palliatus ENSCANG00000041141
theropithecus_gelada ENSTGEG00000029452
cercocebus_atys ENSCATG00000037729
mandrillus_leucophaeus ENSMLEG00000035779
macaca_fascicularis ENSMFAG00000001411
macaca_nemestrina ENSMNEG00000039758
macaca_mulatta ENSMMUG00000037463
pan_paniscus ENSPPAG00000027710
pan_troglodytes ENSPTRG00000018027
gorilla_gorilla ENSGGOG00000005838
aotus_nancymaae ENSANAG00000022510
saimiri_boliviensis_boliviensis ENSSBOG00000034712
propithecus_coquereli ENSPCOG00000016191
panthera_pardus ENSPPRG00000003175
panthera_tigris_altaica ENSPTIG00000006002
felis_catus ENSFCAG00000043099
