fundulus_heteroclitus ENSFHEG00000020130
cyprinodon_variegatus ENSCVAG00000014692
xiphophorus_maculatus ENSXMAG00000011518
xiphophorus_couchianus ENSXCOG00000004111
gambusia_affinis ENSGAFG00000004136
poecilia_mexicana ENSPMEG00000015944
poecilia_formosa ENSPFOG00000014883
poecilia_latipinna ENSPLAG00000004162
poecilia_reticulata ENSPREG00000020427
oryzias_latipes ENSORLG00000008682
oryzias_latipes ENSORLG00020004801
oryzias_latipes_asm223469v1 ENSORLG00015021506
oryzias_melastigma ENSOMEG00000019182
neolamprologus_brichardi ENSNBRG00000005766
neolamprologus_brichardi ENSNBRG00000011494
haplochromis_burtoni ENSHBUG00000002169
astatotilapia_calliptera ENSACLG00000024077
maylandia_zebra ENSMZEG00005021086
pundamilia_nyererei ENSPNYG00000020778
oreochromis_niloticus ENSONIG00000012529
amphilophus_citrinellus ENSACIG00000009743
periophthalmus_magnuspinnatus ENSPMGG00000004557
takifugu_rubripes ENSTRUG00000005273
tetraodon_nigroviridis ENSTNIG00000007416
gasterosteus_aculeatus ENSGACG00000018902
seriola_dumerili ENSSDUG00000014937
seriola_lalandi_dorsalis ENSSLDG00000008081
amphiprion_percula ENSAPEG00000024029
amphiprion_ocellaris ENSAOCG00000004158
acanthochromis_polyacanthus ENSAPOG00000013955
stegastes_partitus ENSSPAG00000012763
kryptolebias_marmoratus ENSKMAG00000010818
scophthalmus_maximus ENSSMAG00000015781
cynoglossus_semilaevis ENSCSEG00000017376
mola_mola ENSMMOG00000020651
labrus_bergylta ENSLBEG00000002181
monopterus_albus ENSMALG00000008851
mastacembelus_armatus ENSMAMG00000011802
anabas_testudineus ENSATEG00000012425
hippocampus_comes ENSHCOG00000013282
gadus_morhua ENSGMOG00000018272
esox_lucius ENSELUG00000008942
astyanax_mexicanus ENSAMXG00000006784
pygocentrus_nattereri ENSPNAG00000027512
ictalurus_punctatus ENSIPUG00000021795
danio_rerio ENSDARG00000035167
scleropages_formosus ENSSFOG00015002052
paramormyrops_kingsleyae ENSPKIG00000024210
lepisosteus_oculatus ENSLOCG00000006190
pogona_vitticeps ENSPVIG00000011640
anolis_carolinensis ENSACAG00000006382
notechis_scutatus ENSNSUG00000014084
salvator_merianae ENSSMRG00000006743
pogona_vitticeps ENSPVIG00000000676
sphenodon_punctatus ENSSPUG00000017310
gallus_gallus ENSGALG00000017319
coturnix_japonica ENSCJPG00005006415
meleagris_gallopavo ENSMGAG00000015300
numida_meleagris ENSNMEG00000003560
anas_platyrhynchos_platyrhynchos ENSAPLG00000008046
anser_brachyrhynchus ENSABRG00000018363
calidris_pygmaea ENSCPGG00000007528
calidris_pugnax ENSCPUG00000008764
melopsittacus_undulatus ENSMUNG00000000502
apteryx_rowi ENSARWG00000017091
apteryx_owenii ENSAOWG00000006540
apteryx_haastii ENSAHAG00000005520
dromaius_novaehollandiae ENSDNVG00000007284
taeniopygia_guttata ENSTGUG00000013469
taeniopygia_guttata ENSTGUG00000016409
lonchura_striata_domestica ENSLSDG00000009580
junco_hyemalis ENSJHYG00000015872
zonotrichia_albicollis ENSZALG00000013174
serinus_canaria ENSSCAG00000013857
parus_major ENSPMJG00000001487
cyanistes_caeruleus ENSCCEG00000003522
ficedula_albicollis ENSFALG00000008015
lepidothrix_coronata ENSLCOG00000012978
manacus_vitellinus ENSMVIG00005008408
