hucho_hucho ENSHHUG00000012004
fundulus_heteroclitus ENSFHEG00000003280
anolis_carolinensis ENSACAG00000002040
pogona_vitticeps ENSPVIG00000000804
notechis_scutatus ENSNSUG00000016160
sphenodon_punctatus ENSSPUG00000008773
gopherus_agassizii ENSGAGG00000018708
chelonoidis_abingdonii ENSCABG00000011142
chrysemys_picta ENSCPBG00000018704
gallus_gallus ENSGALG00000010433
meleagris_gallopavo ENSMGAG00000010684
coturnix_japonica ENSCJPG00005010065
numida_meleagris ENSNMEG00000021486
anas_platyrhynchos ENSAPLG00000007898
lepidothrix_coronata ENSLCOG00000000287
manacus_vitellinus ENSMVIG00005011835
lonchura_striata ENSLSDG00000012719
taeniopygia_guttata ENSTGUG00000008323
parus_major ENSPMJG00000019628
cyanistes_caeruleus ENSCCEG00000013419
junco_hyemalis ENSJHYG00000008499
zonotrichia_albicollis ENSZALG00000000916
serinus_canaria ENSSCAG00000003239
ficedula_albicollis ENSFALG00000009400
melopsittacus_undulatus ENSMUNG00000010966
calidris_pugnax ENSCPUG00000011886
calidris_pygmaea ENSCPGG00000010684
apteryx_haastii ENSAHAG00000015066
apteryx_owenii ENSAOWG00000009036
apteryx_rowi ENSARWG00000017993
dromaius_novaehollandiae ENSDNVG00000009168
nothoprocta_perdicaria ENSNPEG00000015000
vombatus_ursinus ENSVURG00010017402
phascolarctos_cinereus ENSPCIG00000029036
notamacropus_eugenii ENSMEUG00000014256
monodelphis_domestica ENSMODG00000001986
sarcophilus_harrisii ENSSHAG00000007780
castor_canadensis ENSCCNG00000026278
dipodomys_ordii ENSDORG00000015089
heterocephalus_glaber ENSHGLG00000002561
heterocephalus_glaber ENSHGLG00100014063
fukomys_damarensis ENSFDAG00000000105
chinchilla_lanigera ENSCLAG00000004917
octodon_degus ENSODEG00000009316
cavia_porcellus ENSCPOG00000011399
cavia_aperea ENSCAPG00000006103
urocitellus_parryii ENSUPAG00010020365
ictidomys_tridecemlineatus ENSSTOG00000011655
spermophilus_dauricus ENSSDAG00000003545
marmota_marmota ENSMMMG00000018402
mus_spicilegus ENSMSIG00000015049
mus_spretus MGP_SPRETEiJ_G0027293
mus_musculus ENSMUSG00000034171
mus_caroli MGP_CAROLIEiJ_G0026321
mus_pahari MGP_PahariEiJ_G0028653
rattus_norvegicus ENSRNOG00000011019
rattus_norvegicus ENSRNOG00000045949
meriones_unguiculatus ENSMUGG00000010635
microtus_ochrogaster ENSMOCG00000015993
peromyscus_maniculatus ENSPEMG00000008896
cricetulus_griseus ENSCGRG00001021029
cricetulus_griseus ENSCGRG00015023983
cricetulus_griseus ENSCGRG00000012562
mesocricetus_auratus ENSMAUG00000001088
nannospalax_galili ENSNGAG00000019634
jaculus_jaculus ENSJJAG00000005088
oryctolagus_cuniculus ENSOCUG00000003441
ochotona_princeps ENSOPRG00000009871
homo_sapiens ENSG00000117480
gorilla_gorilla ENSGGOG00000014596
pan_paniscus ENSPPAG00000032528
pan_troglodytes ENSPTRG00000000693
pongo_abelii ENSPPYG00000001395
nomascus_leucogenys ENSNLEG00000016464
colobus_angolensis ENSCANG00000032027
piliocolobus_tephrosceles ENSPTEG00000037507
rhinopithecus_roxellana ENSRROG00000042930
rhinopithecus_bieti ENSRBIG00000033681
macaca_fascicularis ENSMFAG00000046153
macaca_mulatta ENSMMUG00000002714
macaca_nemestrina ENSMNEG00000038745
chlorocebus_sabaeus ENSCSAG00000001233
mandrillus_leucophaeus ENSMLEG00000040364
cercocebus_atys ENSCATG00000042523
theropithecus_gelada ENSTGEG00000001030
papio_anubis ENSPANG00000024429
cebus_capucinus ENSCCAG00000029850
saimiri_boliviensis ENSSBOG00000014904
callithrix_jacchus ENSCJAG00000021138
aotus_nancymaae ENSANAG00000012697
carlito_syrichta ENSTSYG00000013271
microcebus_murinus ENSMICG00000010595
prolemur_simus ENSPSMG00000013423
propithecus_coquereli ENSPCOG00000022513
otolemur_garnettii ENSOGAG00000003542
tupaia_belangeri ENSTBEG00000014394
ursus_americanus ENSUAMG00000003759
ursus_maritimus ENSUMAG00000023571
ailuropoda_melanoleuca ENSAMEG00000013963
canis_lupus ENSCAFG00020015043
canis_lupus ENSCAFG00000004254
vulpes_vulpes ENSVVUG00000007135
neovison_vison ENSNVIG00000019691
mustela_putorius ENSMPUG00000012783
panthera_pardus ENSPPRG00000013369
panthera_tigris ENSPTIG00000006853
felis_catus ENSFCAG00000003454
erinaceus_europaeus ENSEEUG00000014285
myotis_lucifugus ENSMLUG00000005452
pteropus_vampyrus ENSPVAG00000006894
ovis_aries ENSOARG00000002455
capra_hircus ENSCHIG00000022289
bos_indicus ENSBIXG00000005354
bos_indicus ENSBIXG00005011771
bos_taurus ENSBTAG00000007507
bos_mutus ENSBMUG00000018835
bison_bison ENSBBBG00000015607
tursiops_truncatus ENSTTRG00000009374
sus_scrofa ENSSSCG00000003901
equus_asinus ENSEASG00005004885
equus_caballus ENSECAG00000023711
procavia_capensis ENSPCAG00000004716
loxodonta_africana ENSLAFG00000000906
dasypus_novemcinctus ENSDNOG00000014693
ornithorhynchus_anatinus ENSOANG00000021081
xenopus_tropicalis ENSXETG00000018521
