clupea_harengus ENSCHAG00000024088
denticeps_clupeoides ENSDCDG00000022015
astyanax_mexicanus ENSAMXG00000008122
astyanax_mexicanus ENSAMXG00005002189
pygocentrus_nattereri ENSPNAG00000006495
ictalurus_punctatus ENSIPUG00000018762
electrophorus_electricus ENSEEEG00000013708
danio_rerio ENSDARG00000063276
hippocampus_comes ENSHCOG00000004638
periophthalmus_magnuspinnatus ENSPMGG00000003373
tetraodon_nigroviridis ENSTNIG00000016434
tetraodon_nigroviridis ENSTNIG00000005657
tetraodon_nigroviridis ENSTNIG00000015377
takifugu_rubripes ENSTRUG00000014036
takifugu_rubripes ENSTRUG00000001666
cynoglossus_semilaevis ENSCSEG00000018766
xiphophorus_maculatus ENSXMAG00000016720
xiphophorus_couchianus ENSXCOG00000009317
gambusia_affinis ENSGAFG00000001764
poecilia_mexicana ENSPMEG00000015801
poecilia_formosa ENSPFOG00000022373
poecilia_latipinna ENSPLAG00000013819
poecilia_latipinna ENSPLAG00000005284
poecilia_formosa ENSPFOG00000000563
poecilia_mexicana ENSPMEG00000015348
poecilia_reticulata ENSPREG00000012499
xiphophorus_maculatus ENSXMAG00000012701
fundulus_heteroclitus ENSFHEG00000021546
cyprinodon_variegatus ENSCVAG00000004211
kryptolebias_marmoratus ENSKMAG00000002204
oryzias_latipes ENSORLG00015014224
oryzias_latipes ENSORLG00020004474
oryzias_latipes ENSORLG00000003076
oryzias_melastigma ENSOMEG00000018740
gouania_willdenowi ENSGWIG00000021338
astatotilapia_calliptera ENSACLG00000012067
maylandia_zebra ENSMZEG00005009271
pundamilia_nyererei ENSPNYG00000018144
pundamilia_nyererei ENSPNYG00000018183
haplochromis_burtoni ENSHBUG00000001900
oreochromis_niloticus ENSONIG00000014449
neolamprologus_brichardi ENSNBRG00000017564
amphilophus_citrinellus ENSACIG00000005690
parambassis_ranga ENSPRNG00000005284
gasterosteus_aculeatus ENSGACG00000005927
mola_mola ENSMMOG00000012964
labrus_bergylta ENSLBEG00000014307
betta_splendens ENSBSLG00000007047
amphiprion_percula ENSAPEG00000018385
amphiprion_ocellaris ENSAOCG00000017411
acanthochromis_polyacanthus ENSAPOG00000002868
stegastes_partitus ENSSPAG00000001698
