gadus_morhua ENSGMOG00000004384
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028991
scophthalmus_maximus ENSSMAG00000010265
cynoglossus_semilaevis ENSCSEG00000000744
seriola_lalandi_dorsalis ENSSLDG00000003791
seriola_dumerili ENSSDUG00000004900
monopterus_albus ENSMALG00000016879
mastacembelus_armatus ENSMAMG00000007202
anabas_testudineus ENSATEG00000013222
astatotilapia_calliptera ENSACLG00000014933
maylandia_zebra ENSMZEG00005008801
haplochromis_burtoni ENSHBUG00000021619
pundamilia_nyererei ENSPNYG00000019792
neolamprologus_brichardi ENSNBRG00000020555
oreochromis_niloticus ENSONIG00000019841
amphilophus_citrinellus ENSACIG00000002671
poecilia_mexicana ENSPMEG00000008291
poecilia_formosa ENSPFOG00000013759
poecilia_reticulata ENSPREG00000004645
xiphophorus_maculatus ENSXMAG00000014911
xiphophorus_couchianus ENSXCOG00000017778
gambusia_affinis ENSGAFG00000010956
kryptolebias_marmoratus ENSKMAG00000008674
amphiprion_percula ENSAPEG00000000541
amphiprion_ocellaris ENSAOCG00000008528
acanthochromis_polyacanthus ENSAPOG00000003476
stegastes_partitus ENSSPAG00000017454
mola_mola ENSMMOG00000002825
tetraodon_nigroviridis ENSTNIG00000000515
labrus_bergylta ENSLBEG00000009764
periophthalmus_magnuspinnatus ENSPMGG00000003797
esox_lucius ENSELUG00000017796
scleropages_formosus ENSSFOG00015022143
lepisosteus_oculatus ENSLOCG00000008471
apteryx_owenii ENSAOWG00000000742
apteryx_haastii ENSAHAG00000013112
apteryx_rowi ENSARWG00000000263
dromaius_novaehollandiae ENSDNVG00000009173
nothoprocta_perdicaria ENSNPEG00000004415
meleagris_gallopavo ENSMGAG00000001397
coturnix_japonica ENSCJPG00005013503
gallus_gallus ENSGALG00000051639
numida_meleagris ENSNMEG00000007996
anser_brachyrhynchus ENSABRG00000012674
anas_platyrhynchos_platyrhynchos ENSAPLG00000018460
crocodylus_porosus ENSCPRG00005005545
chelonoidis_abingdonii ENSCABG00000006809
gopherus_agassizii ENSGAGG00000002813
chrysemys_picta_bellii ENSCPBG00000019961
pelodiscus_sinensis ENSPSIG00000001228
notechis_scutatus ENSNSUG00000001112
salvator_merianae ENSSMRG00000020066
phascolarctos_cinereus ENSPCIG00000030278
notamacropus_eugenii ENSMEUG00000007085
sarcophilus_harrisii ENSSHAG00000013772
monodelphis_domestica ENSMODG00000008105
pan_troglodytes ENSPTRG00000018905
pan_troglodytes ENSPTRG00000045071
pan_paniscus ENSPPAG00000042004
homo_sapiens ENSG00000157999
gorilla_gorilla ENSGGOG00000016229
pongo_abelii ENSPPYG00000017344
nomascus_leucogenys ENSNLEG00000001091
macaca_fascicularis ENSMFAG00000045423
macaca_mulatta ENSMMUG00000045015
mandrillus_leucophaeus ENSMLEG00000039931
cercocebus_atys ENSCATG00000033486
papio_anubis ENSPANG00000009970
theropithecus_gelada ENSTGEG00000014575
chlorocebus_sabaeus ENSCSAG00000017721
colobus_angolensis_palliatus ENSCANG00000037738
piliocolobus_tephrosceles ENSPTEG00000021160
rhinopithecus_roxellana ENSRROG00000031882
rhinopithecus_bieti ENSRBIG00000032100
cebus_capucinus ENSCCAG00000016823
saimiri_boliviensis_boliviensis ENSSBOG00000024193
callithrix_jacchus ENSCJAG00000015402
aotus_nancymaae ENSANAG00000030693
carlito_syrichta ENSTSYG00000025929
prolemur_simus ENSPSMG00000002858
microcebus_murinus ENSMICG00000012853
propithecus_coquereli ENSPCOG00000015357
otolemur_garnettii ENSOGAG00000024824
spermophilus_dauricus ENSSDAG00000019225
ictidomys_tridecemlineatus ENSSTOG00000009292
urocitellus_parryii ENSUPAG00010006253
marmota_marmota_marmota ENSMMMG00000006880
heterocephalus_glaber_female ENSHGLG00000005518
fukomys_damarensis ENSFDAG00000015834
cavia_aperea ENSCAPG00000017438
cavia_porcellus ENSCPOG00000014869
chinchilla_lanigera ENSCLAG00000008441
mus_spicilegus ENSMSIG00000029390
mus_musculus ENSMUSG00000029607
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027987
mus_pahari MGP_PahariEiJ_G0024559
rattus_norvegicus ENSRNOG00000001048
meriones_unguiculatus ENSMUGG00000024302
cricetulus_griseus_chok1gshd ENSCGRG00001021200
cricetulus_griseus_crigri-picr ENSCGRG00015014588
cricetulus_griseus_crigri ENSCGRG00000013155
mesocricetus_auratus ENSMAUG00000007269
microtus_ochrogaster ENSMOCG00000005764
peromyscus_maniculatus_bairdii ENSPEMG00000023381
nannospalax_galili ENSNGAG00000017533
jaculus_jaculus ENSJJAG00000018483
dipodomys_ordii ENSDORG00000016272
castor_canadensis ENSCCNG00000004182
ursus_maritimus ENSUMAG00000008978
ursus_americanus ENSUAMG00000024040
ailuropoda_melanoleuca ENSAMEG00000009112
neovison_vison ENSNVIG00000006278
canis_lupus_familiaris ENSCAFG00000015676
canis_lupus_dingo ENSCAFG00020016919
vulpes_vulpes ENSVVUG00000015203
panthera_pardus ENSPPRG00000007144
panthera_tigris_altaica ENSPTIG00000021190
felis_catus ENSFCAG00000027842
pteropus_vampyrus ENSPVAG00000016095
myotis_lucifugus ENSMLUG00000003826
tursiops_truncatus ENSTTRG00000005300
sus_scrofa ENSSSCG00000007593
bos_taurus ENSBTAG00000007372
bos_mutus ENSBMUG00000014242
bison_bison_bison ENSBBBG00000010019
ovis_aries ENSOARG00000001760
