seriola_lalandi_dorsalis ENSSLDG00000020456
seriola_dumerili ENSSDUG00000000480
scophthalmus_maximus ENSSMAG00000001934
mola_mola ENSMMOG00000001885
anabas_testudineus ENSATEG00000016222
poecilia_formosa ENSPFOG00000021860
poecilia_mexicana ENSPMEG00000004368
poecilia_latipinna ENSPLAG00000021872
gambusia_affinis ENSGAFG00000013123
fundulus_heteroclitus ENSFHEG00000017116
cyprinodon_variegatus ENSCVAG00000011455
kryptolebias_marmoratus ENSKMAG00000014535
oryzias_melastigma ENSOMEG00000022488
oreochromis_niloticus ENSONIG00000015113
amphiprion_ocellaris ENSAOCG00000012575
amphiprion_percula ENSAPEG00000004621
acanthochromis_polyacanthus ENSAPOG00000011844
stegastes_partitus ENSSPAG00000004956
pygocentrus_nattereri ENSPNAG00000003301
astyanax_mexicanus ENSAMXG00000032541
ictalurus_punctatus ENSIPUG00000007983
