dasypus_novemcinctus ENSDNOG00000039486
gorilla_gorilla ENSGGOG00000041831
lates_calcarifer ENSLCAG00010002707
fundulus_heteroclitus ENSFHEG00000019001
eptatretus_burgeri ENSEBUG00000008805
tetraodon_nigroviridis ENSTNIG00000010249
takifugu_rubripes ENSTRUG00000025204
mola_mola ENSMMOG00000002011
larimichthys_crocea ENSLCRG00005008480
cottoperca_gobio ENSCGOG00000013312
labrus_bergylta ENSLBEG00000012880
seriola_dumerili ENSSDUG00000002231
seriola_lalandi ENSSLDG00000014032
amphiprion_ocellaris ENSAOCG00000011635
amphiprion_percula ENSAPEG00000007259
acanthochromis_polyacanthus ENSAPOG00000002549
stegastes_partitus ENSSPAG00000020171
gouania_willdenowi ENSGWIG00000001445
poecilia_formosa ENSPFOG00000005056
poecilia_latipinna ENSPLAG00000008996
poecilia_mexicana ENSPMEG00000023748
poecilia_reticulata ENSPREG00000013186
xiphophorus_couchianus ENSXCOG00000010404
xiphophorus_maculatus ENSXMAG00000024560
gambusia_affinis ENSGAFG00000020423
cyprinodon_variegatus ENSCVAG00000013632
kryptolebias_marmoratus ENSKMAG00000006756
oryzias_latipes ENSORLG00020005721
oryzias_latipes ENSORLG00000001355
oryzias_latipes ENSORLG00015009347
oryzias_melastigma ENSOMEG00000017247
scophthalmus_maximus ENSSMAG00000000061
monopterus_albus ENSMALG00000006199
anabas_testudineus ENSATEG00000012302
cynoglossus_semilaevis ENSCSEG00000009239
periophthalmus_magnuspinnatus ENSPMGG00000011496
betta_splendens ENSBSLG00000019728
mastacembelus_armatus ENSMAMG00000022548
astatotilapia_calliptera ENSACLG00000007309
pundamilia_nyererei ENSPNYG00000009792
maylandia_zebra ENSMZEG00005011961
haplochromis_burtoni ENSHBUG00000000792
oreochromis_niloticus ENSONIG00000003604
neolamprologus_brichardi ENSNBRG00000021187
amphilophus_citrinellus ENSACIG00000007537
hippocampus_comes ENSHCOG00000000249
gadus_morhua ENSGMOG00000015837
clupea_harengus ENSCHAG00000025088
clupea_harengus ENSCHAG00000017628
denticeps_clupeoides ENSDCDG00000025630
seriola_dumerili ENSSDUG00000011914
seriola_lalandi ENSSLDG00000022015
lates_calcarifer ENSLCAG00010010841
monopterus_albus ENSMALG00000018412
mastacembelus_armatus ENSMAMG00000015005
anabas_testudineus ENSATEG00000003775
labrus_bergylta ENSLBEG00000021167
amphiprion_percula ENSAPEG00000010927
amphiprion_ocellaris ENSAOCG00000012364
acanthochromis_polyacanthus ENSAPOG00000002377
stegastes_partitus ENSSPAG00000022796
poecilia_latipinna ENSPLAG00000020006
poecilia_formosa ENSPFOG00000000798
poecilia_mexicana ENSPMEG00000008220
poecilia_reticulata ENSPREG00000014927
xiphophorus_maculatus ENSXMAG00000023293
xiphophorus_couchianus ENSXCOG00000014439
gambusia_affinis ENSGAFG00000016190
fundulus_heteroclitus ENSFHEG00000007153
cyprinodon_variegatus ENSCVAG00000013246
kryptolebias_marmoratus ENSKMAG00000015958
larimichthys_crocea ENSLCRG00005020626
mola_mola ENSMMOG00000005599
cottoperca_gobio ENSCGOG00000002607
gasterosteus_aculeatus ENSGACG00000007498
parambassis_ranga ENSPRNG00000019538
astatotilapia_calliptera ENSACLG00000009005
maylandia_zebra ENSMZEG00005002487
haplochromis_burtoni ENSHBUG00000018969
pundamilia_nyererei ENSPNYG00000006522
neolamprologus_brichardi ENSNBRG00000012615
oreochromis_niloticus ENSONIG00000004313
amphilophus_citrinellus ENSACIG00000014130
oryzias_latipes ENSORLG00020009420
oryzias_latipes ENSORLG00000025960
oryzias_latipes ENSORLG00015006076
oryzias_melastigma ENSOMEG00000014356
gouania_willdenowi ENSGWIG00000024391
takifugu_rubripes ENSTRUG00000006857
tetraodon_nigroviridis ENSTNIG00000014250
scophthalmus_maximus ENSSMAG00000006572
cynoglossus_semilaevis ENSCSEG00000013345
betta_splendens ENSBSLG00000021323
hippocampus_comes ENSHCOG00000009793
gadus_morhua ENSGMOG00000003578
hucho_hucho ENSHHUG00000037725
hucho_hucho ENSHHUG00000009205
esox_lucius ENSELUG00000007944
hucho_hucho ENSHHUG00000028750
hucho_hucho ENSHHUG00000052261
esox_lucius ENSELUG00000017597
scleropages_formosus ENSSFOG00015020656
scleropages_formosus ENSSFOG00015001419
paramormyrops_kingsleyae ENSPKIG00000005070
paramormyrops_kingsleyae ENSPKIG00000019627
electrophorus_electricus ENSEEEG00000019049
astyanax_mexicanus ENSAMXG00000043392
astyanax_mexicanus ENSAMXG00000006665
astyanax_mexicanus ENSAMXG00005015884
pygocentrus_nattereri ENSPNAG00000003639
ictalurus_punctatus ENSIPUG00000021072
denticeps_clupeoides ENSDCDG00000019998
lepisosteus_oculatus ENSLOCG00000002006
astyanax_mexicanus ENSAMXG00000038817
astyanax_mexicanus ENSAMXG00005024952
pygocentrus_nattereri ENSPNAG00000018145
ictalurus_punctatus ENSIPUG00000023656
danio_rerio ENSDARG00000040778
periophthalmus_magnuspinnatus ENSPMGG00000017419
anser_brachyrhynchus ENSABRG00000000402
anas_platyrhynchos ENSAPLG00000017843
gallus_gallus ENSGALG00000026493
coturnix_japonica ENSCJPG00005012939
meleagris_gallopavo ENSMGAG00000011867
numida_meleagris ENSNMEG00000022980
taeniopygia_guttata ENSTGUG00000004625
lonchura_striata ENSLSDG00000012739
serinus_canaria ENSSCAG00000012158
ficedula_albicollis ENSFALG00000013209
parus_major ENSPMJG00000019781
cyanistes_caeruleus ENSCCEG00000005105
zonotrichia_albicollis ENSZALG00000014342
junco_hyemalis ENSJHYG00000013025
lepidothrix_coronata ENSLCOG00000002378
manacus_vitellinus ENSMVIG00005010249
melopsittacus_undulatus ENSMUNG00000012747
calidris_pygmaea ENSCPGG00000011026
calidris_pugnax ENSCPUG00000016999
apteryx_owenii ENSAOWG00000015074
apteryx_rowi ENSARWG00000010786
apteryx_haastii ENSAHAG00000006561
dromaius_novaehollandiae ENSDNVG00000015934
nothoprocta_perdicaria ENSNPEG00000011746
crocodylus_porosus ENSCPRG00005001155
chelonoidis_abingdonii ENSCABG00000007745
gopherus_agassizii ENSGAGG00000014713
chrysemys_picta ENSCPBG00000013718
pelodiscus_sinensis ENSPSIG00000008826
anolis_carolinensis ENSACAG00000004069
pogona_vitticeps ENSPVIG00000007617
notechis_scutatus ENSNSUG00000010946
salvator_merianae ENSSMRG00000011845
sphenodon_punctatus ENSSPUG00000017649
phascolarctos_cinereus ENSPCIG00000001367
vombatus_ursinus ENSVURG00010011553
notamacropus_eugenii ENSMEUG00000013642
sarcophilus_harrisii ENSSHAG00000012747
monodelphis_domestica ENSMODG00000000264
pteropus_vampyrus ENSPVAG00000005807
sorex_araneus ENSSARG00000008013
neovison_vison ENSNVIG00000003304
mustela_putorius ENSMPUG00000000983
ursus_americanus ENSUAMG00000010486
ursus_maritimus ENSUMAG00000013087
ailuropoda_melanoleuca ENSAMEG00000008682
canis_lupus ENSCAFG00000004844
canis_lupus ENSCAFG00020013768
vulpes_vulpes ENSVVUG00000018448
panthera_tigris ENSPTIG00000006419
panthera_pardus ENSPPRG00000022423
felis_catus ENSFCAG00000029390
sus_scrofa ENSSSCG00000025455
vicugna_pacos ENSVPAG00000002599
tupaia_belangeri ENSTBEG00000001274
heterocephalus_glaber ENSHGLG00100008137
heterocephalus_glaber ENSHGLG00000004886
heterocephalus_glaber ENSHGLG00100018206
heterocephalus_glaber ENSHGLG00000000123
fukomys_damarensis ENSFDAG00000008393
octodon_degus ENSODEG00000009542
octodon_degus ENSODEG00000001261
octodon_degus ENSODEG00000000470
cavia_porcellus ENSCPOG00000032717
cavia_aperea ENSCAPG00000010510
chinchilla_lanigera ENSCLAG00000002612
saimiri_boliviensis ENSSBOG00000032472
cebus_capucinus ENSCCAG00000030578
cebus_capucinus ENSCCAG00000008594
saimiri_boliviensis ENSSBOG00000019705
callithrix_jacchus ENSCJAG00000013326
aotus_nancymaae ENSANAG00000038113
pan_troglodytes ENSPTRG00000050663
pan_paniscus ENSPPAG00000035798
homo_sapiens ENSG00000144118
gorilla_gorilla ENSGGOG00000001648
pongo_abelii ENSPPYG00000012781
nomascus_leucogenys ENSNLEG00000000919
macaca_nemestrina ENSMNEG00000042744
macaca_fascicularis ENSMFAG00000038532
macaca_mulatta ENSMMUG00000046774
mandrillus_leucophaeus ENSMLEG00000008823
theropithecus_gelada ENSTGEG00000003648
theropithecus_gelada ENSTGEG00000001398
papio_anubis ENSPANG00000019898
cercocebus_atys ENSCATG00000039216
chlorocebus_sabaeus ENSCSAG00000016644
rhinopithecus_bieti ENSRBIG00000037348
rhinopithecus_roxellana ENSRROG00000015341
colobus_angolensis ENSCANG00000042885
piliocolobus_tephrosceles ENSPTEG00000025405
carlito_syrichta ENSTSYG00000032165
prolemur_simus ENSPSMG00000009281
propithecus_coquereli ENSPCOG00000027317
microcebus_murinus ENSMICG00000012197
otolemur_garnettii ENSOGAG00000015936
loxodonta_africana ENSLAFG00000027328
echinops_telfairi ENSETEG00000012192
procavia_capensis ENSPCAG00000001443
equus_asinus ENSEASG00005013049
equus_caballus ENSECAG00000014701
myotis_lucifugus ENSMLUG00000005466
bos_indicus ENSBIXG00000027587
bos_indicus ENSBIXG00005000394
bos_taurus ENSBTAG00000032021
bos_mutus ENSBMUG00000018930
bison_bison ENSBBBG00000001195
capra_hircus ENSCHIG00000019125
ovis_aries ENSOARG00000012973
tursiops_truncatus ENSTTRG00000002452
erinaceus_europaeus ENSEEUG00000015508
mus_spicilegus ENSMSIG00000008787
mus_spretus MGP_SPRETEiJ_G0015319
mus_musculus ENSMUSG00000004451
mus_caroli MGP_CAROLIEiJ_G0014512
mus_pahari MGP_PahariEiJ_G0027748
rattus_norvegicus ENSRNOG00000002440
meriones_unguiculatus ENSMUGG00000021986
peromyscus_maniculatus ENSPEMG00000030915
microtus_ochrogaster ENSMOCG00000014139
cricetulus_griseus ENSCGRG00015009208
cricetulus_griseus ENSCGRG00001018860
cricetulus_griseus ENSCGRG00000004609
nannospalax_galili ENSNGAG00000008242
jaculus_jaculus ENSJJAG00000017455
spermophilus_dauricus ENSSDAG00000018180
urocitellus_parryii ENSUPAG00010019038
ictidomys_tridecemlineatus ENSSTOG00000001208
marmota_marmota ENSMMMG00000022577
oryctolagus_cuniculus ENSOCUG00000005992
ochotona_princeps ENSOPRG00000007832
castor_canadensis ENSCCNG00000003669
dipodomys_ordii ENSDORG00000012929
ornithorhynchus_anatinus ENSOANG00000005641
latimeria_chalumnae ENSLACG00000015458
danio_rerio ENSDARG00000113643
callorhinchus_milii ENSCMIG00000009471
erpetoichthys_calabaricus ENSECRG00000016609
petromyzon_marinus ENSPMAG00000007285
