nannospalax_galili ENSNGAG00000020585
spermophilus_dauricus ENSSDAG00000021900
ovis_aries ENSOARG00000018177
monodelphis_domestica ENSMODG00000003520
pan_troglodytes ENSPTRG00000030043
phascolarctos_cinereus ENSPCIG00000035257
gasterosteus_aculeatus ENSGACG00000020257
astatotilapia_calliptera ENSACLG00000009674
mastacembelus_armatus ENSMAMG00000007495
danio_rerio ENSDARG00000102632
gasterosteus_aculeatus ENSGACG00000008971
gadus_morhua ENSGMOG00000008734
esox_lucius ENSELUG00000012688
haplochromis_burtoni ENSHBUG00000018116
haplochromis_burtoni ENSHBUG00000021698
poecilia_latipinna ENSPLAG00000002479
poecilia_latipinna ENSPLAG00000002494
poecilia_formosa ENSPFOG00000022225
poecilia_mexicana ENSPMEG00000020985
xiphophorus_maculatus ENSXMAG00000023347
xiphophorus_maculatus ENSXMAG00000026169
xiphophorus_couchianus ENSXCOG00000017091
xiphophorus_couchianus ENSXCOG00000017088
paramormyrops_kingsleyae ENSPKIG00000024843
latimeria_chalumnae ENSLACG00000022187
petromyzon_marinus ENSPMAG00000005642
drosophila_melanogaster FBgn0086558
mola_mola ENSMMOG00000005326
hippocampus_comes ENSHCOG00000012106
caenorhabditis_elegans_strain_n2 WBGene00006727
ciona_savignyi ENSCSAVG00000007287
capra_hircus ENSCHIG00000015365
mus_musculus ENSMUSG00000008348
rattus_norvegicus ENSRNOG00000057823
cricetulus_griseus_crigri-picr ENSCGRG00015021183
homo_sapiens ENSG00000150991
pongo_abelii ENSPPYG00000005104
macaca_fascicularis ENSMFAG00000007367
macaca_mulatta ENSMMUG00000002320
sus_scrofa ENSSSCG00000029226
bos_taurus ENSBTAG00000032436
procavia_capensis ENSPCAG00000008948
pogona_vitticeps ENSPVIG00000008551
xenopus_tropicalis ENSXETG00000017136
oryzias_latipes ENSORLG00000012032
oryzias_latipes ENSORLG00020016271
oryzias_latipes_asm223469v1 ENSORLG00015022528
xiphophorus_maculatus ENSXMAG00000026304
astatotilapia_calliptera ENSACLG00000006563
seriola_dumerili ENSSDUG00000016923
seriola_lalandi_dorsalis ENSSLDG00000019238
anabas_testudineus ENSATEG00000006222
labrus_bergylta ENSLBEG00000016322
danio_rerio ENSDARG00000093313
drosophila_melanogaster FBgn0003943
