pteropus_vampyrus ENSPVAG00000002992
myotis_lucifugus ENSMLUG00000013601
equus_asinus_asinus ENSEASG00005001271
equus_caballus ENSECAG00000022966
tursiops_truncatus ENSTTRG00000004383
sus_scrofa ENSSSCG00000021971
bos_taurus ENSBTAG00000033326
bos_mutus ENSBMUG00000012426
bison_bison_bison ENSBBBG00000016248
capra_hircus ENSCHIG00000013192
ovis_aries ENSOARG00000014153
vicugna_pacos ENSVPAG00000008973
ursus_americanus ENSUAMG00000020361
ursus_maritimus ENSUMAG00000008808
ailuropoda_melanoleuca ENSAMEG00000001189
neovison_vison ENSNVIG00000010498
mustela_putorius_furo ENSMPUG00000007348
canis_lupus_dingo ENSCAFG00020005166
canis_lupus_familiaris ENSCAFG00000019824
vulpes_vulpes ENSVVUG00000003885
panthera_pardus ENSPPRG00000005106
panthera_tigris_altaica ENSPTIG00000007183
felis_catus ENSFCAG00000003788
erinaceus_europaeus ENSEEUG00000009896
oryctolagus_cuniculus ENSOCUG00000010392
ochotona_princeps ENSOPRG00000017169
oryctolagus_cuniculus ENSOCUG00000026344
castor_canadensis ENSCCNG00000019140
dipodomys_ordii ENSDORG00000008048
cricetulus_griseus_crigri ENSCGRG00000014078
cricetulus_griseus_crigri-picr ENSCGRG00015020260
cricetulus_griseus_chok1gshd ENSCGRG00001023251
mesocricetus_auratus ENSMAUG00000018227
microtus_ochrogaster ENSMOCG00000003603
peromyscus_maniculatus_bairdii ENSPEMG00000012103
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032797
mus_spicilegus ENSMSIG00000014518
mus_musculus ENSMUSG00000019278
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031679
mus_pahari MGP_PahariEiJ_G0023277
rattus_norvegicus ENSRNOG00000015880
meriones_unguiculatus ENSMUGG00000010544
nannospalax_galili ENSNGAG00000016285
jaculus_jaculus ENSJJAG00000021383
ictidomys_tridecemlineatus ENSSTOG00000011941
urocitellus_parryii ENSUPAG00010016045
spermophilus_dauricus ENSSDAG00000005961
marmota_marmota_marmota ENSMMMG00000009340
tupaia_belangeri ENSTBEG00000001684
pan_paniscus ENSPPAG00000031919
pan_troglodytes ENSPTRG00000008482
homo_sapiens ENSG00000015413
gorilla_gorilla ENSGGOG00000006148
pongo_abelii ENSPPYG00000007666
nomascus_leucogenys ENSNLEG00000015822
rhinopithecus_bieti ENSRBIG00000036561
rhinopithecus_roxellana ENSRROG00000044863
colobus_angolensis_palliatus ENSCANG00000033719
piliocolobus_tephrosceles ENSPTEG00000038423
theropithecus_gelada ENSTGEG00000022018
papio_anubis ENSPANG00000008151
mandrillus_leucophaeus ENSMLEG00000038181
macaca_mulatta ENSMMUG00000014910
macaca_fascicularis ENSMFAG00000031442
macaca_nemestrina ENSMNEG00000039591
cercocebus_atys ENSCATG00000037985
chlorocebus_sabaeus ENSCSAG00000002805
cebus_capucinus ENSCCAG00000030093
saimiri_boliviensis_boliviensis ENSSBOG00000027106
callithrix_jacchus ENSCJAG00000010841
aotus_nancymaae ENSANAG00000018942
carlito_syrichta ENSTSYG00000032802
propithecus_coquereli ENSPCOG00000022455
prolemur_simus ENSPSMG00000010475
microcebus_murinus ENSMICG00000015532
otolemur_garnettii ENSOGAG00000004881
loxodonta_africana ENSLAFG00000022017
echinops_telfairi ENSETEG00000011995
chinchilla_lanigera ENSCLAG00000002340
octodon_degus ENSODEG00000004853
cavia_porcellus ENSCPOG00000022907
cavia_aperea ENSCAPG00000005531
heterocephalus_glaber_male ENSHGLG00100018433
heterocephalus_glaber_female ENSHGLG00000012033
fukomys_damarensis ENSFDAG00000003889
phascolarctos_cinereus ENSPCIG00000024739
notamacropus_eugenii ENSMEUG00000001400
monodelphis_domestica ENSMODG00000003545
sarcophilus_harrisii ENSSHAG00000003173
ornithorhynchus_anatinus ENSOANG00000004832
chelonoidis_abingdonii ENSCABG00000005551
gopherus_agassizii ENSGAGG00000003343
chrysemys_picta_bellii ENSCPBG00000013651
pelodiscus_sinensis ENSPSIG00000005323
crocodylus_porosus ENSCPRG00005007831
anser_brachyrhynchus ENSABRG00000000270
anas_platyrhynchos_platyrhynchos ENSAPLG00000020169
coturnix_japonica ENSCJPG00005015058
gallus_gallus ENSGALG00000006175
meleagris_gallopavo ENSMGAG00000008081
numida_meleagris ENSNMEG00000004867
junco_hyemalis ENSJHYG00000005504
zonotrichia_albicollis ENSZALG00000009332
ficedula_albicollis ENSFALG00000003138
serinus_canaria ENSSCAG00000007983
lonchura_striata_domestica ENSLSDG00000005483
taeniopygia_guttata ENSTGUG00000007893
parus_major ENSPMJG00000013811
lepidothrix_coronata ENSLCOG00000012382
manacus_vitellinus ENSMVIG00005013429
calidris_pugnax ENSCPUG00000010437
calidris_pygmaea ENSCPGG00000018358
melopsittacus_undulatus ENSMUNG00000007848
apteryx_rowi ENSARWG00000005888
apteryx_haastii ENSAHAG00000004690
apteryx_owenii ENSAOWG00000006935
dromaius_novaehollandiae ENSDNVG00000011739
anolis_carolinensis ENSACAG00000017169
pogona_vitticeps ENSPVIG00000011703
notechis_scutatus ENSNSUG00000020439
salvator_merianae ENSSMRG00000007089
sphenodon_punctatus ENSSPUG00000006816
xenopus_tropicalis ENSXETG00000019843
latimeria_chalumnae ENSLACG00000015146
scleropages_formosus ENSSFOG00015015547
paramormyrops_kingsleyae ENSPKIG00000008937
pygocentrus_nattereri ENSPNAG00000012407
astyanax_mexicanus ENSAMXG00000007085
ictalurus_punctatus ENSIPUG00000011457
danio_rerio ENSDARG00000068181
esox_lucius ENSELUG00000018110
takifugu_rubripes ENSTRUG00000017258
tetraodon_nigroviridis ENSTNIG00000005756
mola_mola ENSMMOG00000017684
mastacembelus_armatus ENSMAMG00000001775
anabas_testudineus ENSATEG00000011300
seriola_lalandi_dorsalis ENSSLDG00000021578
seriola_dumerili ENSSDUG00000007274
scophthalmus_maximus ENSSMAG00000021355
fundulus_heteroclitus ENSFHEG00000018669
cyprinodon_variegatus ENSCVAG00000015779
xiphophorus_maculatus ENSXMAG00000018359
xiphophorus_couchianus ENSXCOG00000003287
gambusia_affinis ENSGAFG00000012681
poecilia_mexicana ENSPMEG00000023286
poecilia_latipinna ENSPLAG00000018733
poecilia_formosa ENSPFOG00000005345
poecilia_reticulata ENSPREG00000022621
kryptolebias_marmoratus ENSKMAG00000001511
oryzias_latipes ENSORLG00000005754
oryzias_latipes ENSORLG00020014527
oryzias_latipes_asm223469v1 ENSORLG00015000388
oryzias_melastigma ENSOMEG00000018387
astatotilapia_calliptera ENSACLG00000025318
haplochromis_burtoni ENSHBUG00000023631
maylandia_zebra ENSMZEG00005002035
pundamilia_nyererei ENSPNYG00000005081
neolamprologus_brichardi ENSNBRG00000016859
oreochromis_niloticus ENSONIG00000003012
stegastes_partitus ENSSPAG00000007396
stegastes_partitus ENSSPAG00000007368
amphiprion_ocellaris ENSAOCG00000000240
amphiprion_percula ENSAPEG00000019060
acanthochromis_polyacanthus ENSAPOG00000001873
amphiprion_percula ENSAPEG00000019168
amphiprion_ocellaris ENSAOCG00000005341
acanthochromis_polyacanthus ENSAPOG00000001788
labrus_bergylta ENSLBEG00000003007
gasterosteus_aculeatus ENSGACG00000015454
hippocampus_comes ENSHCOG00000004863
periophthalmus_magnuspinnatus ENSPMGG00000013870
gadus_morhua ENSGMOG00000000703
petromyzon_marinus ENSPMAG00000000328
