astyanax_mexicanus ENSAMXG00000025194
pygocentrus_nattereri ENSPNAG00000006809
ictalurus_punctatus ENSIPUG00000000398
danio_rerio ENSDARG00000038559
mastacembelus_armatus ENSMAMG00000009899
monopterus_albus ENSMALG00000001717
anabas_testudineus ENSATEG00000015740
seriola_dumerili ENSSDUG00000002166
seriola_lalandi_dorsalis ENSSLDG00000013187
maylandia_zebra ENSMZEG00005011567
haplochromis_burtoni ENSHBUG00000005284
astatotilapia_calliptera ENSACLG00000011821
pundamilia_nyererei ENSPNYG00000017162
neolamprologus_brichardi ENSNBRG00000022910
oreochromis_niloticus ENSONIG00000021209
amphilophus_citrinellus ENSACIG00000022737
amphiprion_ocellaris ENSAOCG00000003779
amphiprion_percula ENSAPEG00000007012
acanthochromis_polyacanthus ENSAPOG00000020772
stegastes_partitus ENSSPAG00000004903
stegastes_partitus ENSSPAG00000004871
scophthalmus_maximus ENSSMAG00000013086
mola_mola ENSMMOG00000002173
poecilia_latipinna ENSPLAG00000018916
poecilia_formosa ENSPFOG00000020624
poecilia_mexicana ENSPMEG00000016969
poecilia_reticulata ENSPREG00000018024
xiphophorus_maculatus ENSXMAG00000020306
xiphophorus_couchianus ENSXCOG00000010603
gambusia_affinis ENSGAFG00000016062
cyprinodon_variegatus ENSCVAG00000001782
fundulus_heteroclitus ENSFHEG00000001753
kryptolebias_marmoratus ENSKMAG00000012456
oryzias_latipes ENSORLG00020000906
oryzias_latipes_asm223469v1 ENSORLG00015009527
oryzias_latipes ENSORLG00000007640
oryzias_melastigma ENSOMEG00000016262
tetraodon_nigroviridis ENSTNIG00000012823
takifugu_rubripes ENSTRUG00000024571
gasterosteus_aculeatus ENSGACG00000009033
cynoglossus_semilaevis ENSCSEG00000011984
labrus_bergylta ENSLBEG00000015805
periophthalmus_magnuspinnatus ENSPMGG00000004791
hippocampus_comes ENSHCOG00000000434
gadus_morhua ENSGMOG00000001011
scleropages_formosus ENSSFOG00015018729
paramormyrops_kingsleyae ENSPKIG00000006581
esox_lucius ENSELUG00000001517
lepisosteus_oculatus ENSLOCG00000018098
notamacropus_eugenii ENSMEUG00000001967
phascolarctos_cinereus ENSPCIG00000014587
sarcophilus_harrisii ENSSHAG00000009620
pan_paniscus ENSPPAG00000025666
pan_troglodytes ENSPTRG00000039392
homo_sapiens ENSG00000189060
gorilla_gorilla ENSGGOG00000039539
pongo_abelii ENSPPYG00000011802
nomascus_leucogenys ENSNLEG00000028877
mandrillus_leucophaeus ENSMLEG00000027917
chlorocebus_sabaeus ENSCSAG00000019278
macaca_nemestrina ENSMNEG00000028328
macaca_fascicularis ENSMFAG00000012435
macaca_mulatta ENSMMUG00000048560
cercocebus_atys ENSCATG00000018822
papio_anubis ENSPANG00000004238
theropithecus_gelada ENSTGEG00000012767
colobus_angolensis_palliatus ENSCANG00000003189
piliocolobus_tephrosceles ENSPTEG00000036061
rhinopithecus_roxellana ENSRROG00000000516
rhinopithecus_bieti ENSRBIG00000018547
cebus_capucinus ENSCCAG00000019993
cebus_capucinus ENSCCAG00000017345
callithrix_jacchus ENSCJAG00000039608
saimiri_boliviensis_boliviensis ENSSBOG00000013210
aotus_nancymaae ENSANAG00000016204
carlito_syrichta ENSTSYG00000013127
prolemur_simus ENSPSMG00000015700
microcebus_murinus ENSMICG00000035359
otolemur_garnettii ENSOGAG00000000587
tupaia_belangeri ENSTBEG00000002462
ochotona_princeps ENSOPRG00000013415
felis_catus ENSFCAG00000004277
myotis_lucifugus ENSMLUG00000014290
