calidris_pugnax ENSCPUG00000001754
oryctolagus_cuniculus ENSOCUG00000007165
lepidothrix_coronata ENSLCOG00000015539
manacus_vitellinus ENSMVIG00005013606
ficedula_albicollis ENSFALG00000014323
parus_major ENSPMJG00000004727
junco_hyemalis ENSJHYG00000014417
lonchura_striata_domestica ENSLSDG00000006254
melopsittacus_undulatus ENSMUNG00000012679
calidris_pygmaea ENSCPGG00000000219
anas_platyrhynchos_platyrhynchos ENSAPLG00000011219
anser_brachyrhynchus ENSABRG00000000264
gallus_gallus ENSGALG00000029151
coturnix_japonica ENSCJPG00005007778
meleagris_gallopavo ENSMGAG00000002953
numida_meleagris ENSNMEG00000011630
apteryx_rowi ENSARWG00000014448
apteryx_haastii ENSAHAG00000001525
apteryx_owenii ENSAOWG00000017318
dromaius_novaehollandiae ENSDNVG00000018118
nothoprocta_perdicaria ENSNPEG00000012501
chrysemys_picta_bellii ENSCPBG00000008710
gopherus_agassizii ENSGAGG00000009523
chelonoidis_abingdonii ENSCABG00000022645
gopherus_agassizii ENSGAGG00000009526
pelodiscus_sinensis ENSPSIG00000011133
notechis_scutatus ENSNSUG00000019612
salvator_merianae ENSSMRG00000022669
pogona_vitticeps ENSPVIG00000009207
sphenodon_punctatus ENSSPUG00000006405
phascolarctos_cinereus ENSPCIG00000019100
notamacropus_eugenii ENSMEUG00000005623
monodelphis_domestica ENSMODG00000009748
tursiops_truncatus ENSTTRG00000000062
sus_scrofa ENSSSCG00000036011
capra_hircus ENSCHIG00000018389
ovis_aries ENSOARG00000004165
bos_mutus ENSBMUG00000015237
bos_taurus ENSBTAG00000002661
bison_bison_bison ENSBBBG00000009912
equus_caballus ENSECAG00000036372
equus_asinus_asinus ENSEASG00005005159
myotis_lucifugus ENSMLUG00000000041
pteropus_vampyrus ENSPVAG00000000303
ursus_americanus ENSUAMG00000002744
ursus_americanus ENSUAMG00000025315
ursus_maritimus ENSUMAG00000005249
ailuropoda_melanoleuca ENSAMEG00000009170
neovison_vison ENSNVIG00000012576
mustela_putorius_furo ENSMPUG00000020144
canis_lupus_dingo ENSCAFG00020004139
canis_lupus_familiaris ENSCAFG00000017865
vulpes_vulpes ENSVVUG00000018502
panthera_tigris_altaica ENSPTIG00000012778
felis_catus ENSFCAG00000034171
sorex_araneus ENSSARG00000002899
homo_sapiens ENSG00000167178
pongo_abelii ENSPPYG00000006633
nomascus_leucogenys ENSNLEG00000014301
macaca_fascicularis ENSMFAG00000014180
macaca_mulatta ENSMMUG00000001835
papio_anubis ENSPANG00000016011
theropithecus_gelada ENSTGEG00000028032
chlorocebus_sabaeus ENSCSAG00000014137
piliocolobus_tephrosceles ENSPTEG00000022908
otolemur_garnettii ENSOGAG00000028569
mus_spicilegus ENSMSIG00000007339
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033429
mus_musculus ENSMUSG00000051243
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032289
mus_pahari MGP_PahariEiJ_G0015155
rattus_norvegicus ENSRNOG00000050714
meriones_unguiculatus ENSMUGG00000003219
meriones_unguiculatus ENSMUGG00000003298
cricetulus_griseus_crigri ENSCGRG00000016776
cricetulus_griseus_chok1gshd ENSCGRG00001024743
cricetulus_griseus_crigri-picr ENSCGRG00015024601
mesocricetus_auratus ENSMAUG00000015373
microtus_ochrogaster ENSMOCG00000017097
peromyscus_maniculatus_bairdii ENSPEMG00000020280
nannospalax_galili ENSNGAG00000021901
jaculus_jaculus ENSJJAG00000016466
cavia_porcellus ENSCPOG00000014337
cavia_aperea ENSCAPG00000011076
octodon_degus ENSODEG00000020371
chinchilla_lanigera ENSCLAG00000009391
heterocephalus_glaber_female ENSHGLG00000009027
heterocephalus_glaber_male ENSHGLG00100016761
fukomys_damarensis ENSFDAG00000021184
marmota_marmota_marmota ENSMMMG00000003291
ictidomys_tridecemlineatus ENSSTOG00000028648
urocitellus_parryii ENSUPAG00010005208
spermophilus_dauricus ENSSDAG00000008676
castor_canadensis ENSCCNG00000027670
carlito_syrichta ENSTSYG00000028050
ochotona_princeps ENSOPRG00000014113
dasypus_novemcinctus ENSDNOG00000005672
procavia_capensis ENSPCAG00000012796
ornithorhynchus_anatinus ENSOANG00000013117
