oryzias_latipes ENSORLG00000022317
oryzias_latipes_asm223469v1 ENSORLG00015007614
mastacembelus_armatus ENSMAMG00000010587
gadus_morhua ENSGMOG00000006581
paramormyrops_kingsleyae ENSPKIG00000003980
dasypus_novemcinctus ENSDNOG00000033600
dasypus_novemcinctus ENSDNOG00000031398
dasypus_novemcinctus ENSDNOG00000042820
phascolarctos_cinereus ENSPCIG00000034474
lonchura_striata_domestica ENSLSDG00000005923
taeniopygia_guttata ENSTGUG00000015828
coturnix_japonica ENSCJPG00005004311
dromaius_novaehollandiae ENSDNVG00000001712
sphenodon_punctatus ENSSPUG00000015601
eptatretus_burgeri ENSEBUG00000002731
