loxodonta_africana ENSLAFG00000004443
procavia_capensis ENSPCAG00000000816
dasypus_novemcinctus ENSDNOG00000016168
castor_canadensis ENSCCNG00000012973
dipodomys_ordii ENSDORG00000009180
cricetulus_griseus_crigri-picr ENSCGRG00015015008
cricetulus_griseus_chok1gshd ENSCGRG00001011122
cricetulus_griseus_crigri ENSCGRG00000001828
mesocricetus_auratus ENSMAUG00000006645
peromyscus_maniculatus_bairdii ENSPEMG00000011658
microtus_ochrogaster ENSMOCG00000017764
mus_musculus ENSMUSG00000060807
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018903
mus_spicilegus ENSMSIG00000030962
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018058
mus_pahari MGP_PahariEiJ_G0029817
rattus_norvegicus ENSRNOG00000009438
nannospalax_galili ENSNGAG00000015894
jaculus_jaculus ENSJJAG00000014466
spermophilus_dauricus ENSSDAG00000011631
marmota_marmota_marmota ENSMMMG00000001136
ictidomys_tridecemlineatus ENSSTOG00000000900
urocitellus_parryii ENSUPAG00010000637
chinchilla_lanigera ENSCLAG00000013679
octodon_degus ENSODEG00000008142
cavia_aperea ENSCAPG00000004466
cavia_porcellus ENSCPOG00000025489
heterocephalus_glaber_male ENSHGLG00100014967
heterocephalus_glaber_female ENSHGLG00000015918
fukomys_damarensis ENSFDAG00000012346
oryctolagus_cuniculus ENSOCUG00000016318
ochotona_princeps ENSOPRG00000012843
gorilla_gorilla ENSGGOG00000007882
homo_sapiens ENSG00000170099
pan_troglodytes ENSPTRG00000006678
pan_paniscus ENSPPAG00000042823
pongo_abelii ENSPPYG00000006101
nomascus_leucogenys ENSNLEG00000017267
colobus_angolensis_palliatus ENSCANG00000034629
piliocolobus_tephrosceles ENSPTEG00000010088
rhinopithecus_bieti ENSRBIG00000027600
rhinopithecus_roxellana ENSRROG00000041104
cercocebus_atys ENSCATG00000044062
mandrillus_leucophaeus ENSMLEG00000029633
papio_anubis ENSPANG00000013813
theropithecus_gelada ENSTGEG00000004609
chlorocebus_sabaeus ENSCSAG00000010940
macaca_fascicularis ENSMFAG00000039765
macaca_mulatta ENSMMUG00000007308
macaca_nemestrina ENSMNEG00000044603
cebus_capucinus ENSCCAG00000035714
saimiri_boliviensis_boliviensis ENSSBOG00000020335
callithrix_jacchus ENSCJAG00000009769
aotus_nancymaae ENSANAG00000024574
carlito_syrichta ENSTSYG00000010183
propithecus_coquereli ENSPCOG00000017194
microcebus_murinus ENSMICG00000016404
prolemur_simus ENSPSMG00000024194
otolemur_garnettii ENSOGAG00000005853
bos_taurus ENSBTAG00000039808
bos_mutus ENSBMUG00000016702
bison_bison_bison ENSBBBG00000024358
capra_hircus ENSCHIG00000021061
ovis_aries ENSOARG00000014829
tursiops_truncatus ENSTTRG00000007112
sus_scrofa ENSSSCG00000002475
vicugna_pacos ENSVPAG00000002562
ursus_maritimus ENSUMAG00000004354
ursus_americanus ENSUAMG00000015795
ailuropoda_melanoleuca ENSAMEG00000006300
mustela_putorius_furo ENSMPUG00000003246
neovison_vison ENSNVIG00000005763
canis_lupus_dingo ENSCAFG00020014494
canis_lupus_familiaris ENSCAFG00000024698
vulpes_vulpes ENSVVUG00000018718
panthera_pardus ENSPPRG00000005206
panthera_tigris_altaica ENSPTIG00000012276
felis_catus ENSFCAG00000010231
myotis_lucifugus ENSMLUG00000009107
equus_caballus ENSECAG00000015152
equus_asinus_asinus ENSEASG00005021459
sorex_araneus ENSSARG00000006223
sorex_araneus ENSSARG00000001930
sorex_araneus ENSSARG00000013566
sorex_araneus ENSSARG00000001394
sorex_araneus ENSSARG00000002628
sorex_araneus ENSSARG00000004995
erinaceus_europaeus ENSEEUG00000010003
phascolarctos_cinereus ENSPCIG00000026653
sarcophilus_harrisii ENSSHAG00000010800
monodelphis_domestica ENSMODG00000002411
notamacropus_eugenii ENSMEUG00000016059
