ciona_intestinalis ENSCING00000004724
ciona_savignyi ENSCSAVG00000000026
petromyzon_marinus ENSPMAG00000005203
eptatretus_burgeri ENSEBUG00000007425
takifugu_rubripes ENSTRUG00000017637
tetraodon_nigroviridis ENSTNIG00000016945
mola_mola ENSMMOG00000001680
labrus_bergylta ENSLBEG00000015964
gasterosteus_aculeatus ENSGACG00000004790
scophthalmus_maximus ENSSMAG00000014841
cynoglossus_semilaevis ENSCSEG00000005475
seriola_dumerili ENSSDUG00000021404
seriola_lalandi_dorsalis ENSSLDG00000012492
mastacembelus_armatus ENSMAMG00000005850
monopterus_albus ENSMALG00000009066
anabas_testudineus ENSATEG00000015817
poecilia_mexicana ENSPMEG00000012129
poecilia_formosa ENSPFOG00000013194
poecilia_reticulata ENSPREG00000005053
xiphophorus_maculatus ENSXMAG00000005291
gambusia_affinis ENSGAFG00000003711
kryptolebias_marmoratus ENSKMAG00000015489
oryzias_latipes ENSORLG00020021300
oryzias_latipes ENSORLG00000017462
oryzias_latipes_asm223469v1 ENSORLG00015015345
oryzias_melastigma ENSOMEG00000004356
astatotilapia_calliptera ENSACLG00000009569
maylandia_zebra ENSMZEG00005005065
haplochromis_burtoni ENSHBUG00000000572
oreochromis_niloticus ENSONIG00000008674
amphilophus_citrinellus ENSACIG00000000801
amphiprion_ocellaris ENSAOCG00000012734
amphiprion_percula ENSAPEG00000021988
acanthochromis_polyacanthus ENSAPOG00000015981
hippocampus_comes ENSHCOG00000010364
gadus_morhua ENSGMOG00000002002
esox_lucius ENSELUG00000022432
pygocentrus_nattereri ENSPNAG00000020757
astyanax_mexicanus ENSAMXG00000015301
ictalurus_punctatus ENSIPUG00000020210
scleropages_formosus ENSSFOG00015019184
scleropages_formosus ENSSFOG00015001261
paramormyrops_kingsleyae ENSPKIG00000023424
astyanax_mexicanus ENSAMXG00000013141
pygocentrus_nattereri ENSPNAG00000011276
takifugu_rubripes ENSTRUG00000004366
tetraodon_nigroviridis ENSTNIG00000011097
gasterosteus_aculeatus ENSGACG00000015407
seriola_dumerili ENSSDUG00000014339
seriola_lalandi_dorsalis ENSSLDG00000019929
acanthochromis_polyacanthus ENSAPOG00000014739
poecilia_latipinna ENSPLAG00000014600
neolamprologus_brichardi ENSNBRG00000022209
oreochromis_niloticus ENSONIG00000010354
amphilophus_citrinellus ENSACIG00000019085
amphiprion_ocellaris ENSAOCG00000005975
amphiprion_percula ENSAPEG00000017493
astatotilapia_calliptera ENSACLG00000005595
maylandia_zebra ENSMZEG00005002479
haplochromis_burtoni ENSHBUG00000015760
labrus_bergylta ENSLBEG00000002632
mola_mola ENSMMOG00000008102
mastacembelus_armatus ENSMAMG00000007022
monopterus_albus ENSMALG00000021899
anabas_testudineus ENSATEG00000016888
scophthalmus_maximus ENSSMAG00000004198
fundulus_heteroclitus ENSFHEG00000019391
cyprinodon_variegatus ENSCVAG00000020242
gambusia_affinis ENSGAFG00000008039
xiphophorus_maculatus ENSXMAG00000022912
poecilia_formosa ENSPFOG00000011308
poecilia_mexicana ENSPMEG00000018708
poecilia_reticulata ENSPREG00000013505
kryptolebias_marmoratus ENSKMAG00000007980
oryzias_melastigma ENSOMEG00000019124
stegastes_partitus ENSSPAG00000007281
cynoglossus_semilaevis ENSCSEG00000013454
periophthalmus_magnuspinnatus ENSPMGG00000003287
gadus_morhua ENSGMOG00000018769
esox_lucius ENSELUG00000006538
lepisosteus_oculatus ENSLOCG00000007479
calidris_pygmaea ENSCPGG00000017293
gallus_gallus ENSGALG00000035237
crocodylus_porosus ENSCPRG00005013951
pelodiscus_sinensis ENSPSIG00000015248
ailuropoda_melanoleuca ENSAMEG00000000282
canis_lupus_familiaris ENSCAFG00000013140
neovison_vison ENSNVIG00000008110
mustela_putorius_furo ENSMPUG00000000863
panthera_tigris_altaica ENSPTIG00000019347
felis_catus ENSFCAG00000008059
equus_asinus_asinus ENSEASG00005022618
equus_caballus ENSECAG00000000477
pteropus_vampyrus ENSPVAG00000011338
myotis_lucifugus ENSMLUG00000006601
sorex_araneus ENSSARG00000004595
chinchilla_lanigera ENSCLAG00000006706
cavia_aperea ENSCAPG00000016246
fukomys_damarensis ENSFDAG00000010605
ochotona_princeps ENSOPRG00000004371
loxodonta_africana ENSLAFG00000017140
echinops_telfairi ENSETEG00000011816
notamacropus_eugenii ENSMEUG00000005907
canis_lupus_dingo ENSCAFG00020004961
vulpes_vulpes ENSVVUG00000013771
ornithorhynchus_anatinus ENSOANG00000008595
xenopus_tropicalis ENSXETG00000007519
latimeria_chalumnae ENSLACG00000003510
drosophila_melanogaster FBgn0030018
caenorhabditis_elegans_strain_n2 WBGene00003374
