neolamprologus_brichardi ENSNBRG00000009924
amphilophus_citrinellus ENSACIG00000016064
tetraodon_nigroviridis ENSTNIG00000007652
loxodonta_africana ENSLAFG00000017317
phascolarctos_cinereus ENSPCIG00000003787
notamacropus_eugenii ENSMEUG00000010940
sarcophilus_harrisii ENSSHAG00000015601
monodelphis_domestica ENSMODG00000021023
pan_paniscus ENSPPAG00000034205
pan_troglodytes ENSPTRG00000013945
homo_sapiens ENSG00000160190
gorilla_gorilla ENSGGOG00000012067
pongo_abelii ENSPPYG00000011455
nomascus_leucogenys ENSNLEG00000014623
rhinopithecus_bieti ENSRBIG00000035816
rhinopithecus_roxellana ENSRROG00000036324
colobus_angolensis_palliatus ENSCANG00000008657
papio_anubis ENSPANG00000018651
theropithecus_gelada ENSTGEG00000022195
cercocebus_atys ENSCATG00000031505
chlorocebus_sabaeus ENSCSAG00000008088
mandrillus_leucophaeus ENSMLEG00000026776
macaca_mulatta ENSMMUG00000018085
macaca_fascicularis ENSMFAG00000036570
macaca_nemestrina ENSMNEG00000035150
piliocolobus_tephrosceles ENSPTEG00000037745
cebus_capucinus ENSCCAG00000033553
saimiri_boliviensis_boliviensis ENSSBOG00000030217
callithrix_jacchus ENSCJAG00000005291
aotus_nancymaae ENSANAG00000028307
carlito_syrichta ENSTSYG00000001307
propithecus_coquereli ENSPCOG00000027538
prolemur_simus ENSPSMG00000020102
microcebus_murinus ENSMICG00000000053
otolemur_garnettii ENSOGAG00000015740
castor_canadensis ENSCCNG00000029777
dipodomys_ordii ENSDORG00000010442
urocitellus_parryii ENSUPAG00010003472
ictidomys_tridecemlineatus ENSSTOG00000025445
spermophilus_dauricus ENSSDAG00000020449
marmota_marmota_marmota ENSMMMG00000010809
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022280
mus_musculus ENSMUSG00000024036
mus_spicilegus ENSMSIG00000011757
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021366
mus_pahari MGP_PahariEiJ_G0023685
rattus_norvegicus ENSRNOG00000001169
meriones_unguiculatus ENSMUGG00000008204
cricetulus_griseus_chok1gshd ENSCGRG00001019505
cricetulus_griseus_crigri-picr ENSCGRG00015023099
cricetulus_griseus_crigri ENSCGRG00000012375
mesocricetus_auratus ENSMAUG00000021076
microtus_ochrogaster ENSMOCG00000013618
peromyscus_maniculatus_bairdii ENSPEMG00000012392
nannospalax_galili ENSNGAG00000022440
jaculus_jaculus ENSJJAG00000009176
