macaca_fascicularis ENSMFAG00000041143
macaca_nemestrina ENSMNEG00000034495
papio_anubis ENSPANG00000011138
theropithecus_gelada ENSTGEG00000008287
mandrillus_leucophaeus ENSMLEG00000039280
cercocebus_atys ENSCATG00000030627
chlorocebus_sabaeus ENSCSAG00000007002
rhinopithecus_bieti ENSRBIG00000035541
rhinopithecus_roxellana ENSRROG00000000204
colobus_angolensis_palliatus ENSCANG00000003500
piliocolobus_tephrosceles ENSPTEG00000021557
pan_troglodytes ENSPTRG00000049559
pan_troglodytes ENSPTRG00000022384
pan_paniscus ENSPPAG00000032226
homo_sapiens ENSG00000268089
gorilla_gorilla ENSGGOG00000016136
pongo_abelii ENSPPYG00000020829
nomascus_leucogenys ENSNLEG00000013821
cebus_capucinus ENSCCAG00000034269
saimiri_boliviensis_boliviensis ENSSBOG00000020195
callithrix_jacchus ENSCJAG00000003787
aotus_nancymaae ENSANAG00000000356
carlito_syrichta ENSTSYG00000010545
propithecus_coquereli ENSPCOG00000022905
microcebus_murinus ENSMICG00000047310
prolemur_simus ENSPSMG00000026018
otolemur_garnettii ENSOGAG00000013172
tupaia_belangeri ENSTBEG00000005215
spermophilus_dauricus ENSSDAG00000011883
urocitellus_parryii ENSUPAG00010020223
marmota_marmota_marmota ENSMMMG00000011869
ictidomys_tridecemlineatus ENSSTOG00000010327
cavia_porcellus ENSCPOG00000011145
cavia_aperea ENSCAPG00000010321
chinchilla_lanigera ENSCLAG00000001216
octodon_degus ENSODEG00000003646
heterocephalus_glaber_male ENSHGLG00100016487
heterocephalus_glaber_female ENSHGLG00000000255
fukomys_damarensis ENSFDAG00000005676
peromyscus_maniculatus_bairdii ENSPEMG00000024127
microtus_ochrogaster ENSMOCG00000015386
cricetulus_griseus_chok1gshd ENSCGRG00001004657
cricetulus_griseus_crigri ENSCGRG00000012069
cricetulus_griseus_crigri-picr ENSCGRG00015002018
mesocricetus_auratus ENSMAUG00000011778
mus_spicilegus ENSMSIG00000010315
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034295
mus_musculus ENSMUSG00000031344
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033142
mus_pahari MGP_PahariEiJ_G0031683
rattus_norvegicus ENSRNOG00000053402
nannospalax_galili ENSNGAG00000023448
jaculus_jaculus ENSJJAG00000022087
dipodomys_ordii ENSDORG00000001417
ochotona_princeps ENSOPRG00000001041
oryctolagus_cuniculus ENSOCUG00000007888
neovison_vison ENSNVIG00000004814
mustela_putorius_furo ENSMPUG00000011737
canis_lupus_familiaris ENSCAFG00000019165
canis_lupus_dingo ENSCAFG00020023222
vulpes_vulpes ENSVVUG00000029074
ursus_americanus ENSUAMG00000004892
ursus_maritimus ENSUMAG00000021794
ailuropoda_melanoleuca ENSAMEG00000012150
panthera_pardus ENSPPRG00000004275
panthera_tigris_altaica ENSPTIG00000007027
felis_catus ENSFCAG00000003846
equus_caballus ENSECAG00000032872
equus_asinus_asinus ENSEASG00005002195
ovis_aries ENSOARG00000008296
capra_hircus ENSCHIG00000011763
bos_mutus ENSBMUG00000020966
bos_taurus ENSBTAG00000013002
tursiops_truncatus ENSTTRG00000005997
sus_scrofa ENSSSCG00000012755
vicugna_pacos ENSVPAG00000011102
myotis_lucifugus ENSMLUG00000016680
pteropus_vampyrus ENSPVAG00000003121
erinaceus_europaeus ENSEEUG00000007557
echinops_telfairi ENSETEG00000002599
procavia_capensis ENSPCAG00000016620
dasypus_novemcinctus ENSDNOG00000006626
