esox_lucius ENSELUG00000009538
pygocentrus_nattereri ENSPNAG00000012731
scleropages_formosus ENSSFOG00015003088
scleropages_formosus ENSSFOG00015003101
gasterosteus_aculeatus ENSGACG00000008967
labrus_bergylta ENSLBEG00000017300
anabas_testudineus ENSATEG00000021516
anabas_testudineus ENSATEG00000021494
periophthalmus_magnuspinnatus ENSPMGG00000014738
xiphophorus_couchianus ENSXCOG00000009151
xiphophorus_couchianus ENSXCOG00000009147
gambusia_affinis ENSGAFG00000005961
amphiprion_ocellaris ENSAOCG00000012686
seriola_dumerili ENSSDUG00000010493
seriola_lalandi_dorsalis ENSSLDG00000010077
amphiprion_percula ENSAPEG00000023806
amphiprion_percula ENSAPEG00000023784
amphiprion_ocellaris ENSAOCG00000022863
kryptolebias_marmoratus ENSKMAG00000005636
fundulus_heteroclitus ENSFHEG00000018987
fundulus_heteroclitus ENSFHEG00000018823
poecilia_mexicana ENSPMEG00000000831
poecilia_reticulata ENSPREG00000005886
xiphophorus_couchianus ENSXCOG00000009156
gambusia_affinis ENSGAFG00000005915
xiphophorus_maculatus ENSXMAG00000024886
xiphophorus_maculatus ENSXMAG00000021090
xiphophorus_maculatus ENSXMAG00000027562
xiphophorus_maculatus ENSXMAG00000023540
poecilia_latipinna ENSPLAG00000014080
poecilia_latipinna ENSPLAG00000013998
poecilia_latipinna ENSPLAG00000013987
poecilia_latipinna ENSPLAG00000014016
periophthalmus_magnuspinnatus ENSPMGG00000014747
periophthalmus_magnuspinnatus ENSPMGG00000014743
periophthalmus_magnuspinnatus ENSPMGG00000014752
poecilia_mexicana ENSPMEG00000009809
hippocampus_comes ENSHCOG00000002483
hippocampus_comes ENSHCOG00000002466
hippocampus_comes ENSHCOG00000002479
gasterosteus_aculeatus ENSGACG00000019277
stegastes_partitus ENSSPAG00000002334
stegastes_partitus ENSSPAG00000002205
astatotilapia_calliptera ENSACLG00000010713
pundamilia_nyererei ENSPNYG00000007506
maylandia_zebra ENSMZEG00005024421
haplochromis_burtoni ENSHBUG00000013210
neolamprologus_brichardi ENSNBRG00000012073
oreochromis_niloticus ENSONIG00000018590
amphilophus_citrinellus ENSACIG00000008035
anolis_carolinensis ENSACAG00000014346
anolis_carolinensis ENSACAG00000025473
mastacembelus_armatus ENSMAMG00000007643
lepisosteus_oculatus ENSLOCG00000017041
phascolarctos_cinereus ENSPCIG00000012156
notamacropus_eugenii ENSMEUG00000009290
sarcophilus_harrisii ENSSHAG00000003674
sarcophilus_harrisii ENSSHAG00000000942
monodelphis_domestica ENSMODG00000013218
chinchilla_lanigera ENSCLAG00000010447
octodon_degus ENSODEG00000016773
cavia_porcellus ENSCPOG00000010058
cavia_aperea ENSCAPG00000016933
heterocephalus_glaber_female ENSHGLG00000019200
heterocephalus_glaber_male ENSHGLG00100008362
fukomys_damarensis ENSFDAG00000016328
mus_spicilegus ENSMSIG00000011171
mus_musculus ENSMUSG00000033826
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022270
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021356
mus_pahari MGP_PahariEiJ_G0023675
rattus_norvegicus ENSRNOG00000000542
meriones_unguiculatus ENSMUGG00000018537
peromyscus_maniculatus_bairdii ENSPEMG00000018970
microtus_ochrogaster ENSMOCG00000019275
cricetulus_griseus_crigri ENSCGRG00000014453
cricetulus_griseus_chok1gshd ENSCGRG00001021025
cricetulus_griseus_crigri-picr ENSCGRG00015023463
mesocricetus_auratus ENSMAUG00000002892
nannospalax_galili ENSNGAG00000016583
jaculus_jaculus ENSJJAG00000015946
ursus_maritimus ENSUMAG00000009443
castor_canadensis ENSCCNG00000001479
carlito_syrichta ENSTSYG00000003943
tupaia_belangeri ENSTBEG00000002142
prolemur_simus ENSPSMG00000007124
propithecus_coquereli ENSPCOG00000015104
microcebus_murinus ENSMICG00000017249
otolemur_garnettii ENSOGAG00000007946
pan_paniscus ENSPPAG00000043378
pan_troglodytes ENSPTRG00000018129
homo_sapiens ENSG00000124721
gorilla_gorilla ENSGGOG00000014450
pongo_abelii ENSPPYG00000016570
nomascus_leucogenys ENSNLEG00000011365
piliocolobus_tephrosceles ENSPTEG00000033945
colobus_angolensis_palliatus ENSCANG00000015682
rhinopithecus_roxellana ENSRROG00000038501
rhinopithecus_bieti ENSRBIG00000035493
theropithecus_gelada ENSTGEG00000029569
papio_anubis ENSPANG00000016030
mandrillus_leucophaeus ENSMLEG00000000150
cercocebus_atys ENSCATG00000022064
macaca_fascicularis ENSMFAG00000036549
macaca_mulatta ENSMMUG00000023381
macaca_nemestrina ENSMNEG00000033939
chlorocebus_sabaeus ENSCSAG00000010881
saimiri_boliviensis_boliviensis ENSSBOG00000033654
cebus_capucinus ENSCCAG00000037753
callithrix_jacchus ENSCJAG00000005738
aotus_nancymaae ENSANAG00000024632
pteropus_vampyrus ENSPVAG00000013821
myotis_lucifugus ENSMLUG00000013486
ovis_aries ENSOARG00000015651
capra_hircus ENSCHIG00000018234
bos_taurus ENSBTAG00000014063
bos_mutus ENSBMUG00000014632
bison_bison_bison ENSBBBG00000002556
tursiops_truncatus ENSTTRG00000004673
sus_scrofa ENSSSCG00000001588
vicugna_pacos ENSVPAG00000003864
erinaceus_europaeus ENSEEUG00000009071
sorex_araneus ENSSARG00000008093
canis_lupus_familiaris ENSCAFG00000001518
canis_lupus_dingo ENSCAFG00020007844
vulpes_vulpes ENSVVUG00000026482
mustela_putorius_furo ENSMPUG00000013864
neovison_vison ENSNVIG00000013947
ursus_americanus ENSUAMG00000000300
ursus_maritimus ENSUMAG00000005564
panthera_pardus ENSPPRG00000009575
panthera_tigris_altaica ENSPTIG00000009911
equus_asinus_asinus ENSEASG00005000540
equus_caballus ENSECAG00000021618
castor_canadensis ENSCCNG00000008574
choloepus_hoffmanni ENSCHOG00000002725
dasypus_novemcinctus ENSDNOG00000002185
loxodonta_africana ENSLAFG00000010401
procavia_capensis ENSPCAG00000001667
echinops_telfairi ENSETEG00000010499
oryctolagus_cuniculus ENSOCUG00000013305
ochotona_princeps ENSOPRG00000011190
urocitellus_parryii ENSUPAG00010016449
ictidomys_tridecemlineatus ENSSTOG00000005829
spermophilus_dauricus ENSSDAG00000015030
marmota_marmota_marmota ENSMMMG00000024433
dipodomys_ordii ENSDORG00000006371
ornithorhynchus_anatinus ENSOANG00000013163
apteryx_haastii ENSAHAG00000004985
apteryx_owenii ENSAOWG00000011487
apteryx_rowi ENSARWG00000000482
dromaius_novaehollandiae ENSDNVG00000007187
nothoprocta_perdicaria ENSNPEG00000000303
lepidothrix_coronata ENSLCOG00000001800
manacus_vitellinus ENSMVIG00005006140
taeniopygia_guttata ENSTGUG00000007770
taeniopygia_guttata ENSTGUG00000007787
lonchura_striata_domestica ENSLSDG00000010394
serinus_canaria ENSSCAG00000013782
zonotrichia_albicollis ENSZALG00000002958
junco_hyemalis ENSJHYG00000011915
ficedula_albicollis ENSFALG00000011042
amphiprion_percula ENSAPEG00000018865
parus_major ENSPMJG00000014622
cyanistes_caeruleus ENSCCEG00000002482
melopsittacus_undulatus ENSMUNG00000007922
calidris_pygmaea ENSCPGG00000003717
calidris_pugnax ENSCPUG00000001993
anser_brachyrhynchus ENSABRG00000019752
anas_platyrhynchos_platyrhynchos ENSAPLG00000003458
gallus_gallus ENSGALG00000010116
meleagris_gallopavo ENSMGAG00000010623
coturnix_japonica ENSCJPG00005010208
numida_meleagris ENSNMEG00000016460
crocodylus_porosus ENSCPRG00005010032
pelodiscus_sinensis ENSPSIG00000004297
pelodiscus_sinensis ENSPSIG00000004754
chelonoidis_abingdonii ENSCABG00000002299
gopherus_agassizii ENSGAGG00000009001
gopherus_agassizii ENSGAGG00000009608
chelonoidis_abingdonii ENSCABG00000000237
chrysemys_picta_bellii ENSCPBG00000025368
pogona_vitticeps ENSPVIG00000000034
anolis_carolinensis ENSACAG00000001594
notechis_scutatus ENSNSUG00000009389
salvator_merianae ENSSMRG00000005378
sphenodon_punctatus ENSSPUG00000000321
latimeria_chalumnae ENSLACG00000001831
ciona_intestinalis ENSCING00000023943
gopherus_agassizii ENSGAGG00000016051
danio_rerio ENSDARG00000056888
drosophila_melanogaster FBgn0037726
