propithecus_coquereli ENSPCOG00000021509
microcebus_murinus ENSMICG00000029850
macaca_nemestrina ENSMNEG00000034187
macaca_mulatta ENSMMUG00000044204
macaca_fascicularis ENSMFAG00000033932
papio_anubis ENSPANG00000031663
cercocebus_atys ENSCATG00000044558
mandrillus_leucophaeus ENSMLEG00000038389
rhinopithecus_bieti ENSRBIG00000029172
rhinopithecus_roxellana ENSRROG00000032978
gorilla_gorilla ENSGGOG00000043031
pan_troglodytes ENSPTRG00000051795
castor_canadensis ENSCCNG00000016075
peromyscus_maniculatus_bairdii ENSPEMG00000025746
pygocentrus_nattereri ENSPNAG00000001733
ictalurus_punctatus ENSIPUG00000002146
seriola_lalandi_dorsalis ENSSLDG00000024695
esox_lucius ENSELUG00000010889
parus_major ENSPMJG00000016294
lonchura_striata_domestica ENSLSDG00000007685
calidris_pugnax ENSCPUG00000006841
anas_platyrhynchos_platyrhynchos ENSAPLG00000030723
dromaius_novaehollandiae ENSDNVG00000004894
serinus_canaria ENSSCAG00000005042
nothoprocta_perdicaria ENSNPEG00000013368
astyanax_mexicanus ENSAMXG00000035407
urocitellus_parryii ENSUPAG00010016796
