panthera_tigris_altaica ENSPTIG00000001756
canis_lupus_dingo ENSCAFG00020003544
myotis_lucifugus ENSMLUG00000004972
rhinopithecus_bieti ENSRBIG00000000353
cercocebus_atys ENSCATG00000040316
castor_canadensis ENSCCNG00000031396
spermophilus_dauricus ENSSDAG00000022328
pan_paniscus ENSPPAG00000033520
pan_troglodytes ENSPTRG00000045569
gorilla_gorilla ENSGGOG00000042418
piliocolobus_tephrosceles ENSPTEG00000036644
saimiri_boliviensis_boliviensis ENSSBOG00000032017
microcebus_murinus ENSMICG00000046604
microcebus_murinus ENSMICG00000047415
microcebus_murinus ENSMICG00000042755
pan_paniscus ENSPPAG00000041794
pan_troglodytes ENSPTRG00000049151
nomascus_leucogenys ENSNLEG00000034308
cercocebus_atys ENSCATG00000012672
papio_anubis ENSPANG00000029983
colobus_angolensis_palliatus ENSCANG00000040926
theropithecus_gelada ENSTGEG00000003204
saimiri_boliviensis_boliviensis ENSSBOG00000032133
carlito_syrichta ENSTSYG00000030471
peromyscus_maniculatus_bairdii ENSPEMG00000030431
peromyscus_maniculatus_bairdii ENSPEMG00000030076
vulpes_vulpes ENSVVUG00000003144
canis_lupus_dingo ENSCAFG00020001657
phascolarctos_cinereus ENSPCIG00000000101
mola_mola ENSMMOG00000013567
