spermophilus_dauricus ENSSDAG00000013996
ictidomys_tridecemlineatus ENSSTOG00000033722
urocitellus_parryii ENSUPAG00010016190
urocitellus_parryii ENSUPAG00010012130
mandrillus_leucophaeus ENSMLEG00000028460
cercocebus_atys ENSCATG00000036388
papio_anubis ENSPANG00000034049
cercocebus_atys ENSCATG00000032759
rhinopithecus_bieti ENSRBIG00000044340
rhinopithecus_roxellana ENSRROG00000032238
rhinopithecus_roxellana ENSRROG00000044707
pan_paniscus ENSPPAG00000032190
pan_troglodytes ENSPTRG00000042858
gorilla_gorilla ENSGGOG00000039579
cebus_capucinus ENSCCAG00000035385
microcebus_murinus ENSMICG00000041475
canis_lupus ENSCAFG00020014167
vulpes_vulpes ENSVVUG00000022156
neovison_vison ENSNVIG00000005931
bos_indicus ENSBIXG00005003385
bos_indicus ENSBIXG00000014025
