chinchilla_lanigera ENSCLAG00000008686
octodon_degus ENSODEG00000013537
cavia_aperea ENSCAPG00000009081
cavia_porcellus ENSCPOG00000023250
heterocephalus_glaber_female ENSHGLG00000015000
heterocephalus_glaber_male ENSHGLG00100012696
fukomys_damarensis ENSFDAG00000011830
marmota_marmota_marmota ENSMMMG00000012708
ictidomys_tridecemlineatus ENSSTOG00000021779
urocitellus_parryii ENSUPAG00010004620
spermophilus_dauricus ENSSDAG00000023271
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016297
mus_musculus ENSMUSG00000009291
mus_spicilegus ENSMSIG00000018269
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015484
mus_pahari MGP_PahariEiJ_G0030897
rattus_norvegicus ENSRNOG00000001223
meriones_unguiculatus ENSMUGG00000001643
peromyscus_maniculatus_bairdii ENSPEMG00000022833
mesocricetus_auratus ENSMAUG00000010900
microtus_ochrogaster ENSMOCG00000020270
cricetulus_griseus_chok1gshd ENSCGRG00001000333
cricetulus_griseus_crigri ENSCGRG00000001848
cricetulus_griseus_crigri-picr ENSCGRG00015019947
nannospalax_galili ENSNGAG00000014261
jaculus_jaculus ENSJJAG00000011874
dipodomys_ordii ENSDORG00000028984
prolemur_simus ENSPSMG00000004175
equus_asinus_asinus ENSEASG00005014712
equus_caballus ENSECAG00000022770
propithecus_coquereli ENSPCOG00000020581
microcebus_murinus ENSMICG00000028388
otolemur_garnettii ENSOGAG00000005597
carlito_syrichta ENSTSYG00000004341
ochotona_princeps ENSOPRG00000003722
oryctolagus_cuniculus ENSOCUG00000027970
tupaia_belangeri ENSTBEG00000000224
macaca_mulatta ENSMMUG00000046352
macaca_nemestrina ENSMNEG00000030046
macaca_fascicularis ENSMFAG00000033191
theropithecus_gelada ENSTGEG00000018718
papio_anubis ENSPANG00000005642
cercocebus_atys ENSCATG00000033867
chlorocebus_sabaeus ENSCSAG00000007510
rhinopithecus_bieti ENSRBIG00000036920
rhinopithecus_roxellana ENSRROG00000039905
piliocolobus_tephrosceles ENSPTEG00000010510
colobus_angolensis_palliatus ENSCANG00000007456
mandrillus_leucophaeus ENSMLEG00000033830
pan_paniscus ENSPPAG00000032064
pan_troglodytes ENSPTRG00000013992
gorilla_gorilla ENSGGOG00000002077
homo_sapiens ENSG00000183255
pongo_abelii ENSPPYG00000011504
nomascus_leucogenys ENSNLEG00000002398
cebus_capucinus ENSCCAG00000030590
saimiri_boliviensis_boliviensis ENSSBOG00000030370
callithrix_jacchus ENSCJAG00000010532
aotus_nancymaae ENSANAG00000031724
panthera_tigris_altaica ENSPTIG00000021258
ursus_americanus ENSUAMG00000026490
castor_canadensis ENSCCNG00000011807
myotis_lucifugus ENSMLUG00000003464
loxodonta_africana ENSLAFG00000016707
echinops_telfairi ENSETEG00000016381
procavia_capensis ENSPCAG00000009418
ovis_aries ENSOARG00000012316
capra_hircus ENSCHIG00000021017
bos_mutus ENSBMUG00000000206
bos_taurus ENSBTAG00000021771
bison_bison_bison ENSBBBG00000015164
