propithecus_coquereli ENSPCOG00000027284
microcebus_murinus ENSMICG00000002165
prolemur_simus ENSPSMG00000004204
otolemur_garnettii ENSOGAG00000014880
carlito_syrichta ENSTSYG00000012776
pan_troglodytes ENSPTRG00000004974
pan_paniscus ENSPPAG00000036793
homo_sapiens ENSG00000135443
gorilla_gorilla ENSGGOG00000002789
pongo_abelii ENSPPYG00000004544
nomascus_leucogenys ENSNLEG00000017755
rhinopithecus_roxellana ENSRROG00000031698
rhinopithecus_bieti ENSRBIG00000025051
colobus_angolensis_palliatus ENSCANG00000036918
piliocolobus_tephrosceles ENSPTEG00000038305
macaca_nemestrina ENSMNEG00000024891
macaca_mulatta ENSMMUG00000018216
macaca_fascicularis ENSMFAG00000037800
cercocebus_atys ENSCATG00000045062
papio_anubis ENSPANG00000018243
mandrillus_leucophaeus ENSMLEG00000021216
theropithecus_gelada ENSTGEG00000006306
chlorocebus_sabaeus ENSCSAG00000005743
cebus_capucinus ENSCCAG00000037379
saimiri_boliviensis_boliviensis ENSSBOG00000034269
callithrix_jacchus ENSCJAG00000018005
aotus_nancymaae ENSANAG00000023061
oryctolagus_cuniculus ENSOCUG00000002607
ochotona_princeps ENSOPRG00000008693
tupaia_belangeri ENSTBEG00000000347
myotis_lucifugus ENSMLUG00000000938
pteropus_vampyrus ENSPVAG00000011047
capra_hircus ENSCHIG00000026178
ovis_aries ENSOARG00000017098
bos_mutus ENSBMUG00000008808
bos_taurus ENSBTAG00000000400
bison_bison_bison ENSBBBG00000020514
sus_scrofa ENSSSCG00000000240
tursiops_truncatus ENSTTRG00000002823
ailuropoda_melanoleuca ENSAMEG00000006551
ursus_americanus ENSUAMG00000023071
neovison_vison ENSNVIG00000004132
mustela_putorius_furo ENSMPUG00000007265
canis_lupus_familiaris ENSCAFG00000007286
canis_lupus_dingo ENSCAFG00020000442
vulpes_vulpes ENSVVUG00000027869
panthera_pardus ENSPPRG00000003292
panthera_tigris_altaica ENSPTIG00000010913
felis_catus ENSFCAG00000000278
erinaceus_europaeus ENSEEUG00000001245
equus_asinus_asinus ENSEASG00005009035
equus_caballus ENSECAG00000023378
peromyscus_maniculatus_bairdii ENSPEMG00000015637
microtus_ochrogaster ENSMOCG00000022603
cricetulus_griseus_chok1gshd ENSCGRG00001011765
cricetulus_griseus_crigri ENSCGRG00000010326
cricetulus_griseus_crigri-picr ENSCGRG00015028614
mesocricetus_auratus ENSMAUG00000016465
mus_spicilegus ENSMSIG00000009386
rattus_norvegicus ENSRNOG00000008436
meriones_unguiculatus ENSMUGG00000005522
nannospalax_galili ENSNGAG00000014337
jaculus_jaculus ENSJJAG00000023558
octodon_degus ENSODEG00000012503
chinchilla_lanigera ENSCLAG00000002540
cavia_porcellus ENSCPOG00000040519
cavia_aperea ENSCAPG00000016724
heterocephalus_glaber_female ENSHGLG00000003099
heterocephalus_glaber_male ENSHGLG00100013576
fukomys_damarensis ENSFDAG00000020099
castor_canadensis ENSCCNG00000020677
dipodomys_ordii ENSDORG00000015880
ictidomys_tridecemlineatus ENSSTOG00000000809
spermophilus_dauricus ENSSDAG00000021503
marmota_marmota_marmota ENSMMMG00000001291
urocitellus_parryii ENSUPAG00010000534
dasypus_novemcinctus ENSDNOG00000036605
loxodonta_africana ENSLAFG00000015923
procavia_capensis ENSPCAG00000010622
dasypus_novemcinctus ENSDNOG00000005039
phascolarctos_cinereus ENSPCIG00000000829
notamacropus_eugenii ENSMEUG00000003816
sarcophilus_harrisii ENSSHAG00000014450
