macaca_fascicularis ENSMFAG00000031095
macaca_mulatta ENSMMUG00000003823
macaca_nemestrina ENSMNEG00000020005
papio_anubis ENSPANG00000005974
theropithecus_gelada ENSTGEG00000009995
cercocebus_atys ENSCATG00000032929
mandrillus_leucophaeus ENSMLEG00000021775
chlorocebus_sabaeus ENSCSAG00000015959
piliocolobus_tephrosceles ENSPTEG00000004899
colobus_angolensis_palliatus ENSCANG00000042777
rhinopithecus_roxellana ENSRROG00000037614
pan_troglodytes ENSPTRG00000014878
pan_paniscus ENSPPAG00000042257
gorilla_gorilla ENSGGOG00000004315
cebus_capucinus ENSCCAG00000026077
saimiri_boliviensis_boliviensis ENSSBOG00000033564
callithrix_jacchus ENSCJAG00000002483
aotus_nancymaae ENSANAG00000025563
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032724
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033872
rattus_norvegicus ENSRNOG00000020748
cricetulus_griseus_crigri-picr ENSCGRG00015016510
bos_taurus ENSBTAG00000015839
bos_mutus ENSBMUG00000011364
ovis_aries ENSOARG00000002814
capra_hircus ENSCHIG00000015243
sus_scrofa ENSSSCG00000029251
equus_asinus_asinus ENSEASG00005008715
loxodonta_africana ENSLAFG00000029027
myotis_lucifugus ENSMLUG00000025987
dasypus_novemcinctus ENSDNOG00000035691
