sarcophilus_harrisii ENSSHAG00000011960
monodelphis_domestica ENSMODG00000018697
canis_lupus_familiaris ENSCAFG00000002495
vulpes_vulpes ENSVVUG00000008860
mustela_putorius_furo ENSMPUG00000003136
equus_asinus_asinus ENSEASG00005003602
equus_caballus ENSECAG00000005001
vicugna_pacos ENSVPAG00000005931
oryctolagus_cuniculus ENSOCUG00000015539
marmota_marmota_marmota ENSMMMG00000001752
pongo_abelii ENSPPYG00000016745
otolemur_garnettii ENSOGAG00000006174
tupaia_belangeri ENSTBEG00000001200
ornithorhynchus_anatinus ENSOANG00000002196
anas_platyrhynchos_platyrhynchos ENSAPLG00000001044
gallus_gallus ENSGALG00000031262
melopsittacus_undulatus ENSMUNG00000010783
calidris_pugnax ENSCPUG00000015059
junco_hyemalis ENSJHYG00000018136
zonotrichia_albicollis ENSZALG00000005455
serinus_canaria ENSSCAG00000008642
parus_major ENSPMJG00000008812
taeniopygia_guttata ENSTGUG00000012769
lonchura_striata_domestica ENSLSDG00000007747
ficedula_albicollis ENSFALG00000014489
apteryx_owenii ENSAOWG00000003037
apteryx_rowi ENSARWG00000013965
crocodylus_porosus ENSCPRG00005012642
pelodiscus_sinensis ENSPSIG00000000067
salvator_merianae ENSSMRG00000011902
latimeria_chalumnae ENSLACG00000002312
lepisosteus_oculatus ENSLOCG00000017039
