calidris_pygmaea ENSCPGG00000001742
calidris_pugnax ENSCPUG00000010293
melopsittacus_undulatus ENSMUNG00000013748
lepidothrix_coronata ENSLCOG00000000143
manacus_vitellinus ENSMVIG00005003544
junco_hyemalis ENSJHYG00000015946
zonotrichia_albicollis ENSZALG00000014860
serinus_canaria ENSSCAG00000011241
lonchura_striata_domestica ENSLSDG00000010254
taeniopygia_guttata ENSTGUG00000003928
ficedula_albicollis ENSFALG00000003047
cyanistes_caeruleus ENSCCEG00000020514
parus_major ENSPMJG00000019216
anser_brachyrhynchus ENSABRG00000011070
anas_platyrhynchos_platyrhynchos ENSAPLG00000015811
meleagris_gallopavo ENSMGAG00000001561
coturnix_japonica ENSCJPG00005021307
gallus_gallus ENSGALG00000004667
numida_meleagris ENSNMEG00000017289
apteryx_owenii ENSAOWG00000016961
apteryx_haastii ENSAHAG00000016004
apteryx_rowi ENSARWG00000001434
dromaius_novaehollandiae ENSDNVG00000014447
nothoprocta_perdicaria ENSNPEG00000015269
crocodylus_porosus ENSCPRG00005013918
gopherus_agassizii ENSGAGG00000006973
gopherus_agassizii ENSGAGG00000024208
chelonoidis_abingdonii ENSCABG00000003832
chrysemys_picta_bellii ENSCPBG00000015724
pelodiscus_sinensis ENSPSIG00000012201
anolis_carolinensis ENSACAG00000014989
pogona_vitticeps ENSPVIG00000019156
notechis_scutatus ENSNSUG00000014471
salvator_merianae ENSSMRG00000012393
sphenodon_punctatus ENSSPUG00000002064
phascolarctos_cinereus ENSPCIG00000003786
notamacropus_eugenii ENSMEUG00000004681
monodelphis_domestica ENSMODG00000007139
sarcophilus_harrisii ENSSHAG00000013147
chinchilla_lanigera ENSCLAG00000010751
octodon_degus ENSODEG00000010390
cavia_porcellus ENSCPOG00000008906
heterocephalus_glaber_male ENSHGLG00100009637
heterocephalus_glaber_female ENSHGLG00000009353
heterocephalus_glaber_male ENSHGLG00100004878
fukomys_damarensis ENSFDAG00000012121
ictidomys_tridecemlineatus ENSSTOG00000000401
marmota_marmota_marmota ENSMMMG00000015013
spermophilus_dauricus ENSSDAG00000003571
urocitellus_parryii ENSUPAG00010005207
castor_canadensis ENSCCNG00000013754
dipodomys_ordii ENSDORG00000007331
mus_musculus ENSMUSG00000042772
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015511
mus_spicilegus ENSMSIG00000007060
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014704
mus_pahari MGP_PahariEiJ_G0027940
