bos_mutus ENSBMUG00000016653
bos_taurus ENSBTAG00000051066
tursiops_truncatus ENSTTRG00000003079
sus_scrofa ENSSSCG00000026141
equus_asinus_asinus ENSEASG00005020461
equus_caballus ENSECAG00000001608
ursus_americanus ENSUAMG00000025241
ursus_maritimus ENSUMAG00000024762
canis_lupus_dingo ENSCAFG00020015138
canis_lupus_familiaris ENSCAFG00000032211
vulpes_vulpes ENSVVUG00000006541
mustela_putorius_furo ENSMPUG00000006632
neovison_vison ENSNVIG00000012902
felis_catus ENSFCAG00000037563
panthera_pardus ENSPPRG00000018556
pteropus_vampyrus ENSPVAG00000008428
prolemur_simus ENSPSMG00000017305
microcebus_murinus ENSMICG00000034282
otolemur_garnettii ENSOGAG00000017178
pan_troglodytes ENSPTRG00000022542
pan_paniscus ENSPPAG00000041219
homo_sapiens ENSG00000197951
gorilla_gorilla ENSGGOG00000014884
pongo_abelii ENSPPYG00000010453
nomascus_leucogenys ENSNLEG00000010873
piliocolobus_tephrosceles ENSPTEG00000001169
colobus_angolensis_palliatus ENSCANG00000016520
rhinopithecus_roxellana ENSRROG00000009329
rhinopithecus_bieti ENSRBIG00000008900
theropithecus_gelada ENSTGEG00000014292
mandrillus_leucophaeus ENSMLEG00000007723
papio_anubis ENSPANG00000024277
cercocebus_atys ENSCATG00000034845
macaca_mulatta ENSMMUG00000021675
macaca_fascicularis ENSMFAG00000000918
macaca_nemestrina ENSMNEG00000026705
chlorocebus_sabaeus ENSCSAG00000019658
aotus_nancymaae ENSANAG00000035516
callithrix_jacchus ENSCJAG00000020302
castor_canadensis ENSCCNG00000005871
ictidomys_tridecemlineatus ENSSTOG00000034874
carlito_syrichta ENSTSYG00000035291
sorex_araneus ENSSARG00000001620
procavia_capensis ENSPCAG00000002876
