lepidothrix_coronata ENSLCOG00000006422
manacus_vitellinus ENSMVIG00005006905
lonchura_striata_domestica ENSLSDG00000015079
taeniopygia_guttata ENSTGUG00000017052
serinus_canaria ENSSCAG00000001453
junco_hyemalis ENSJHYG00000015418
parus_major ENSPMJG00000002584
cyanistes_caeruleus ENSCCEG00000015543
zonotrichia_albicollis ENSZALG00000003831
ficedula_albicollis ENSFALG00000010579
melopsittacus_undulatus ENSMUNG00000012896
calidris_pugnax ENSCPUG00000018705
calidris_pygmaea ENSCPGG00000010900
gallus_gallus ENSGALG00000043920
coturnix_japonica ENSCJPG00005018706
meleagris_gallopavo ENSMGAG00000005533
numida_meleagris ENSNMEG00000016083
anser_brachyrhynchus ENSABRG00000020862
anas_platyrhynchos_platyrhynchos ENSAPLG00000006113
apteryx_haastii ENSAHAG00000006413
apteryx_owenii ENSAOWG00000012173
apteryx_rowi ENSARWG00000018931
dromaius_novaehollandiae ENSDNVG00000010545
nothoprocta_perdicaria ENSNPEG00000010380
crocodylus_porosus ENSCPRG00005018512
chelonoidis_abingdonii ENSCABG00000019279
gopherus_agassizii ENSGAGG00000021497
chrysemys_picta_bellii ENSCPBG00000023583
pelodiscus_sinensis ENSPSIG00000010246
pogona_vitticeps ENSPVIG00000018045
notechis_scutatus ENSNSUG00000018675
salvator_merianae ENSSMRG00000007899
sphenodon_punctatus ENSSPUG00000001311
notamacropus_eugenii ENSMEUG00000010527
phascolarctos_cinereus ENSPCIG00000026992
sarcophilus_harrisii ENSSHAG00000004497
monodelphis_domestica ENSMODG00000015904
monodelphis_domestica ENSMODG00000022857
loxodonta_africana ENSLAFG00000008283
procavia_capensis ENSPCAG00000008570
echinops_telfairi ENSETEG00000006981
dasypus_novemcinctus ENSDNOG00000035954
choloepus_hoffmanni ENSCHOG00000006644
pan_troglodytes ENSPTRG00000000275
pan_paniscus ENSPPAG00000008478
gorilla_gorilla ENSGGOG00000003507
homo_sapiens ENSG00000169914
pongo_abelii ENSPPYG00000001782
nomascus_leucogenys ENSNLEG00000035569
macaca_fascicularis ENSMFAG00000032973
macaca_nemestrina ENSMNEG00000040207
cercocebus_atys ENSCATG00000033229
mandrillus_leucophaeus ENSMLEG00000043730
macaca_mulatta ENSMMUG00000010764
papio_anubis ENSPANG00000000487
theropithecus_gelada ENSTGEG00000025503
chlorocebus_sabaeus ENSCSAG00000000884
piliocolobus_tephrosceles ENSPTEG00000004380
colobus_angolensis_palliatus ENSCANG00000039084
rhinopithecus_roxellana ENSRROG00000039800
rhinopithecus_bieti ENSRBIG00000036117
cebus_capucinus ENSCCAG00000004222
saimiri_boliviensis_boliviensis ENSSBOG00000027991
callithrix_jacchus ENSCJAG00000006633
aotus_nancymaae ENSANAG00000022194
carlito_syrichta ENSTSYG00000010846
propithecus_coquereli ENSPCOG00000027533
prolemur_simus ENSPSMG00000003474
microcebus_murinus ENSMICG00000041815
otolemur_garnettii ENSOGAG00000002447
tupaia_belangeri ENSTBEG00000006723
dipodomys_ordii ENSDORG00000010172
castor_canadensis ENSCCNG00000020951
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027682
mus_musculus ENSMUSG00000041161
mus_spicilegus ENSMSIG00000014181
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026702
mus_pahari MGP_PahariEiJ_G0029032
rattus_norvegicus ENSRNOG00000017037
meriones_unguiculatus ENSMUGG00000024083
cricetulus_griseus_chok1gshd ENSCGRG00001020430
cricetulus_griseus_crigri-picr ENSCGRG00015024585
cricetulus_griseus_crigri ENSCGRG00000008063
mesocricetus_auratus ENSMAUG00000003039
microtus_ochrogaster ENSMOCG00000019918
nannospalax_galili ENSNGAG00000011507
jaculus_jaculus ENSJJAG00000018122
ictidomys_tridecemlineatus ENSSTOG00000019922
spermophilus_dauricus ENSSDAG00000011565
urocitellus_parryii ENSUPAG00010013425
marmota_marmota_marmota ENSMMMG00000019869
cavia_porcellus ENSCPOG00000015069
cavia_aperea ENSCAPG00000015043
octodon_degus ENSODEG00000015209
chinchilla_lanigera ENSCLAG00000008710
heterocephalus_glaber_male ENSHGLG00100012459
heterocephalus_glaber_female ENSHGLG00000014190
fukomys_damarensis ENSFDAG00000005547
oryctolagus_cuniculus ENSOCUG00000006571
ochotona_princeps ENSOPRG00000007135
pteropus_vampyrus ENSPVAG00000002578
myotis_lucifugus ENSMLUG00000012386
mustela_putorius_furo ENSMPUG00000016140
neovison_vison ENSNVIG00000015145
ursus_americanus ENSUAMG00000010453
canis_lupus_dingo ENSCAFG00020008297
canis_lupus_familiaris ENSCAFG00000015107
ailuropoda_melanoleuca ENSAMEG00000003130
ursus_maritimus ENSUMAG00000018888
vulpes_vulpes ENSVVUG00000029462
panthera_pardus ENSPPRG00000019085
panthera_tigris_altaica ENSPTIG00000010221
felis_catus ENSFCAG00000028330
sorex_araneus ENSSARG00000002601
erinaceus_europaeus ENSEEUG00000007973
capra_hircus ENSCHIG00000026122
ovis_aries ENSOARG00000009592
bos_taurus ENSBTAG00000017108
bos_mutus ENSBMUG00000022519
bison_bison_bison ENSBBBG00000016160
vicugna_pacos ENSVPAG00000010397
tursiops_truncatus ENSTTRG00000004461
sus_scrofa ENSSSCG00000039652
equus_caballus ENSECAG00000019794
equus_asinus_asinus ENSEASG00005014884
ornithorhynchus_anatinus ENSOANG00000013675
ornithorhynchus_anatinus ENSOANG00000005446
xenopus_tropicalis ENSXETG00000017576
latimeria_chalumnae ENSLACG00000018617
paramormyrops_kingsleyae ENSPKIG00000009590
scleropages_formosus ENSSFOG00015007303
pygocentrus_nattereri ENSPNAG00000020911
astyanax_mexicanus ENSAMXG00000012385
ictalurus_punctatus ENSIPUG00000021768
danio_rerio ENSDARG00000022648
mola_mola ENSMMOG00000015169
gasterosteus_aculeatus ENSGACG00000005021
acanthochromis_polyacanthus ENSAPOG00000004392
periophthalmus_magnuspinnatus ENSPMGG00000013683
hippocampus_comes ENSHCOG00000003777
amphiprion_percula ENSAPEG00000009014
amphiprion_ocellaris ENSAOCG00000015438
acanthochromis_polyacanthus ENSAPOG00000022253
stegastes_partitus ENSSPAG00000007906
haplochromis_burtoni ENSHBUG00000013064
pundamilia_nyererei ENSPNYG00000014657
maylandia_zebra ENSMZEG00005021772
maylandia_zebra ENSMZEG00005028489
astatotilapia_calliptera ENSACLG00000014844
neolamprologus_brichardi ENSNBRG00000019916
oreochromis_niloticus ENSONIG00000009233
amphilophus_citrinellus ENSACIG00000014568
cyprinodon_variegatus ENSCVAG00000001969
fundulus_heteroclitus ENSFHEG00000012416
xiphophorus_maculatus ENSXMAG00000012612
xiphophorus_couchianus ENSXCOG00000002610
gambusia_affinis ENSGAFG00000016148
poecilia_mexicana ENSPMEG00000006530
poecilia_reticulata ENSPREG00000009726
poecilia_formosa ENSPFOG00000015964
poecilia_latipinna ENSPLAG00000006852
kryptolebias_marmoratus ENSKMAG00000004897
anabas_testudineus ENSATEG00000004825
labrus_bergylta ENSLBEG00000017810
monopterus_albus ENSMALG00000008110
mastacembelus_armatus ENSMAMG00000013878
scophthalmus_maximus ENSSMAG00000007504
cynoglossus_semilaevis ENSCSEG00000004985
seriola_dumerili ENSSDUG00000002795
seriola_lalandi_dorsalis ENSSLDG00000010258
oryzias_latipes ENSORLG00020006516
oryzias_latipes_asm223469v1 ENSORLG00015020645
oryzias_latipes ENSORLG00000000274
oryzias_melastigma ENSOMEG00000016883
tetraodon_nigroviridis ENSTNIG00000005510
takifugu_rubripes ENSTRUG00000007307
esox_lucius ENSELUG00000015694
gadus_morhua ENSGMOG00000008368
lepisosteus_oculatus ENSLOCG00000007718
eptatretus_burgeri ENSEBUG00000009401
ciona_intestinalis ENSCING00000018394
