acanthochromis_polyacanthus ENSAPOG00000016707
stegastes_partitus ENSSPAG00000008508
amphilophus_citrinellus ENSACIG00000013988
poecilia_latipinna ENSPLAG00000019756
poecilia_formosa ENSPFOG00000010209
poecilia_mexicana ENSPMEG00000016359
poecilia_reticulata ENSPREG00000000778
xiphophorus_maculatus ENSXMAG00000029324
xiphophorus_couchianus ENSXCOG00000012613
cyprinodon_variegatus ENSCVAG00000004945
oryzias_latipes ENSORLG00000006685
oryzias_latipes_asm223469v1 ENSORLG00015005444
oryzias_latipes ENSORLG00020003086
oryzias_melastigma ENSOMEG00000013281
haplochromis_burtoni ENSHBUG00000001960
maylandia_zebra ENSMZEG00005016745
pundamilia_nyererei ENSPNYG00000006355
astatotilapia_calliptera ENSACLG00000016067
neolamprologus_brichardi ENSNBRG00000004262
oreochromis_niloticus ENSONIG00000003706
amphiprion_percula ENSAPEG00000024376
scophthalmus_maximus ENSSMAG00000013743
anabas_testudineus ENSATEG00000013521
seriola_dumerili ENSSDUG00000018463
seriola_lalandi_dorsalis ENSSLDG00000020904
cynoglossus_semilaevis ENSCSEG00000017019
mastacembelus_armatus ENSMAMG00000011608
labrus_bergylta ENSLBEG00000020881
takifugu_rubripes ENSTRUG00000010808
hippocampus_comes ENSHCOG00000007422
periophthalmus_magnuspinnatus ENSPMGG00000014117
fundulus_heteroclitus ENSFHEG00000018033
fundulus_heteroclitus ENSFHEG00000010138
gambusia_affinis ENSGAFG00000012255
cyprinodon_variegatus ENSCVAG00000003841
amphiprion_ocellaris ENSAOCG00000005717
seriola_lalandi_dorsalis ENSSLDG00000009748
monopterus_albus ENSMALG00000012110
mola_mola ENSMMOG00000012514
tetraodon_nigroviridis ENSTNIG00000007737
gasterosteus_aculeatus ENSGACG00000009784
gadus_morhua ENSGMOG00000008514
esox_lucius ENSELUG00000014424
pygocentrus_nattereri ENSPNAG00000019267
astyanax_mexicanus ENSAMXG00000042123
ictalurus_punctatus ENSIPUG00000012108
danio_rerio ENSDARG00000068421
paramormyrops_kingsleyae ENSPKIG00000011044
lepisosteus_oculatus ENSLOCG00000014626
latimeria_chalumnae ENSLACG00000018840
pogona_vitticeps ENSPVIG00000019871
anolis_carolinensis ENSACAG00000013060
notechis_scutatus ENSNSUG00000011517
salvator_merianae ENSSMRG00000002662
apteryx_rowi ENSARWG00000003707
dromaius_novaehollandiae ENSDNVG00000014724
chrysemys_picta_bellii ENSCPBG00000001128
chelonoidis_abingdonii ENSCABG00000001276
prolemur_simus ENSPSMG00000022848
propithecus_coquereli ENSPCOG00000004405
microcebus_murinus ENSMICG00000041693
otolemur_garnettii ENSOGAG00000030241
gorilla_gorilla ENSGGOG00000001394
pan_troglodytes ENSPTRG00000023273
homo_sapiens ENSG00000174521
nomascus_leucogenys ENSNLEG00000014133
macaca_fascicularis ENSMFAG00000035633
macaca_nemestrina ENSMNEG00000041122
cercocebus_atys ENSCATG00000021179
papio_anubis ENSPANG00000026428
theropithecus_gelada ENSTGEG00000024622
macaca_mulatta ENSMMUG00000029834
chlorocebus_sabaeus ENSCSAG00000003755
rhinopithecus_bieti ENSRBIG00000027965
rhinopithecus_roxellana ENSRROG00000033407
piliocolobus_tephrosceles ENSPTEG00000036856
cebus_capucinus ENSCCAG00000029208
saimiri_boliviensis_boliviensis ENSSBOG00000023760
callithrix_jacchus ENSCJAG00000014563
aotus_nancymaae ENSANAG00000030808
tupaia_belangeri ENSTBEG00000008349
octodon_degus ENSODEG00000001429
cavia_porcellus ENSCPOG00000005768
chinchilla_lanigera ENSCLAG00000000518
heterocephalus_glaber_female ENSHGLG00000003628
dipodomys_ordii ENSDORG00000023658
microtus_ochrogaster ENSMOCG00000002248
peromyscus_maniculatus_bairdii ENSPEMG00000012620
mesocricetus_auratus ENSMAUG00000016040
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030518
mus_spicilegus ENSMSIG00000027743
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029420
mus_musculus ENSMUSG00000007944
mus_pahari MGP_PahariEiJ_G0012657
rattus_norvegicus ENSRNOG00000018850
meriones_unguiculatus ENSMUGG00000014333
cricetulus_griseus_chok1gshd ENSCGRG00001020507
cricetulus_griseus_crigri-picr ENSCGRG00015025331
nannospalax_galili ENSNGAG00000021327
jaculus_jaculus ENSJJAG00000005479
spermophilus_dauricus ENSSDAG00000000678
marmota_marmota_marmota ENSMMMG00000020639
urocitellus_parryii ENSUPAG00010022549
ictidomys_tridecemlineatus ENSSTOG00000023966
castor_canadensis ENSCCNG00000010008
ochotona_princeps ENSOPRG00000008338
pteropus_vampyrus ENSPVAG00000011758
myotis_lucifugus ENSMLUG00000028642
equus_asinus_asinus ENSEASG00005011569
equus_caballus ENSECAG00000007996
erinaceus_europaeus ENSEEUG00000011691
neovison_vison ENSNVIG00000011067
mustela_putorius_furo ENSMPUG00000017711
ursus_americanus ENSUAMG00000028437
ailuropoda_melanoleuca ENSAMEG00000012616
canis_lupus_familiaris ENSCAFG00000030130
canis_lupus_dingo ENSCAFG00020015594
vulpes_vulpes ENSVVUG00000005898
panthera_pardus ENSPPRG00000023395
panthera_tigris_altaica ENSPTIG00000010806
felis_catus ENSFCAG00000012178
capra_hircus ENSCHIG00000007381
ovis_aries ENSOARG00000006508
bos_taurus ENSBTAG00000046666
bos_mutus ENSBMUG00000015683
bison_bison_bison ENSBBBG00000018123
vicugna_pacos ENSVPAG00000009084
sus_scrofa ENSSSCG00000002991
procavia_capensis ENSPCAG00000012914
loxodonta_africana ENSLAFG00000023226
dasypus_novemcinctus ENSDNOG00000041015
notamacropus_eugenii ENSMEUG00000006303
phascolarctos_cinereus ENSPCIG00000020987
monodelphis_domestica ENSMODG00000007597
ornithorhynchus_anatinus ENSOANG00000005597
xenopus_tropicalis ENSXETG00000031820
chrysemys_picta_bellii ENSCPBG00000017964
anolis_carolinensis ENSACAG00000000972
oryctolagus_cuniculus ENSOCUG00000009479
latimeria_chalumnae ENSLACG00000007187
eptatretus_burgeri ENSEBUG00000004246
