ursus_maritimus ENSUMAG00000004368
ursus_americanus ENSUAMG00000008215
neovison_vison ENSNVIG00000020196
panthera_pardus ENSPPRG00000021125
panthera_tigris_altaica ENSPTIG00000008328
felis_catus ENSFCAG00000032725
equus_caballus ENSECAG00000035474
equus_asinus_asinus ENSEASG00005008074
macaca_fascicularis ENSMFAG00000012756
piliocolobus_tephrosceles ENSPTEG00000026921
callithrix_jacchus ENSCJAG00000041478
rhinopithecus_roxellana ENSRROG00000020487
rhinopithecus_bieti ENSRBIG00000023474
macaca_mulatta ENSMMUG00000042000
theropithecus_gelada ENSTGEG00000000148
mandrillus_leucophaeus ENSMLEG00000027412
pan_paniscus ENSPPAG00000011861
cebus_capucinus ENSCCAG00000020076
carlito_syrichta ENSTSYG00000032637
prolemur_simus ENSPSMG00000007682
microcebus_murinus ENSMICG00000034379
