seriola_dumerili ENSSDUG00000022724
seriola_lalandi_dorsalis ENSSLDG00000010415
scophthalmus_maximus ENSSMAG00000014825
cynoglossus_semilaevis ENSCSEG00000003788
anabas_testudineus ENSATEG00000015520
monopterus_albus ENSMALG00000012018
mastacembelus_armatus ENSMAMG00000015502
fundulus_heteroclitus ENSFHEG00000001135
cyprinodon_variegatus ENSCVAG00000011459
poecilia_formosa ENSPFOG00000016906
poecilia_mexicana ENSPMEG00000009034
poecilia_latipinna ENSPLAG00000018500
poecilia_reticulata ENSPREG00000020247
xiphophorus_maculatus ENSXMAG00000016819
xiphophorus_couchianus ENSXCOG00000008693
gambusia_affinis ENSGAFG00000019398
kryptolebias_marmoratus ENSKMAG00000004920
oryzias_latipes ENSORLG00000002003
oryzias_latipes ENSORLG00020008446
oryzias_latipes_asm223469v1 ENSORLG00015004579
oryzias_melastigma ENSOMEG00000010860
pundamilia_nyererei ENSPNYG00000010180
haplochromis_burtoni ENSHBUG00000016056
maylandia_zebra ENSMZEG00005020079
astatotilapia_calliptera ENSACLG00000015049
neolamprologus_brichardi ENSNBRG00000002341
oreochromis_niloticus ENSONIG00000002907
amphilophus_citrinellus ENSACIG00000012290
amphiprion_ocellaris ENSAOCG00000004674
amphiprion_percula ENSAPEG00000014565
acanthochromis_polyacanthus ENSAPOG00000023061
stegastes_partitus ENSSPAG00000016062
takifugu_rubripes ENSTRUG00000016024
tetraodon_nigroviridis ENSTNIG00000017635
mola_mola ENSMMOG00000005526
labrus_bergylta ENSLBEG00000019716
hippocampus_comes ENSHCOG00000016355
periophthalmus_magnuspinnatus ENSPMGG00000007659
gadus_morhua ENSGMOG00000018816
esox_lucius ENSELUG00000003877
pygocentrus_nattereri ENSPNAG00000014391
astyanax_mexicanus ENSAMXG00000010826
ictalurus_punctatus ENSIPUG00000008546
danio_rerio ENSDARG00000100466
paramormyrops_kingsleyae ENSPKIG00000015038
scleropages_formosus ENSSFOG00015021816
scleropages_formosus ENSSFOG00015010790
paramormyrops_kingsleyae ENSPKIG00000009970
xiphophorus_couchianus ENSXCOG00000000661
