crocodylus_porosus ENSCPRG00005002706
chrysemys_picta ENSCPBG00000004270
anser_brachyrhynchus ENSABRG00000012511
gallus_gallus ENSGALG00000044406
lonchura_striata ENSLSDG00000007606
apteryx_rowi ENSARWG00000001258
chelonoidis_abingdonii ENSCABG00000022211
lepidothrix_coronata ENSLCOG00000005149
ficedula_albicollis ENSFALG00000000551
parus_major ENSPMJG00000017909
meleagris_gallopavo ENSMGAG00000008558
coturnix_japonica ENSCJPG00005002362
numida_meleagris ENSNMEG00000006753
nothoprocta_perdicaria ENSNPEG00000011815
notechis_scutatus ENSNSUG00000016997
pogona_vitticeps ENSPVIG00000015592
salvator_merianae ENSSMRG00000005857
sphenodon_punctatus ENSSPUG00000007278
heterocephalus_glaber ENSHGLG00100001432
heterocephalus_glaber ENSHGLG00000014729
fukomys_damarensis ENSFDAG00000013247
chinchilla_lanigera ENSCLAG00000016104
cavia_porcellus ENSCPOG00000009051
cavia_aperea ENSCAPG00000000044
octodon_degus ENSODEG00000017789
oryctolagus_cuniculus ENSOCUG00000021711
ochotona_princeps ENSOPRG00000013291
carlito_syrichta ENSTSYG00000027691
dasypus_novemcinctus ENSDNOG00000048289
cricetulus_griseus ENSCGRG00015015508
cricetulus_griseus ENSCGRG00000016484
cricetulus_griseus ENSCGRG00001006517
mesocricetus_auratus ENSMAUG00000020772
microtus_ochrogaster ENSMOCG00000018923
peromyscus_maniculatus ENSPEMG00000014869
mus_musculus ENSMUSG00000061718
mus_spicilegus ENSMSIG00000016752
mus_spretus MGP_SPRETEiJ_G0017925
mus_caroli MGP_CAROLIEiJ_G0017079
mus_pahari MGP_PahariEiJ_G0018208
rattus_norvegicus ENSRNOG00000028404
meriones_unguiculatus ENSMUGG00000003521
jaculus_jaculus ENSJJAG00000004573
castor_canadensis ENSCCNG00000004358
ictidomys_tridecemlineatus ENSSTOG00000000701
spermophilus_dauricus ENSSDAG00000004431
marmota_marmota ENSMMMG00000019589
urocitellus_parryii ENSUPAG00010007566
loxodonta_africana ENSLAFG00000016037
neovison_vison ENSNVIG00000004367
mustela_putorius ENSMPUG00000014997
ursus_maritimus ENSUMAG00000017350
ursus_americanus ENSUAMG00000009409
ailuropoda_melanoleuca ENSAMEG00000010090
canis_lupus ENSCAFG00000016396
canis_lupus ENSCAFG00020022792
vulpes_vulpes ENSVVUG00000001414
panthera_tigris ENSPTIG00000010996
panthera_pardus ENSPPRG00000011935
felis_catus ENSFCAG00000009898
equus_asinus ENSEASG00005002154
equus_caballus ENSECAG00000020165
tursiops_truncatus ENSTTRG00000008193
pteropus_vampyrus ENSPVAG00000008512
erinaceus_europaeus ENSEEUG00000006508
propithecus_coquereli ENSPCOG00000026636
microcebus_murinus ENSMICG00000010515
otolemur_garnettii ENSOGAG00000004113
saimiri_boliviensis ENSSBOG00000022726
cebus_capucinus ENSCCAG00000021509
callithrix_jacchus ENSCJAG00000008712
aotus_nancymaae ENSANAG00000019667
pan_paniscus ENSPPAG00000028534
pan_troglodytes ENSPTRG00000009095
homo_sapiens ENSG00000131771
gorilla_gorilla ENSGGOG00000006745
pongo_abelii ENSPPYG00000008484
nomascus_leucogenys ENSNLEG00000000902
rhinopithecus_bieti ENSRBIG00000037674
rhinopithecus_roxellana ENSRROG00000031338
colobus_angolensis ENSCANG00000040171
macaca_nemestrina ENSMNEG00000041007
macaca_fascicularis ENSMFAG00000041728
theropithecus_gelada ENSTGEG00000003357
papio_anubis ENSPANG00000021819
cercocebus_atys ENSCATG00000044720
mandrillus_leucophaeus ENSMLEG00000010019
chlorocebus_sabaeus ENSCSAG00000002700
piliocolobus_tephrosceles ENSPTEG00000018975
macaca_mulatta ENSMMUG00000001405
tupaia_belangeri ENSTBEG00000012136
bos_indicus ENSBIXG00000011376
bos_indicus ENSBIXG00005030991
bos_mutus ENSBMUG00000002027
bison_bison ENSBBBG00000000496
ovis_aries ENSOARG00000011394
capra_hircus ENSCHIG00000027251
bos_taurus ENSBTAG00000006035
prolemur_simus ENSPSMG00000009603
myotis_lucifugus ENSMLUG00000014973
capra_hircus ENSCHIG00000000236
dipodomys_ordii ENSDORG00000014266
nannospalax_galili ENSNGAG00000013892
procavia_capensis ENSPCAG00000013902
sus_scrofa ENSSSCG00000017498
echinops_telfairi ENSETEG00000019500
phascolarctos_cinereus ENSPCIG00000036699
vombatus_ursinus ENSVURG00010005990
notamacropus_eugenii ENSMEUG00000010210
sarcophilus_harrisii ENSSHAG00000015416
monodelphis_domestica ENSMODG00000012788
xenopus_tropicalis ENSXETG00000018755
latimeria_chalumnae ENSLACG00000016105
poecilia_mexicana ENSPMEG00000008435
poecilia_formosa ENSPFOG00000001758
poecilia_reticulata ENSPREG00000023208
poecilia_latipinna ENSPLAG00000016670
xiphophorus_maculatus ENSXMAG00000009945
gambusia_affinis ENSGAFG00000003785
fundulus_heteroclitus ENSFHEG00000015651
kryptolebias_marmoratus ENSKMAG00000017109
gouania_willdenowi ENSGWIG00000008874
oryzias_melastigma ENSOMEG00000014902
