propithecus_coquereli ENSPCOG00000024831
prolemur_simus ENSPSMG00000010254
microcebus_murinus ENSMICG00000000543
pan_troglodytes ENSPTRG00000028204
gorilla_gorilla ENSGGOG00000022006
homo_sapiens ENSG00000183631
pongo_abelii ENSPPYG00000020701
nomascus_leucogenys ENSNLEG00000030417
piliocolobus_tephrosceles ENSPTEG00000034663
colobus_angolensis_palliatus ENSCANG00000040500
rhinopithecus_roxellana ENSRROG00000037153
theropithecus_gelada ENSTGEG00000022142
papio_anubis ENSPANG00000014924
cercocebus_atys ENSCATG00000037226
macaca_nemestrina ENSMNEG00000028118
macaca_fascicularis ENSMFAG00000037202
macaca_mulatta ENSMMUG00000017464
mandrillus_leucophaeus ENSMLEG00000031176
chlorocebus_sabaeus ENSCSAG00000018326
callithrix_jacchus ENSCJAG00000002938
saimiri_boliviensis_boliviensis ENSSBOG00000019883
cebus_capucinus ENSCCAG00000022239
aotus_nancymaae ENSANAG00000030781
oryctolagus_cuniculus ENSOCUG00000015056
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034190
mus_spicilegus ENSMSIG00000029548
mus_musculus ENSMUSG00000037086
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033032
mus_pahari MGP_PahariEiJ_G0031577
rattus_norvegicus ENSRNOG00000049388
meriones_unguiculatus ENSMUGG00000010300
cricetulus_griseus_crigri-picr ENSCGRG00015014117
cricetulus_griseus_chok1gshd ENSCGRG00001015711
cricetulus_griseus_crigri ENSCGRG00000005675
mesocricetus_auratus ENSMAUG00000005400
microtus_ochrogaster ENSMOCG00000011393
peromyscus_maniculatus_bairdii ENSPEMG00000015245
nannospalax_galili ENSNGAG00000018571
jaculus_jaculus ENSJJAG00000016058
dipodomys_ordii ENSDORG00000008230
urocitellus_parryii ENSUPAG00010022703
ictidomys_tridecemlineatus ENSSTOG00000008662
spermophilus_dauricus ENSSDAG00000008304
marmota_marmota_marmota ENSMMMG00000005535
carlito_syrichta ENSTSYG00000009725
canis_lupus_familiaris ENSCAFG00000018654
canis_lupus_dingo ENSCAFG00020001830
vulpes_vulpes ENSVVUG00000008849
neovison_vison ENSNVIG00000024513
ursus_americanus ENSUAMG00000011817
ailuropoda_melanoleuca ENSAMEG00000000802
panthera_tigris_altaica ENSPTIG00000000138
panthera_pardus ENSPPRG00000022856
felis_catus ENSFCAG00000009525
equus_caballus ENSECAG00000007753
equus_asinus_asinus ENSEASG00005006937
myotis_lucifugus ENSMLUG00000016470
tursiops_truncatus ENSTTRG00000016888
sus_scrofa ENSSSCG00000012647
bos_mutus ENSBMUG00000019592
bos_taurus ENSBTAG00000008763
ovis_aries ENSOARG00000014513
capra_hircus ENSCHIG00000000458
