paramormyrops_kingsleyae ENSPKIG00000007909
scleropages_formosus ENSSFOG00015011540
scleropages_formosus ENSSFOG00015007990
xiphophorus_maculatus ENSXMAG00000016960
xiphophorus_couchianus ENSXCOG00000014983
poecilia_formosa ENSPFOG00000015697
poecilia_formosa ENSPFOG00000000119
poecilia_latipinna ENSPLAG00000002014
poecilia_mexicana ENSPMEG00000019892
poecilia_reticulata ENSPREG00000006112
gambusia_affinis ENSGAFG00000021391
cyprinodon_variegatus ENSCVAG00000021844
fundulus_heteroclitus ENSFHEG00000015164
oryzias_latipes ENSORLG00000017203
oryzias_latipes_asm223469v1 ENSORLG00015010460
oryzias_latipes ENSORLG00020010517
oryzias_melastigma ENSOMEG00000005099
takifugu_rubripes ENSTRUG00000012154
tetraodon_nigroviridis ENSTNIG00000003957
mola_mola ENSMMOG00000018397
labrus_bergylta ENSLBEG00000017227
scophthalmus_maximus ENSSMAG00000020187
cynoglossus_semilaevis ENSCSEG00000010072
seriola_dumerili ENSSDUG00000020186
seriola_lalandi_dorsalis ENSSLDG00000018484
mastacembelus_armatus ENSMAMG00000014322
monopterus_albus ENSMALG00000020136
anabas_testudineus ENSATEG00000008694
maylandia_zebra ENSMZEG00005025144
haplochromis_burtoni ENSHBUG00000005725
astatotilapia_calliptera ENSACLG00000020816
pundamilia_nyererei ENSPNYG00000013774
oreochromis_niloticus ENSONIG00000009647
neolamprologus_brichardi ENSNBRG00000013249
amphilophus_citrinellus ENSACIG00000017274
kryptolebias_marmoratus ENSKMAG00000014856
amphiprion_ocellaris ENSAOCG00000018132
amphiprion_percula ENSAPEG00000004948
acanthochromis_polyacanthus ENSAPOG00000022187
stegastes_partitus ENSSPAG00000004580
gasterosteus_aculeatus ENSGACG00000013009
hippocampus_comes ENSHCOG00000020453
periophthalmus_magnuspinnatus ENSPMGG00000007113
gadus_morhua ENSGMOG00000018276
esox_lucius ENSELUG00000019046
astyanax_mexicanus ENSAMXG00000009161
pygocentrus_nattereri ENSPNAG00000004446
ictalurus_punctatus ENSIPUG00000012770
danio_rerio ENSDARG00000078694
propithecus_coquereli ENSPCOG00000025545
microcebus_murinus ENSMICG00000001559
prolemur_simus ENSPSMG00000021934
otolemur_garnettii ENSOGAG00000002330
pan_troglodytes ENSPTRG00000010077
pan_paniscus ENSPPAG00000030188
homo_sapiens ENSG00000081913
gorilla_gorilla ENSGGOG00000005176
pongo_abelii ENSPPYG00000009209
nomascus_leucogenys ENSNLEG00000008641
papio_anubis ENSPANG00000017084
macaca_nemestrina ENSMNEG00000036950
theropithecus_gelada ENSTGEG00000003954
cercocebus_atys ENSCATG00000031354
macaca_mulatta ENSMMUG00000005145
macaca_fascicularis ENSMFAG00000010807
chlorocebus_sabaeus ENSCSAG00000018190
piliocolobus_tephrosceles ENSPTEG00000027072
colobus_angolensis_palliatus ENSCANG00000031527
rhinopithecus_bieti ENSRBIG00000043821
