canis_lupus_dingo ENSCAFG00020004112
canis_lupus_familiaris ENSCAFG00000006984
vulpes_vulpes ENSVVUG00000008324
ursus_maritimus ENSUMAG00000000991
ursus_americanus ENSUAMG00000000610
ailuropoda_melanoleuca ENSAMEG00000011288
felis_catus ENSFCAG00000034027
panthera_pardus ENSPPRG00000017006
myotis_lucifugus ENSMLUG00000003259
bos_taurus ENSBTAG00000051173
bos_mutus ENSBMUG00000015469
bison_bison_bison ENSBBBG00000009886
capra_hircus ENSCHIG00000015124
tursiops_truncatus ENSTTRG00000000941
sus_scrofa ENSSSCG00000034080
vicugna_pacos ENSVPAG00000000447
pteropus_vampyrus ENSPVAG00000015964
erinaceus_europaeus ENSEEUG00000001636
equus_asinus_asinus ENSEASG00005003637
equus_caballus ENSECAG00000011913
rhinopithecus_roxellana ENSRROG00000035830
rhinopithecus_bieti ENSRBIG00000039479
colobus_angolensis_palliatus ENSCANG00000006008
piliocolobus_tephrosceles ENSPTEG00000001564
macaca_fascicularis ENSMFAG00000003500
macaca_nemestrina ENSMNEG00000035573
chlorocebus_sabaeus ENSCSAG00000012892
theropithecus_gelada ENSTGEG00000008929
mandrillus_leucophaeus ENSMLEG00000040758
papio_anubis ENSPANG00000022069
cercocebus_atys ENSCATG00000019230
homo_sapiens ENSG00000185982
gorilla_gorilla ENSGGOG00000013061
pongo_abelii ENSPPYG00000010875
nomascus_leucogenys ENSNLEG00000009554
cebus_capucinus ENSCCAG00000036019
saimiri_boliviensis_boliviensis ENSSBOG00000016371
callithrix_jacchus ENSCJAG00000020823
aotus_nancymaae ENSANAG00000023934
carlito_syrichta ENSTSYG00000013117
prolemur_simus ENSPSMG00000003231
prolemur_simus ENSPSMG00000003215
propithecus_coquereli ENSPCOG00000028072
microcebus_murinus ENSMICG00000045242
cricetulus_griseus_chok1gshd ENSCGRG00001024298
cricetulus_griseus_crigri-picr ENSCGRG00015003862
cricetulus_griseus_crigri ENSCGRG00000018198
mesocricetus_auratus ENSMAUG00000001746
microtus_ochrogaster ENSMOCG00000014494
peromyscus_maniculatus_bairdii ENSPEMG00000023897
mus_musculus ENSMUSG00000049560
mus_spicilegus ENSMSIG00000001597
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024457
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025378
mus_pahari MGP_PahariEiJ_G0025901
rattus_norvegicus ENSRNOG00000023384
meriones_unguiculatus ENSMUGG00000021598
jaculus_jaculus ENSJJAG00000016040
castor_canadensis ENSCCNG00000007249
castor_canadensis ENSCCNG00000018988
cavia_porcellus ENSCPOG00000024324
cavia_aperea ENSCAPG00000009436
octodon_degus ENSODEG00000014590
chinchilla_lanigera ENSCLAG00000000103
spermophilus_dauricus ENSSDAG00000009657
marmota_marmota_marmota ENSMMMG00000023832
urocitellus_parryii ENSUPAG00010018862
ictidomys_tridecemlineatus ENSSTOG00000006299
oryctolagus_cuniculus ENSOCUG00000017788
ochotona_princeps ENSOPRG00000005043
loxodonta_africana ENSLAFG00000017621
echinops_telfairi ENSETEG00000008062
dasypus_novemcinctus ENSDNOG00000025888
choloepus_hoffmanni ENSCHOG00000003633
