xiphophorus_maculatus ENSXMAG00000001002
xiphophorus_couchianus ENSXCOG00000016681
poecilia_formosa ENSPFOG00000007543
poecilia_mexicana ENSPMEG00000006712
poecilia_latipinna ENSPLAG00000015913
gambusia_affinis ENSGAFG00000000088
cyprinodon_variegatus ENSCVAG00000019619
fundulus_heteroclitus ENSFHEG00000011579
kryptolebias_marmoratus ENSKMAG00000004325
oryzias_latipes_asm223469v1 ENSORLG00015008949
oryzias_latipes ENSORLG00020005327
oryzias_latipes ENSORLG00000001525
oryzias_melastigma ENSOMEG00000016539
amphiprion_percula ENSAPEG00000008631
amphiprion_ocellaris ENSAOCG00000018386
acanthochromis_polyacanthus ENSAPOG00000004375
stegastes_partitus ENSSPAG00000005335
haplochromis_burtoni ENSHBUG00000023319
astatotilapia_calliptera ENSACLG00000005530
pundamilia_nyererei ENSPNYG00000021051
maylandia_zebra ENSMZEG00005012696
neolamprologus_brichardi ENSNBRG00000021912
oreochromis_niloticus ENSONIG00000018749
amphilophus_citrinellus ENSACIG00000024324
labrus_bergylta ENSLBEG00000027090
gasterosteus_aculeatus ENSGACG00000010536
tetraodon_nigroviridis ENSTNIG00000006580
takifugu_rubripes ENSTRUG00000007772
mola_mola ENSMMOG00000013159
mastacembelus_armatus ENSMAMG00000022568
monopterus_albus ENSMALG00000005862
anabas_testudineus ENSATEG00000011451
anabas_testudineus ENSATEG00000011259
anabas_testudineus ENSATEG00000006765
seriola_lalandi_dorsalis ENSSLDG00000013738
seriola_dumerili ENSSDUG00000005847
scophthalmus_maximus ENSSMAG00000000045
hippocampus_comes ENSHCOG00000002807
cynoglossus_semilaevis ENSCSEG00000014153
gadus_morhua ENSGMOG00000002031
esox_lucius ENSELUG00000001132
pygocentrus_nattereri ENSPNAG00000023852
astyanax_mexicanus ENSAMXG00000018383
ictalurus_punctatus ENSIPUG00000020910
danio_rerio ENSDARG00000016548
scleropages_formosus ENSSFOG00015000594
paramormyrops_kingsleyae ENSPKIG00000011133
notamacropus_eugenii ENSMEUG00000007080
monodelphis_domestica ENSMODG00000001387
bos_taurus ENSBTAG00000051706
bos_mutus ENSBMUG00000002132
pteropus_vampyrus ENSPVAG00000006592
erinaceus_europaeus ENSEEUG00000001093
heterocephalus_glaber_female ENSHGLG00000003892
heterocephalus_glaber_male ENSHGLG00100007094
cavia_porcellus ENSCPOG00000031388
octodon_degus ENSODEG00000008333
dipodomys_ordii ENSDORG00000027717
microtus_ochrogaster ENSMOCG00000015713
mesocricetus_auratus ENSMAUG00000016089
nannospalax_galili ENSNGAG00000015148
jaculus_jaculus ENSJJAG00000016442
oryctolagus_cuniculus ENSOCUG00000021154
tupaia_belangeri ENSTBEG00000009133
propithecus_coquereli ENSPCOG00000019508
cavia_porcellus ENSCPOG00000011967
cavia_aperea ENSCAPG00000014619
callithrix_jacchus ENSCJAG00000009960
erinaceus_europaeus ENSEEUG00000013090
choloepus_hoffmanni ENSCHOG00000002137
procavia_capensis ENSPCAG00000007829
ornithorhynchus_anatinus ENSOANG00000004621
gopherus_agassizii ENSGAGG00000022242
pelodiscus_sinensis ENSPSIG00000014914
ficedula_albicollis ENSFALG00000003920
cyanistes_caeruleus ENSCCEG00000020747
melopsittacus_undulatus ENSMUNG00000013064
anser_brachyrhynchus ENSABRG00000010186
coturnix_japonica ENSCJPG00005000426
dromaius_novaehollandiae ENSDNVG00000018303
nothoprocta_perdicaria ENSNPEG00000000433
apteryx_owenii ENSAOWG00000015915
apteryx_rowi ENSARWG00000008248
apteryx_haastii ENSAHAG00000014559
anolis_carolinensis ENSACAG00000008305
xenopus_tropicalis ENSXETG00000019377
latimeria_chalumnae ENSLACG00000011688
petromyzon_marinus ENSPMAG00000004508
eptatretus_burgeri ENSEBUG00000013800
drosophila_melanogaster FBgn0026259
ciona_savignyi ENSCSAVG00000008808
caenorhabditis_elegans_strain_n2 WBGene00021857
piliocolobus_tephrosceles ENSPTEG00000012938
piliocolobus_tephrosceles ENSPTEG00000003882
saccharomyces_cerevisiae YAL035W
