tursiops_truncatus ENSTTRG00000003270
ovis_aries ENSOARG00000005571
mesocricetus_auratus ENSMAUG00000012376
apteryx_owenii ENSAOWG00000013834
apteryx_haastii ENSAHAG00000004142
nothoprocta_perdicaria ENSNPEG00000015863
cyanistes_caeruleus ENSCCEG00000005547
parus_major ENSPMJG00000009521
ficedula_albicollis ENSFALG00000001958
serinus_canaria ENSSCAG00000011689
taeniopygia_guttata ENSTGUG00000012928
junco_hyemalis ENSJHYG00000012116
zonotrichia_albicollis ENSZALG00000010070
manacus_vitellinus ENSMVIG00005003769
melopsittacus_undulatus ENSMUNG00000014074
calidris_pugnax ENSCPUG00000009324
calidris_pygmaea ENSCPGG00000015233
meleagris_gallopavo ENSMGAG00000013957
coturnix_japonica ENSCJPG00005008155
numida_meleagris ENSNMEG00000021319
crocodylus_porosus ENSCPRG00005009074
crocodylus_porosus ENSCPRG00005009077
chrysemys_picta_bellii ENSCPBG00000021844
pelodiscus_sinensis ENSPSIG00000018159
gopherus_agassizii ENSGAGG00000011212
chelonoidis_abingdonii ENSCABG00000019176
chrysemys_picta_bellii ENSCPBG00000021840
chelonoidis_abingdonii ENSCABG00000019174
chrysemys_picta_bellii ENSCPBG00000021838
gopherus_agassizii ENSGAGG00000011210
chelonoidis_abingdonii ENSCABG00000019177
chrysemys_picta_bellii ENSCPBG00000021843
pelodiscus_sinensis ENSPSIG00000000065
