ursus_americanus ENSUAMG00000022424
ursus_maritimus ENSUMAG00000007012
mustela_putorius_furo ENSMPUG00000010118
neovison_vison ENSNVIG00000010823
canis_lupus_familiaris ENSCAFG00000017966
canis_lupus_dingo ENSCAFG00020021790
vulpes_vulpes ENSVVUG00000029977
panthera_tigris_altaica ENSPTIG00000015728
panthera_pardus ENSPPRG00000012036
equus_caballus ENSECAG00000003319
equus_asinus_asinus ENSEASG00005017265
pteropus_vampyrus ENSPVAG00000004670
myotis_lucifugus ENSMLUG00000012300
sorex_araneus ENSSARG00000012225
erinaceus_europaeus ENSEEUG00000003272
pan_troglodytes ENSPTRG00000050710
pan_paniscus ENSPPAG00000033114
homo_sapiens ENSG00000141040
gorilla_gorilla ENSGGOG00000022969
pongo_abelii ENSPPYG00000008021
nomascus_leucogenys ENSNLEG00000028358
theropithecus_gelada ENSTGEG00000005954
papio_anubis ENSPANG00000023719
macaca_fascicularis ENSMFAG00000038717
macaca_mulatta ENSMMUG00000016723
macaca_nemestrina ENSMNEG00000033114
mandrillus_leucophaeus ENSMLEG00000032106
cercocebus_atys ENSCATG00000034508
chlorocebus_sabaeus ENSCSAG00000008835
colobus_angolensis_palliatus ENSCANG00000004584
piliocolobus_tephrosceles ENSPTEG00000035945
rhinopithecus_roxellana ENSRROG00000036591
rhinopithecus_bieti ENSRBIG00000038882
callithrix_jacchus ENSCJAG00000041808
saimiri_boliviensis_boliviensis ENSSBOG00000021907
cebus_capucinus ENSCCAG00000022521
aotus_nancymaae ENSANAG00000011755
carlito_syrichta ENSTSYG00000036960
prolemur_simus ENSPSMG00000014125
propithecus_coquereli ENSPCOG00000024306
microcebus_murinus ENSMICG00000028270
chinchilla_lanigera ENSCLAG00000007484
octodon_degus ENSODEG00000007229
cavia_porcellus ENSCPOG00000030457
cavia_aperea ENSCAPG00000011758
heterocephalus_glaber_female ENSHGLG00000001276
heterocephalus_glaber_male ENSHGLG00100002396
fukomys_damarensis ENSFDAG00000017987
spermophilus_dauricus ENSSDAG00000022744
ictidomys_tridecemlineatus ENSSTOG00000015214
urocitellus_parryii ENSUPAG00010021880
marmota_marmota_marmota ENSMMMG00000022257
castor_canadensis ENSCCNG00000025085
dipodomys_ordii ENSDORG00000009473
cricetulus_griseus_chok1gshd ENSCGRG00001021885
cricetulus_griseus_crigri-picr ENSCGRG00015014622
cricetulus_griseus_crigri ENSCGRG00000006043
mesocricetus_auratus ENSMAUG00000020454
peromyscus_maniculatus_bairdii ENSPEMG00000019059
microtus_ochrogaster ENSMOCG00000021290
mus_spicilegus ENSMSIG00000017280
mus_musculus ENSMUSG00000005267
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017333
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016497
mus_pahari MGP_PahariEiJ_G0017626
rattus_norvegicus ENSRNOG00000003215
meriones_unguiculatus ENSMUGG00000017339
nannospalax_galili ENSNGAG00000001028
tupaia_belangeri ENSTBEG00000009446
loxodonta_africana ENSLAFG00000016502
procavia_capensis ENSPCAG00000005147
echinops_telfairi ENSETEG00000008692
dasypus_novemcinctus ENSDNOG00000016902
choloepus_hoffmanni ENSCHOG00000011118
oryctolagus_cuniculus ENSOCUG00000009359
ochotona_princeps ENSOPRG00000017300
bos_taurus ENSBTAG00000049358
bos_mutus ENSBMUG00000014031
bison_bison_bison ENSBBBG00000001429
capra_hircus ENSCHIG00000026153
ovis_aries ENSOARG00000016845
sus_scrofa ENSSSCG00000018031
vicugna_pacos ENSVPAG00000009838
takifugu_rubripes ENSTRUG00000021877
labrus_bergylta ENSLBEG00000008560
drosophila_melanogaster FBgn0028878
