oryctolagus_cuniculus ENSOCUG00000011222
ochotona_princeps ENSOPRG00000007271
castor_canadensis ENSCCNG00000020535
homo_sapiens ENSG00000114656
pongo_abelii ENSPPYG00000013428
nomascus_leucogenys ENSNLEG00000028765
macaca_nemestrina ENSMNEG00000029835
tupaia_belangeri ENSTBEG00000002576
ailuropoda_melanoleuca ENSAMEG00000015377
canis_lupus_familiaris ENSCAFG00000028909
panthera_pardus ENSPPRG00000003622
felis_catus ENSFCAG00000008662
panthera_tigris_altaica ENSPTIG00000017873
capra_hircus ENSCHIG00000011159
ovis_aries ENSOARG00000002974
bison_bison_bison ENSBBBG00000010529
tursiops_truncatus ENSTTRG00000007695
pteropus_vampyrus ENSPVAG00000009832
erinaceus_europaeus ENSEEUG00000006526
sorex_araneus ENSSARG00000001851
loxodonta_africana ENSLAFG00000014529
procavia_capensis ENSPCAG00000013386
echinops_telfairi ENSETEG00000009116
choloepus_hoffmanni ENSCHOG00000006888
