paramormyrops_kingsleyae ENSPKIG00000020107
scleropages_formosus ENSSFOG00015009644
seriola_dumerili ENSSDUG00000001573
seriola_lalandi_dorsalis ENSSLDG00000019920
scophthalmus_maximus ENSSMAG00000020460
gasterosteus_aculeatus ENSGACG00000007637
labrus_bergylta ENSLBEG00000001854
amphiprion_ocellaris ENSAOCG00000001973
amphiprion_percula ENSAPEG00000004671
acanthochromis_polyacanthus ENSAPOG00000019120
stegastes_partitus ENSSPAG00000000930
fundulus_heteroclitus ENSFHEG00000005202
cyprinodon_variegatus ENSCVAG00000014820
xiphophorus_maculatus ENSXMAG00000012033
xiphophorus_couchianus ENSXCOG00000003498
gambusia_affinis ENSGAFG00000000611
poecilia_formosa ENSPFOG00000002451
poecilia_mexicana ENSPMEG00000012764
poecilia_latipinna ENSPLAG00000009032
poecilia_reticulata ENSPREG00000014803
kryptolebias_marmoratus ENSKMAG00000016764
oryzias_latipes ENSORLG00020020557
oryzias_latipes ENSORLG00000014067
oryzias_latipes_asm223469v1 ENSORLG00015008829
oryzias_melastigma ENSOMEG00000015981
pundamilia_nyererei ENSPNYG00000005724
haplochromis_burtoni ENSHBUG00000010042
astatotilapia_calliptera ENSACLG00000009866
maylandia_zebra ENSMZEG00005016798
neolamprologus_brichardi ENSNBRG00000021770
oreochromis_niloticus ENSONIG00000007611
amphilophus_citrinellus ENSACIG00000014439
mastacembelus_armatus ENSMAMG00000002936
monopterus_albus ENSMALG00000016556
anabas_testudineus ENSATEG00000009921
takifugu_rubripes ENSTRUG00000012130
tetraodon_nigroviridis ENSTNIG00000005634
mola_mola ENSMMOG00000014429
periophthalmus_magnuspinnatus ENSPMGG00000016621
hippocampus_comes ENSHCOG00000002972
gadus_morhua ENSGMOG00000018941
esox_lucius ENSELUG00000011333
pygocentrus_nattereri ENSPNAG00000005931
astyanax_mexicanus ENSAMXG00000013638
ictalurus_punctatus ENSIPUG00000006660
danio_rerio ENSDARG00000101576
lepisosteus_oculatus ENSLOCG00000003838
