cebus_capucinus ENSCCAG00000019246
saimiri_boliviensis_boliviensis ENSSBOG00000020509
callithrix_jacchus ENSCJAG00000037697
aotus_nancymaae ENSANAG00000024091
homo_sapiens ENSG00000234511
pan_troglodytes ENSPTRG00000040317
gorilla_gorilla ENSGGOG00000027265
nomascus_leucogenys ENSNLEG00000005110
mandrillus_leucophaeus ENSMLEG00000031719
cercocebus_atys ENSCATG00000034297
macaca_nemestrina ENSMNEG00000045509
theropithecus_gelada ENSTGEG00000011293
chlorocebus_sabaeus ENSCSAG00000010070
macaca_fascicularis ENSMFAG00000043189
papio_anubis ENSPANG00000003590
rhinopithecus_bieti ENSRBIG00000038675
rhinopithecus_roxellana ENSRROG00000040167
piliocolobus_tephrosceles ENSPTEG00000033246
carlito_syrichta ENSTSYG00000029396
prolemur_simus ENSPSMG00000016675
microcebus_murinus ENSMICG00000040175
urocitellus_parryii ENSUPAG00010022147
marmota_marmota_marmota ENSMMMG00000010701
spermophilus_dauricus ENSSDAG00000014344
panthera_tigris_altaica ENSPTIG00000019447
panthera_pardus ENSPPRG00000024140
felis_catus ENSFCAG00000046620
neovison_vison ENSNVIG00000022567
bos_mutus ENSBMUG00000011215
bison_bison_bison ENSBBBG00000024487
ovis_aries ENSOARG00000003156
