gorilla_gorilla ENSGGOG00000004548
pan_troglodytes ENSPTRG00000049400
homo_sapiens ENSG00000203783
pongo_abelii ENSPPYG00000000821
nomascus_leucogenys ENSNLEG00000030991
papio_anubis ENSPANG00000006466
chlorocebus_sabaeus ENSCSAG00000000053
macaca_nemestrina ENSMNEG00000014390
macaca_fascicularis ENSMFAG00000012240
macaca_mulatta ENSMMUG00000021750
cercocebus_atys ENSCATG00000018008
theropithecus_gelada ENSTGEG00000018497
piliocolobus_tephrosceles ENSPTEG00000036619
callithrix_jacchus ENSCJAG00000022917
prolemur_simus ENSPSMG00000002381
mus_musculus ENSMUSG00000056270
mus_spicilegus ENSMSIG00000012746
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026200
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025256
mus_pahari MGP_PahariEiJ_G0026700
rattus_norvegicus ENSRNOG00000012312
meriones_unguiculatus ENSMUGG00000026016
peromyscus_maniculatus_bairdii ENSPEMG00000028190
microtus_ochrogaster ENSMOCG00000014036
cricetulus_griseus_chok1gshd ENSCGRG00001012763
cricetulus_griseus_crigri ENSCGRG00000019369
cricetulus_griseus_crigri-picr ENSCGRG00015007492
castor_canadensis ENSCCNG00000009904
chinchilla_lanigera ENSCLAG00000002815
fukomys_damarensis ENSFDAG00000009534
spermophilus_dauricus ENSSDAG00000002073
marmota_marmota_marmota ENSMMMG00000018166
urocitellus_parryii ENSUPAG00010015807
oryctolagus_cuniculus ENSOCUG00000005502
ochotona_princeps ENSOPRG00000009311
tupaia_belangeri ENSTBEG00000008317
vicugna_pacos ENSVPAG00000009910
tursiops_truncatus ENSTTRG00000012124
bos_mutus ENSBMUG00000021800
bison_bison_bison ENSBBBG00000013981
ovis_aries ENSOARG00000006578
ailuropoda_melanoleuca ENSAMEG00000018571
neovison_vison ENSNVIG00000017503
canis_lupus_familiaris ENSCAFG00000024226
panthera_tigris_altaica ENSPTIG00000008837
panthera_pardus ENSPPRG00000012104
felis_catus ENSFCAG00000044151
myotis_lucifugus ENSMLUG00000001451
choloepus_hoffmanni ENSCHOG00000000441
echinops_telfairi ENSETEG00000019596
