ochotona_princeps ENSOPRG00000013323
oryctolagus_cuniculus ENSOCUG00000001335
homo_sapiens ENSG00000166866
gorilla_gorilla ENSGGOG00000013125
pan_troglodytes ENSPTRG00000005118
pan_paniscus ENSPPAG00000032265
pongo_abelii ENSPPYG00000004677
nomascus_leucogenys ENSNLEG00000033040
colobus_angolensis_palliatus ENSCANG00000035881
piliocolobus_tephrosceles ENSPTEG00000030894
rhinopithecus_bieti ENSRBIG00000042917
rhinopithecus_roxellana ENSRROG00000044584
papio_anubis ENSPANG00000004850
theropithecus_gelada ENSTGEG00000015295
macaca_fascicularis ENSMFAG00000044427
macaca_mulatta ENSMMUG00000013518
macaca_nemestrina ENSMNEG00000045540
mandrillus_leucophaeus ENSMLEG00000029951
cercocebus_atys ENSCATG00000033380
chlorocebus_sabaeus ENSCSAG00000004990
saimiri_boliviensis_boliviensis ENSSBOG00000028972
cebus_capucinus ENSCCAG00000028277
callithrix_jacchus ENSCJAG00000010493
aotus_nancymaae ENSANAG00000022257
carlito_syrichta ENSTSYG00000010107
microcebus_murinus ENSMICG00000009059
propithecus_coquereli ENSPCOG00000015135
prolemur_simus ENSPSMG00000023326
otolemur_garnettii ENSOGAG00000001099
heterocephalus_glaber_female ENSHGLG00000016942
heterocephalus_glaber_male ENSHGLG00100014389
fukomys_damarensis ENSFDAG00000000155
chinchilla_lanigera ENSCLAG00000009254
octodon_degus ENSODEG00000001774
cavia_porcellus ENSCPOG00000012927
cavia_aperea ENSCAPG00000016968
ictidomys_tridecemlineatus ENSSTOG00000012304
urocitellus_parryii ENSUPAG00010016464
spermophilus_dauricus ENSSDAG00000004767
marmota_marmota_marmota ENSMMMG00000013029
castor_canadensis ENSCCNG00000020173
dipodomys_ordii ENSDORG00000001275
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016731
mus_spicilegus ENSMSIG00000003896
mus_musculus ENSMUSG00000025401
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015905
mus_pahari MGP_PahariEiJ_G0031180
rattus_norvegicus ENSRNOG00000004177
meriones_unguiculatus ENSMUGG00000009255
peromyscus_maniculatus_bairdii ENSPEMG00000018549
microtus_ochrogaster ENSMOCG00000011760
cricetulus_griseus_chok1gshd ENSCGRG00001005373
cricetulus_griseus_crigri ENSCGRG00000003965
cricetulus_griseus_crigri-picr ENSCGRG00015028375
mesocricetus_auratus ENSMAUG00000018930
nannospalax_galili ENSNGAG00000010469
jaculus_jaculus ENSJJAG00000012576
tupaia_belangeri ENSTBEG00000013287
pteropus_vampyrus ENSPVAG00000003933
myotis_lucifugus ENSMLUG00000000404
ursus_americanus ENSUAMG00000021188
ursus_maritimus ENSUMAG00000017779
ailuropoda_melanoleuca ENSAMEG00000004303
neovison_vison ENSNVIG00000000859
mustela_putorius_furo ENSMPUG00000001720
canis_lupus_familiaris ENSCAFG00000000156
canis_lupus_dingo ENSCAFG00020024230
vulpes_vulpes ENSVVUG00000019418
panthera_pardus ENSPPRG00000010635
panthera_tigris_altaica ENSPTIG00000020954
felis_catus ENSFCAG00000014568
capra_hircus ENSCHIG00000011774
ovis_aries ENSOARG00000007766
bison_bison_bison ENSBBBG00000007932
bos_mutus ENSBMUG00000025873
bos_taurus ENSBTAG00000014655
tursiops_truncatus ENSTTRG00000013052
vicugna_pacos ENSVPAG00000009649
sus_scrofa ENSSSCG00000000413
equus_asinus_asinus ENSEASG00005006355
equus_caballus ENSECAG00000021228
erinaceus_europaeus ENSEEUG00000009179
sorex_araneus ENSSARG00000013892
loxodonta_africana ENSLAFG00000017988
procavia_capensis ENSPCAG00000012286
echinops_telfairi ENSETEG00000005830
choloepus_hoffmanni ENSCHOG00000009421
dasypus_novemcinctus ENSDNOG00000006370
phascolarctos_cinereus ENSPCIG00000024623
notamacropus_eugenii ENSMEUG00000007487
sarcophilus_harrisii ENSSHAG00000005404
monodelphis_domestica ENSMODG00000019400
ornithorhynchus_anatinus ENSOANG00000021789
ornithorhynchus_anatinus ENSOANG00000021237
anolis_carolinensis ENSACAG00000007259
pogona_vitticeps ENSPVIG00000006476
notechis_scutatus ENSNSUG00000001367
pogona_vitticeps ENSPVIG00000011348
salvator_merianae ENSSMRG00000002216
sphenodon_punctatus ENSSPUG00000013848
gallus_gallus ENSGALG00000032598
coturnix_japonica ENSCJPG00005004563
meleagris_gallopavo ENSMGAG00000005684
numida_meleagris ENSNMEG00000015130
anser_brachyrhynchus ENSABRG00000018193
anas_platyrhynchos_platyrhynchos ENSAPLG00000026849
calidris_pygmaea ENSCPGG00000007605
calidris_pugnax ENSCPUG00000003981
melopsittacus_undulatus ENSMUNG00000007687
lonchura_striata_domestica ENSLSDG00000015287
taeniopygia_guttata ENSTGUG00000015653
junco_hyemalis ENSJHYG00000000698
ficedula_albicollis ENSFALG00000000404
parus_major ENSPMJG00000005052
cyanistes_caeruleus ENSCCEG00000006850
lepidothrix_coronata ENSLCOG00000011465
apteryx_rowi ENSARWG00000001485
apteryx_haastii ENSAHAG00000019167
apteryx_owenii ENSAOWG00000019516
dromaius_novaehollandiae ENSDNVG00000012340
melopsittacus_undulatus ENSMUNG00000001643
crocodylus_porosus ENSCPRG00005009306
chelonoidis_abingdonii ENSCABG00000005283
gopherus_agassizii ENSGAGG00000024823
chrysemys_picta_bellii ENSCPBG00000013902
xenopus_tropicalis ENSXETG00000004422
eptatretus_burgeri ENSEBUG00000009235
