octodon_degus ENSODEG00000005184
meriones_unguiculatus ENSMUGG00000008751
piliocolobus_tephrosceles ENSPTEG00000036955
theropithecus_gelada ENSTGEG00000027257
theropithecus_gelada ENSTGEG00000027368
carlito_syrichta ENSTSYG00000034311
canis_lupus_dingo ENSCAFG00020004807
canis_lupus_dingo ENSCAFG00020006743
vulpes_vulpes ENSVVUG00000018511
neovison_vison ENSNVIG00000018159
panthera_pardus ENSPPRG00000024824
canis_lupus_dingo ENSCAFG00020008000
neovison_vison ENSNVIG00000000749
neovison_vison ENSNVIG00000005696
heterocephalus_glaber_female ENSHGLG00000003844
heterocephalus_glaber_male ENSHGLG00100004656
spermophilus_dauricus ENSSDAG00000017935
marmota_marmota_marmota ENSMMMG00000015583
meriones_unguiculatus ENSMUGG00000015058
piliocolobus_tephrosceles ENSPTEG00000006210
macaca_fascicularis ENSMFAG00000031995
saimiri_boliviensis_boliviensis ENSSBOG00000033124
prolemur_simus ENSPSMG00000014515
peromyscus_maniculatus_bairdii ENSPEMG00000028476
cricetulus_griseus_crigri-picr ENSCGRG00015013997
castor_canadensis ENSCCNG00000026704
ursus_americanus ENSUAMG00000021436
ursus_maritimus ENSUMAG00000012893
vulpes_vulpes ENSVVUG00000018375
cebus_capucinus ENSCCAG00000034120
aotus_nancymaae ENSANAG00000013907
castor_canadensis ENSCCNG00000023817
phascolarctos_cinereus ENSPCIG00000014061
