poecilia_latipinna ENSPLAG00000004726
poecilia_formosa ENSPFOG00000013685
xiphophorus_maculatus ENSXMAG00000023115
oryzias_latipes ENSORLG00020012426
oryzias_latipes ENSORLG00000030337
oryzias_melastigma ENSOMEG00000019600
acanthochromis_polyacanthus ENSAPOG00000001417
stegastes_partitus ENSSPAG00000002350
astatotilapia_calliptera ENSACLG00000009099
pundamilia_nyererei ENSPNYG00000005850
oreochromis_niloticus ENSONIG00000009001
amphilophus_citrinellus ENSACIG00000024129
mola_mola ENSMMOG00000006181
tetraodon_nigroviridis ENSTNIG00000014151
gasterosteus_aculeatus ENSGACG00000018111
labrus_bergylta ENSLBEG00000016913
seriola_lalandi_dorsalis ENSSLDG00000006086
seriola_dumerili ENSSDUG00000004606
scophthalmus_maximus ENSSMAG00000010660
cynoglossus_semilaevis ENSCSEG00000014434
mastacembelus_armatus ENSMAMG00000004954
monopterus_albus ENSMALG00000005348
anabas_testudineus ENSATEG00000001057
periophthalmus_magnuspinnatus ENSPMGG00000013564
esox_lucius ENSELUG00000009488
paramormyrops_kingsleyae ENSPKIG00000007254
lepisosteus_oculatus ENSLOCG00000013572
apteryx_haastii ENSAHAG00000015040
apteryx_rowi ENSARWG00000001760
apteryx_owenii ENSAOWG00000009690
dromaius_novaehollandiae ENSDNVG00000011519
nothoprocta_perdicaria ENSNPEG00000010022
calidris_pugnax ENSCPUG00000000481
calidris_pygmaea ENSCPGG00000011367
melopsittacus_undulatus ENSMUNG00000001588
anser_brachyrhynchus ENSABRG00000016196
anas_platyrhynchos_platyrhynchos ENSAPLG00000016595
meleagris_gallopavo ENSMGAG00000002867
coturnix_japonica ENSCJPG00005004571
gallus_gallus ENSGALG00000028308
numida_meleagris ENSNMEG00000006916
junco_hyemalis ENSJHYG00000000038
zonotrichia_albicollis ENSZALG00000005209
serinus_canaria ENSSCAG00000007773
ficedula_albicollis ENSFALG00000000379
lonchura_striata_domestica ENSLSDG00000007388
taeniopygia_guttata ENSTGUG00000002351
lepidothrix_coronata ENSLCOG00000011489
manacus_vitellinus ENSMVIG00005003470
parus_major ENSPMJG00000000210
cyanistes_caeruleus ENSCCEG00000002220
crocodylus_porosus ENSCPRG00005003064
chelonoidis_abingdonii ENSCABG00000011249
gopherus_agassizii ENSGAGG00000021831
chrysemys_picta_bellii ENSCPBG00000005006
pelodiscus_sinensis ENSPSIG00000002504
anolis_carolinensis ENSACAG00000016132
pogona_vitticeps ENSPVIG00000014366
notechis_scutatus ENSNSUG00000008404
salvator_merianae ENSSMRG00000005331
sphenodon_punctatus ENSSPUG00000002275
pan_paniscus ENSPPAG00000028272
pan_troglodytes ENSPTRG00000009124
homo_sapiens ENSG00000131746
gorilla_gorilla ENSGGOG00000009684
nomascus_leucogenys ENSNLEG00000001944
macaca_mulatta ENSMMUG00000009386
macaca_fascicularis ENSMFAG00000001585
macaca_nemestrina ENSMNEG00000040756
mandrillus_leucophaeus ENSMLEG00000039591
papio_anubis ENSPANG00000021664
cercocebus_atys ENSCATG00000031207
theropithecus_gelada ENSTGEG00000006162
chlorocebus_sabaeus ENSCSAG00000002797
rhinopithecus_roxellana ENSRROG00000042906
rhinopithecus_bieti ENSRBIG00000032169
piliocolobus_tephrosceles ENSPTEG00000013970
colobus_angolensis_palliatus ENSCANG00000039880
saimiri_boliviensis_boliviensis ENSSBOG00000034575
cebus_capucinus ENSCCAG00000032978
callithrix_jacchus ENSCJAG00000013560
aotus_nancymaae ENSANAG00000036996
carlito_syrichta ENSTSYG00000000681
prolemur_simus ENSPSMG00000011442
microcebus_murinus ENSMICG00000009811
propithecus_coquereli ENSPCOG00000024055
otolemur_garnettii ENSOGAG00000001646
tupaia_belangeri ENSTBEG00000009138
castor_canadensis ENSCCNG00000022834
dipodomys_ordii ENSDORG00000016056
mus_spicilegus ENSMSIG00000026039
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017951
mus_musculus ENSMUSG00000017607
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017107
mus_pahari MGP_PahariEiJ_G0018236
rattus_norvegicus ENSRNOG00000027350
meriones_unguiculatus ENSMUGG00000000048
cricetulus_griseus_crigri ENSCGRG00000002666
cricetulus_griseus_chok1gshd ENSCGRG00001016573
cricetulus_griseus_crigri-picr ENSCGRG00015014274
mesocricetus_auratus ENSMAUG00000016240
microtus_ochrogaster ENSMOCG00000022959
peromyscus_maniculatus_bairdii ENSPEMG00000020329
nannospalax_galili ENSNGAG00000017972
jaculus_jaculus ENSJJAG00000003969
chinchilla_lanigera ENSCLAG00000013766
octodon_degus ENSODEG00000017791
cavia_porcellus ENSCPOG00000010254
cavia_aperea ENSCAPG00000010068
heterocephalus_glaber_female ENSHGLG00000011575
heterocephalus_glaber_male ENSHGLG00100009109
fukomys_damarensis ENSFDAG00000005866
urocitellus_parryii ENSUPAG00010008407
spermophilus_dauricus ENSSDAG00000007014
marmota_marmota_marmota ENSMMMG00000007390
ictidomys_tridecemlineatus ENSSTOG00000004876
oryctolagus_cuniculus ENSOCUG00000002830
ochotona_princeps ENSOPRG00000000962
ovis_aries ENSOARG00000014652
capra_hircus ENSCHIG00000026674
bos_mutus ENSBMUG00000004092
bos_taurus ENSBTAG00000007958
bison_bison_bison ENSBBBG00000024883
tursiops_truncatus ENSTTRG00000016909
sus_scrofa ENSSSCG00000017470
vicugna_pacos ENSVPAG00000007527
ursus_maritimus ENSUMAG00000017925
ursus_americanus ENSUAMG00000000799
ailuropoda_melanoleuca ENSAMEG00000008109
mustela_putorius_furo ENSMPUG00000014676
neovison_vison ENSNVIG00000002271
canis_lupus_familiaris ENSCAFG00000016044
canis_lupus_dingo ENSCAFG00020018638
vulpes_vulpes ENSVVUG00000000491
panthera_tigris_altaica ENSPTIG00000019307
panthera_pardus ENSPPRG00000009247
felis_catus ENSFCAG00000009644
pteropus_vampyrus ENSPVAG00000008585
myotis_lucifugus ENSMLUG00000004502
equus_asinus_asinus ENSEASG00005003677
equus_caballus ENSECAG00000007918
erinaceus_europaeus ENSEEUG00000008880
pongo_abelii ENSPPYG00000008458
loxodonta_africana ENSLAFG00000017735
procavia_capensis ENSPCAG00000001898
echinops_telfairi ENSETEG00000011654
dasypus_novemcinctus ENSDNOG00000031522
choloepus_hoffmanni ENSCHOG00000010409
phascolarctos_cinereus ENSPCIG00000025729
notamacropus_eugenii ENSMEUG00000002085
monodelphis_domestica ENSMODG00000013177
sarcophilus_harrisii ENSSHAG00000011346
ornithorhynchus_anatinus ENSOANG00000012954
xenopus_tropicalis ENSXETG00000030354
latimeria_chalumnae ENSLACG00000012644
