xiphophorus_maculatus ENSXMAG00000025983
xiphophorus_couchianus ENSXCOG00000003872
poecilia_reticulata ENSPREG00000004982
poecilia_mexicana ENSPMEG00000010116
poecilia_latipinna ENSPLAG00000009271
poecilia_formosa ENSPFOG00000024700
gambusia_affinis ENSGAFG00000008107
fundulus_heteroclitus ENSFHEG00000011610
cyprinodon_variegatus ENSCVAG00000017951
kryptolebias_marmoratus ENSKMAG00000010612
oryzias_latipes ENSORLG00020018303
oryzias_latipes ENSORLG00000026449
oryzias_latipes ENSORLG00015015888
oryzias_melastigma ENSOMEG00000014754
gouania_willdenowi ENSGWIG00000022744
cottoperca_gobio ENSCGOG00000006381
labrus_bergylta ENSLBEG00000004292
stegastes_partitus ENSSPAG00000017826
seriola_lalandi ENSSLDG00000007441
monopterus_albus ENSMALG00000014560
scophthalmus_maximus ENSSMAG00000019000
anabas_testudineus ENSATEG00000011303
takifugu_rubripes ENSTRUG00000022970
parambassis_ranga ENSPRNG00000019694
pundamilia_nyererei ENSPNYG00000017185
haplochromis_burtoni ENSHBUG00000009031
astatotilapia_calliptera ENSACLG00000014131
maylandia_zebra ENSMZEG00005002919
neolamprologus_brichardi ENSNBRG00000023715
amphilophus_citrinellus ENSACIG00000014806
mola_mola ENSMMOG00000010013
betta_splendens ENSBSLG00000023850
seriola_dumerili ENSSDUG00000015564
amphiprion_ocellaris ENSAOCG00000018017
amphiprion_percula ENSAPEG00000016779
acanthochromis_polyacanthus ENSAPOG00000013376
lates_calcarifer ENSLCAG00010018421
cynoglossus_semilaevis ENSCSEG00000004749
mastacembelus_armatus ENSMAMG00000006172
hippocampus_comes ENSHCOG00000001438
larimichthys_crocea ENSLCRG00005018333
periophthalmus_magnuspinnatus ENSPMGG00000021780
hucho_hucho ENSHHUG00000034729
esox_lucius ENSELUG00000006400
astyanax_mexicanus ENSAMXG00005023823
astyanax_mexicanus ENSAMXG00000032423
pygocentrus_nattereri ENSPNAG00000026111
electrophorus_electricus ENSEEEG00000010715
ictalurus_punctatus ENSIPUG00000015723
hucho_hucho ENSHHUG00000002821
hucho_hucho ENSHHUG00000027294
esox_lucius ENSELUG00000009077
astyanax_mexicanus ENSAMXG00000037207
astyanax_mexicanus ENSAMXG00005022653
pygocentrus_nattereri ENSPNAG00000000777
ictalurus_punctatus ENSIPUG00000005128
electrophorus_electricus ENSEEEG00000009523
danio_rerio ENSDARG00000108781
clupea_harengus ENSCHAG00000004185
denticeps_clupeoides ENSDCDG00000004237
clupea_harengus ENSCHAG00000004508
anabas_testudineus ENSATEG00000013340
monopterus_albus ENSMALG00000018804
betta_splendens ENSBSLG00000010903
mastacembelus_armatus ENSMAMG00000004602
amphiprion_ocellaris ENSAOCG00000022340
amphiprion_percula ENSAPEG00000017002
acanthochromis_polyacanthus ENSAPOG00000002278
stegastes_partitus ENSSPAG00000014274
periophthalmus_magnuspinnatus ENSPMGG00000013094
larimichthys_crocea ENSLCRG00005003534
cottoperca_gobio ENSCGOG00000004280
labrus_bergylta ENSLBEG00000021163
paramormyrops_kingsleyae ENSPKIG00000022610
scleropages_formosus ENSSFOG00015004080
lepisosteus_oculatus ENSLOCG00000017698
erpetoichthys_calabaricus ENSECRG00000021428
phascolarctos_cinereus ENSPCIG00000014319
vombatus_ursinus ENSVURG00010002349
monodelphis_domestica ENSMODG00000037225
pan_troglodytes ENSPTRG00000051974
pan_paniscus ENSPPAG00000027291
gorilla_gorilla ENSGGOG00000042465
homo_sapiens ENSG00000227051
nomascus_leucogenys ENSNLEG00000035486
mandrillus_leucophaeus ENSMLEG00000027977
papio_anubis ENSPANG00000035859
cercocebus_atys ENSCATG00000039107
theropithecus_gelada ENSTGEG00000005212
