panthera_pardus ENSPPRG00000008747
panthera_tigris_altaica ENSPTIG00000011932
felis_catus ENSFCAG00000042944
neovison_vison ENSNVIG00000018529
bos_mutus ENSBMUG00000011856
bison_bison_bison ENSBBBG00000014661
gorilla_gorilla ENSGGOG00000016303
pan_troglodytes ENSPTRG00000048180
homo_sapiens ENSG00000216921
nomascus_leucogenys ENSNLEG00000009305
mandrillus_leucophaeus ENSMLEG00000029883
cercocebus_atys ENSCATG00000045039
papio_anubis ENSPANG00000015971
theropithecus_gelada ENSTGEG00000018128
macaca_nemestrina ENSMNEG00000044888
macaca_fascicularis ENSMFAG00000030747
chlorocebus_sabaeus ENSCSAG00000005723
rhinopithecus_bieti ENSRBIG00000041208
rhinopithecus_roxellana ENSRROG00000045304
colobus_angolensis_palliatus ENSCANG00000030797
cebus_capucinus ENSCCAG00000028555
callithrix_jacchus ENSCJAG00000017349
aotus_nancymaae ENSANAG00000022232
