coturnix_japonica ENSCJPG00005013651
meleagris_gallopavo ENSMGAG00000015946
gallus_gallus ENSGALG00000012446
numida_meleagris ENSNMEG00000011841
anser_brachyrhynchus ENSABRG00000002633
calidris_pygmaea ENSCPGG00000018913
calidris_pugnax ENSCPUG00000015347
melopsittacus_undulatus ENSMUNG00000000890
serinus_canaria ENSSCAG00000004185
taeniopygia_guttata ENSTGUG00000010615
zonotrichia_albicollis ENSZALG00000006531
cyanistes_caeruleus ENSCCEG00000006376
parus_major ENSPMJG00000007962
ficedula_albicollis ENSFALG00000015212
lepidothrix_coronata ENSLCOG00000000432
manacus_vitellinus ENSMVIG00005017971
apteryx_haastii ENSAHAG00000001652
apteryx_owenii ENSAOWG00000010303
dromaius_novaehollandiae ENSDNVG00000011396
nothoprocta_perdicaria ENSNPEG00000012449
crocodylus_porosus ENSCPRG00005018955
gopherus_agassizii ENSGAGG00000015943
chelonoidis_abingdonii ENSCABG00000001243
chrysemys_picta ENSCPBG00000023074
pelodiscus_sinensis ENSPSIG00000000725
pogona_vitticeps ENSPVIG00000024594
anolis_carolinensis ENSACAG00000015920
notechis_scutatus ENSNSUG00000005403
salvator_merianae ENSSMRG00000015729
sarcophilus_harrisii ENSSHAG00000015537
notamacropus_eugenii ENSMEUG00000014105
ictidomys_tridecemlineatus ENSSTOG00000024480
urocitellus_parryii ENSUPAG00010004599
spermophilus_dauricus ENSSDAG00000024408
carlito_syrichta ENSTSYG00000029155
canis_lupus ENSCAFG00000001504
canis_lupus ENSCAFG00020004063
vulpes_vulpes ENSVVUG00000023709
mustela_putorius ENSMPUG00000019291
ursus_americanus ENSUAMG00000008105
ailuropoda_melanoleuca ENSAMEG00000009955
panthera_pardus ENSPPRG00000023223
felis_catus ENSFCAG00000022476
tursiops_truncatus ENSTTRG00000012560
sus_scrofa ENSSSCG00000000131
capra_hircus ENSCHIG00000008378
ovis_aries ENSOARG00000019231
bos_indicus ENSBIXG00000026778
bos_indicus ENSBIXG00005026467
bos_taurus ENSBTAG00000007259
bos_mutus ENSBMUG00000024621
bison_bison ENSBBBG00000020264
equus_asinus ENSEASG00005018843
equus_caballus ENSECAG00000006914
erinaceus_europaeus ENSEEUG00000013604
propithecus_coquereli ENSPCOG00000008451
prolemur_simus ENSPSMG00000015093
microcebus_murinus ENSMICG00000043745
otolemur_garnettii ENSOGAG00000026478
homo_sapiens ENSG00000166897
gorilla_gorilla ENSGGOG00000038051
pan_paniscus ENSPPAG00000005638
pan_troglodytes ENSPTRG00000014334
pongo_abelii ENSPPYG00000011793
theropithecus_gelada ENSTGEG00000013565
papio_anubis ENSPANG00000000918
mandrillus_leucophaeus ENSMLEG00000005407
cercocebus_atys ENSCATG00000001149
macaca_mulatta ENSMMUG00000052785
macaca_nemestrina ENSMNEG00000012245
macaca_fascicularis ENSMFAG00000026860
chlorocebus_sabaeus ENSCSAG00000019276
piliocolobus_tephrosceles ENSPTEG00000020968
colobus_angolensis ENSCANG00000002405
rhinopithecus_roxellana ENSRROG00000019355
rhinopithecus_bieti ENSRBIG00000038346
saimiri_boliviensis ENSSBOG00000006573
cebus_capucinus ENSCCAG00000014389
callithrix_jacchus ENSCJAG00000043363
aotus_nancymaae ENSANAG00000020474
aotus_nancymaae ENSANAG00000014002
cricetulus_griseus ENSCGRG00001009017
cricetulus_griseus ENSCGRG00015001694
cricetulus_griseus ENSCGRG00000019947
mesocricetus_auratus ENSMAUG00000016619
microtus_ochrogaster ENSMOCG00000014124
peromyscus_maniculatus ENSPEMG00000000144
mus_spicilegus ENSMSIG00000021511
mus_musculus ENSMUSG00000043460
mus_spretus MGP_SPRETEiJ_G0020888
mus_caroli MGP_CAROLIEiJ_G0019990
mus_pahari MGP_PahariEiJ_G0019992
rattus_norvegicus ENSRNOG00000007934
meriones_unguiculatus ENSMUGG00000008563
