pan_paniscus ENSPPAG00000007778
pan_troglodytes ENSPTRG00000048755
homo_sapiens ENSG00000262406
gorilla_gorilla ENSGGOG00000015496
nomascus_leucogenys ENSNLEG00000007183
macaca_mulatta ENSMMUG00000004250
macaca_fascicularis ENSMFAG00000037971
macaca_nemestrina ENSMNEG00000040391
cercocebus_atys ENSCATG00000032347
theropithecus_gelada ENSTGEG00000013469
papio_anubis ENSPANG00000018407
mandrillus_leucophaeus ENSMLEG00000031646
chlorocebus_sabaeus ENSCSAG00000003188
piliocolobus_tephrosceles ENSPTEG00000032008
colobus_angolensis_palliatus ENSCANG00000039995
rhinopithecus_roxellana ENSRROG00000033367
rhinopithecus_bieti ENSRBIG00000032255
saimiri_boliviensis_boliviensis ENSSBOG00000028385
cebus_capucinus ENSCCAG00000034212
callithrix_jacchus ENSCJAG00000009452
aotus_nancymaae ENSANAG00000022445
carlito_syrichta ENSTSYG00000000758
propithecus_coquereli ENSPCOG00000015277
microcebus_murinus ENSMICG00000006319
prolemur_simus ENSPSMG00000009292
otolemur_garnettii ENSOGAG00000010221
tupaia_belangeri ENSTBEG00000009604
castor_canadensis ENSCCNG00000022620
dipodomys_ordii ENSDORG00000005305
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032871
mus_spicilegus ENSMSIG00000018748
mus_musculus ENSMUSG00000049723
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031751
mus_pahari MGP_PahariEiJ_G0014630
rattus_norvegicus ENSRNOG00000030187
meriones_unguiculatus ENSMUGG00000011406
peromyscus_maniculatus_bairdii ENSPEMG00000020371
microtus_ochrogaster ENSMOCG00000020347
cricetulus_griseus_chok1gshd ENSCGRG00001013053
cricetulus_griseus_crigri ENSCGRG00000006553
cricetulus_griseus_crigri-picr ENSCGRG00015000765
mesocricetus_auratus ENSMAUG00000008249
nannospalax_galili ENSNGAG00000012323
jaculus_jaculus ENSJJAG00000019762
chinchilla_lanigera ENSCLAG00000014288
octodon_degus ENSODEG00000012714
cavia_aperea ENSCAPG00000000144
cavia_porcellus ENSCPOG00000036913
heterocephalus_glaber_female ENSHGLG00000001493
heterocephalus_glaber_male ENSHGLG00100003554
fukomys_damarensis ENSFDAG00000011628
urocitellus_parryii ENSUPAG00010019655
ictidomys_tridecemlineatus ENSSTOG00000008600
spermophilus_dauricus ENSSDAG00000016135
marmota_marmota_marmota ENSMMMG00000002359
oryctolagus_cuniculus ENSOCUG00000008303
ochotona_princeps ENSOPRG00000002133
ovis_aries ENSOARG00000004930
capra_hircus ENSCHIG00000026649
bos_mutus ENSBMUG00000024977
bos_taurus ENSBTAG00000053542
bison_bison_bison ENSBBBG00000020578
sus_scrofa ENSSSCG00000014987
vicugna_pacos ENSVPAG00000003075
equus_caballus ENSECAG00000019445
equus_asinus_asinus ENSEASG00005011046
erinaceus_europaeus ENSEEUG00000013384
sorex_araneus ENSSARG00000004343
pteropus_vampyrus ENSPVAG00000004990
myotis_lucifugus ENSMLUG00000000992
ursus_americanus ENSUAMG00000007482
ursus_maritimus ENSUMAG00000009133
ailuropoda_melanoleuca ENSAMEG00000010243
ailuropoda_melanoleuca ENSAMEG00000007968
neovison_vison ENSNVIG00000021917
mustela_putorius_furo ENSMPUG00000006848
canis_lupus_familiaris ENSCAFG00000023615
canis_lupus_dingo ENSCAFG00020009354
vulpes_vulpes ENSVVUG00000011970
panthera_pardus ENSPPRG00000012183
panthera_tigris_altaica ENSPTIG00000008238
felis_catus ENSFCAG00000010982
loxodonta_africana ENSLAFG00000010062
procavia_capensis ENSPCAG00000001250
echinops_telfairi ENSETEG00000016828
choloepus_hoffmanni ENSCHOG00000008413
dasypus_novemcinctus ENSDNOG00000016544
