cynoglossus_semilaevis ENSCSEG00000004312
takifugu_rubripes ENSTRUG00000023125
mastacembelus_armatus ENSMAMG00000023176
monopterus_albus ENSMALG00000012413
anabas_testudineus ENSATEG00000018565
seriola_lalandi_dorsalis ENSSLDG00000022984
seriola_dumerili ENSSDUG00000022967
scophthalmus_maximus ENSSMAG00000008018
poecilia_mexicana ENSPMEG00000023614
poecilia_formosa ENSPFOG00000005594
poecilia_latipinna ENSPLAG00000010115
poecilia_reticulata ENSPREG00000009646
gambusia_affinis ENSGAFG00000001217
xiphophorus_couchianus ENSXCOG00000020839
xiphophorus_maculatus ENSXMAG00000021158
fundulus_heteroclitus ENSFHEG00000005273
cyprinodon_variegatus ENSCVAG00000002767
kryptolebias_marmoratus ENSKMAG00000005935
oryzias_latipes ENSORLG00000027602
oryzias_latipes_asm223469v1 ENSORLG00015011228
oryzias_latipes ENSORLG00020018000
oryzias_melastigma ENSOMEG00000010016
maylandia_zebra ENSMZEG00005008290
pundamilia_nyererei ENSPNYG00000005157
haplochromis_burtoni ENSHBUG00000001665
astatotilapia_calliptera ENSACLG00000000409
neolamprologus_brichardi ENSNBRG00000020637
oreochromis_niloticus ENSONIG00000021092
amphilophus_citrinellus ENSACIG00000002579
amphiprion_ocellaris ENSAOCG00000009879
amphiprion_percula ENSAPEG00000008433
acanthochromis_polyacanthus ENSAPOG00000014233
stegastes_partitus ENSSPAG00000021783
mola_mola ENSMMOG00000014629
labrus_bergylta ENSLBEG00000007381
hippocampus_comes ENSHCOG00000005993
periophthalmus_magnuspinnatus ENSPMGG00000010773
gadus_morhua ENSGMOG00000019794
esox_lucius ENSELUG00000005280
paramormyrops_kingsleyae ENSPKIG00000013364
scleropages_formosus ENSSFOG00015001462
