echinops_telfairi ENSETEG00000019350
loxodonta_africana ENSLAFG00000030509
prolemur_simus ENSPSMG00000014379
microcebus_murinus ENSMICG00000000096
propithecus_coquereli ENSPCOG00000020164
otolemur_garnettii ENSOGAG00000015316
tupaia_belangeri ENSTBEG00000011282
peromyscus_maniculatus_bairdii ENSPEMG00000018142
microtus_ochrogaster ENSMOCG00000004045
mesocricetus_auratus ENSMAUG00000008312
mesocricetus_auratus ENSMAUG00000001038
cricetulus_griseus_crigri-picr ENSCGRG00015005260
cricetulus_griseus_chok1gshd ENSCGRG00001021447
cricetulus_griseus_crigri ENSCGRG00000014957
mus_musculus ENSMUSG00000030357
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029954
mus_spicilegus ENSMSIG00000024415
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028910
mus_pahari MGP_PahariEiJ_G0022674
rattus_norvegicus ENSRNOG00000006444
meriones_unguiculatus ENSMUGG00000017669
meriones_unguiculatus ENSMUGG00000017827
nannospalax_galili ENSNGAG00000022914
jaculus_jaculus ENSJJAG00000017584
castor_canadensis ENSCCNG00000002067
heterocephalus_glaber_female ENSHGLG00000002820
heterocephalus_glaber_male ENSHGLG00100010071
fukomys_damarensis ENSFDAG00000016874
octodon_degus ENSODEG00000000124
octodon_degus ENSODEG00000012986
cavia_porcellus ENSCPOG00000002453
chinchilla_lanigera ENSCLAG00000013510
marmota_marmota_marmota ENSMMMG00000018910
spermophilus_dauricus ENSSDAG00000003555
urocitellus_parryii ENSUPAG00010013011
ictidomys_tridecemlineatus ENSSTOG00000021509
oryctolagus_cuniculus ENSOCUG00000014603
ochotona_princeps ENSOPRG00000015396
pan_troglodytes ENSPTRG00000004529
pan_paniscus ENSPPAG00000008207
pan_troglodytes ENSPTRG00000044230
pan_troglodytes ENSPTRG00000048592
pan_paniscus ENSPPAG00000041043
pan_paniscus ENSPPAG00000031601
pan_troglodytes ENSPTRG00000049703
homo_sapiens ENSG00000004478
pongo_abelii ENSPPYG00000004149
colobus_angolensis_palliatus ENSCANG00000036237
piliocolobus_tephrosceles ENSPTEG00000038601
macaca_mulatta ENSMMUG00000007405
macaca_fascicularis ENSMFAG00000000504
macaca_nemestrina ENSMNEG00000007222
cercocebus_atys ENSCATG00000034988
papio_anubis ENSPANG00000010527
theropithecus_gelada ENSTGEG00000012548
mandrillus_leucophaeus ENSMLEG00000031166
chlorocebus_sabaeus ENSCSAG00000011298
nomascus_leucogenys ENSNLEG00000002835
gorilla_gorilla ENSGGOG00000010471
rhinopithecus_roxellana ENSRROG00000033559
rhinopithecus_bieti ENSRBIG00000037331
cebus_capucinus ENSCCAG00000032604
saimiri_boliviensis_boliviensis ENSSBOG00000030928
callithrix_jacchus ENSCJAG00000018746
aotus_nancymaae ENSANAG00000032425
carlito_syrichta ENSTSYG00000036028
dipodomys_ordii ENSDORG00000009357
pteropus_vampyrus ENSPVAG00000009256
myotis_lucifugus ENSMLUG00000010368
equus_asinus_asinus ENSEASG00005017141
equus_caballus ENSECAG00000020465
ursus_maritimus ENSUMAG00000014635
ursus_americanus ENSUAMG00000020890
ailuropoda_melanoleuca ENSAMEG00000004789
mustela_putorius_furo ENSMPUG00000009418
neovison_vison ENSNVIG00000004965
canis_lupus_familiaris ENSCAFG00000015576
canis_lupus_dingo ENSCAFG00020014724
vulpes_vulpes ENSVVUG00000018302
panthera_pardus ENSPPRG00000024300
panthera_tigris_altaica ENSPTIG00000012397
felis_catus ENSFCAG00000000145
capra_hircus ENSCHIG00000009943
ovis_aries ENSOARG00000011357
bos_mutus ENSBMUG00000018026
bos_taurus ENSBTAG00000007605
bison_bison_bison ENSBBBG00000011988
tursiops_truncatus ENSTTRG00000005333
sus_scrofa ENSSSCG00000000743
choloepus_hoffmanni ENSCHOG00000008576
dasypus_novemcinctus ENSDNOG00000011244
procavia_capensis ENSPCAG00000010416
erinaceus_europaeus ENSEEUG00000000012
phascolarctos_cinereus ENSPCIG00000023262
notamacropus_eugenii ENSMEUG00000008200
sarcophilus_harrisii ENSSHAG00000013978
monodelphis_domestica ENSMODG00000018354
ornithorhynchus_anatinus ENSOANG00000001038
anser_brachyrhynchus ENSABRG00000012905
anas_platyrhynchos_platyrhynchos ENSAPLG00000012198
meleagris_gallopavo ENSMGAG00000013926
gallus_gallus ENSGALG00000014331
coturnix_japonica ENSCJPG00005016644
numida_meleagris ENSNMEG00000016534
calidris_pygmaea ENSCPGG00000004653
calidris_pugnax ENSCPUG00000007332
melopsittacus_undulatus ENSMUNG00000014394
manacus_vitellinus ENSMVIG00005014199
lepidothrix_coronata ENSLCOG00000004624
lonchura_striata_domestica ENSLSDG00000012568
taeniopygia_guttata ENSTGUG00000013147
serinus_canaria ENSSCAG00000015258
junco_hyemalis ENSJHYG00000012088
zonotrichia_albicollis ENSZALG00000009977
cyanistes_caeruleus ENSCCEG00000011221
cyanistes_caeruleus ENSCCEG00000006442
parus_major ENSPMJG00000003646
ficedula_albicollis ENSFALG00000004865
apteryx_haastii ENSAHAG00000006664
apteryx_owenii ENSAOWG00000008113
apteryx_rowi ENSARWG00000002021
dromaius_novaehollandiae ENSDNVG00000011577
nothoprocta_perdicaria ENSNPEG00000006705
crocodylus_porosus ENSCPRG00005012915
chelonoidis_abingdonii ENSCABG00000012293
gopherus_agassizii ENSGAGG00000025042
chrysemys_picta_bellii ENSCPBG00000009954
pelodiscus_sinensis ENSPSIG00000013594
anolis_carolinensis ENSACAG00000015240
pogona_vitticeps ENSPVIG00000008536
salvator_merianae ENSSMRG00000023395
sphenodon_punctatus ENSSPUG00000017428
xenopus_tropicalis ENSXETG00000001644
latimeria_chalumnae ENSLACG00000007511
paramormyrops_kingsleyae ENSPKIG00000002479
scleropages_formosus ENSSFOG00015019964
paramormyrops_kingsleyae ENSPKIG00000013222
scleropages_formosus ENSSFOG00015006963
mola_mola ENSMMOG00000008280
labrus_bergylta ENSLBEG00000019600
gasterosteus_aculeatus ENSGACG00000012979
mastacembelus_armatus ENSMAMG00000010684
monopterus_albus ENSMALG00000008966
anabas_testudineus ENSATEG00000003145
seriola_lalandi_dorsalis ENSSLDG00000001753
seriola_lalandi_dorsalis ENSSLDG00000002160
cynoglossus_semilaevis ENSCSEG00000003985
seriola_lalandi_dorsalis ENSSLDG00000018585
seriola_dumerili ENSSDUG00000013003
scophthalmus_maximus ENSSMAG00000002822
