tursiops_truncatus ENSTTRG00000007829
sus_scrofa ENSSSCG00000013545
bos_indicus ENSBIXG00000022728
bos_indicus ENSBIXG00005001091
bos_taurus ENSBTAG00000021013
bos_mutus ENSBMUG00000000367
bison_bison ENSBBBG00000000506
capra_hircus ENSCHIG00000020195
ovis_aries ENSOARG00000005516
equus_asinus ENSEASG00005000331
equus_caballus ENSECAG00000037214
myotis_lucifugus ENSMLUG00000015607
chinchilla_lanigera ENSCLAG00000008831
fukomys_damarensis ENSFDAG00000016715
heterocephalus_glaber ENSHGLG00000010413
heterocephalus_glaber ENSHGLG00100000265
cavia_porcellus ENSCPOG00000003237
cavia_aperea ENSCAPG00000007484
octodon_degus ENSODEG00000015772
dipodomys_ordii ENSDORG00000030020
oryctolagus_cuniculus ENSOCUG00000024997
ochotona_princeps ENSOPRG00000017153
macaca_nemestrina ENSMNEG00000039323
macaca_fascicularis ENSMFAG00000043093
cercocebus_atys ENSCATG00000038781
rhinopithecus_roxellana ENSRROG00000028962
aotus_nancymaae ENSANAG00000021769
carlito_syrichta ENSTSYG00000028631
prolemur_simus ENSPSMG00000010210
propithecus_coquereli ENSPCOG00000015978
otolemur_garnettii ENSOGAG00000027332
callithrix_jacchus ENSCJAG00000016534
saimiri_boliviensis ENSSBOG00000019437
cebus_capucinus ENSCCAG00000013999
aotus_nancymaae ENSANAG00000035357
pan_paniscus ENSPPAG00000021486
pan_troglodytes ENSPTRG00000010369
homo_sapiens ENSG00000104833
gorilla_gorilla ENSGGOG00000027067
nomascus_leucogenys ENSNLEG00000032392
macaca_mulatta ENSMMUG00000014216
macaca_fascicularis ENSMFAG00000032489
macaca_nemestrina ENSMNEG00000038280
cercocebus_atys ENSCATG00000032861
papio_anubis ENSPANG00000017891
theropithecus_gelada ENSTGEG00000019654
mandrillus_leucophaeus ENSMLEG00000030013
chlorocebus_sabaeus ENSCSAG00000009578
piliocolobus_tephrosceles ENSPTEG00000026804
colobus_angolensis ENSCANG00000007550
rhinopithecus_roxellana ENSRROG00000010011
rhinopithecus_bieti ENSRBIG00000028889
rhinopithecus_bieti ENSRBIG00000041157
colobus_angolensis ENSCANG00000033723
mandrillus_leucophaeus ENSMLEG00000038682
pan_troglodytes ENSPTRG00000050536
pan_paniscus ENSPPAG00000029357
cricetulus_griseus ENSCGRG00001001011
cricetulus_griseus ENSCGRG00000011883
cricetulus_griseus ENSCGRG00015001516
microtus_ochrogaster ENSMOCG00000015551
peromyscus_maniculatus ENSPEMG00000028633
mus_spicilegus ENSMSIG00000021731
mus_spretus MGP_SPRETEiJ_G0022716
mus_musculus ENSMUSG00000062591
mus_caroli MGP_CAROLIEiJ_G0021805
mus_pahari MGP_PahariEiJ_G0020794
rattus_norvegicus ENSRNOG00000047505
mesocricetus_auratus ENSMAUG00000017901
meriones_unguiculatus ENSMUGG00000006560
nannospalax_galili ENSNGAG00000019498
jaculus_jaculus ENSJJAG00000001103
ictidomys_tridecemlineatus ENSSTOG00000020465
urocitellus_parryii ENSUPAG00010023665
marmota_marmota ENSMMMG00000019550
castor_canadensis ENSCCNG00000027165
neovison_vison ENSNVIG00000015845
mustela_putorius ENSMPUG00000006958
ursus_americanus ENSUAMG00000023108
ursus_maritimus ENSUMAG00000011205
canis_lupus ENSCAFG00000018634
felis_catus ENSFCAG00000010269
canis_lupus ENSCAFG00020019365
microcebus_murinus ENSMICG00000014890
panthera_pardus ENSPPRG00000011364
vulpes_vulpes ENSVVUG00000026690
pteropus_vampyrus ENSPVAG00000007258
carlito_syrichta ENSTSYG00000030208
dasypus_novemcinctus ENSDNOG00000044946
chrysemys_picta ENSCPBG00000000984
seriola_lalandi ENSSLDG00000006820
