notamacropus_eugenii ENSMEUG00000006051
sarcophilus_harrisii ENSSHAG00000003158
oryctolagus_cuniculus ENSOCUG00000008898
ochotona_princeps ENSOPRG00000004250
mus_musculus ENSMUSG00000014748
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029571
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028565
mus_pahari MGP_PahariEiJ_G0022300
rattus_norvegicus ENSRNOG00000013712
meriones_unguiculatus ENSMUGG00000011378
cricetulus_griseus_crigri ENSCGRG00000008591
cricetulus_griseus_crigri-picr ENSCGRG00015018151
cricetulus_griseus_chok1gshd ENSCGRG00001000762
mesocricetus_auratus ENSMAUG00000021571
peromyscus_maniculatus_bairdii ENSPEMG00000027878
microtus_ochrogaster ENSMOCG00000010188
nannospalax_galili ENSNGAG00000011378
pan_paniscus ENSPPAG00000037469
pan_troglodytes ENSPTRG00000012040
homo_sapiens ENSG00000144043
gorilla_gorilla ENSGGOG00000009565
pongo_abelii ENSPPYG00000012314
colobus_angolensis_palliatus ENSCANG00000019339
piliocolobus_tephrosceles ENSPTEG00000016199
rhinopithecus_bieti ENSRBIG00000033913
rhinopithecus_roxellana ENSRROG00000030003
macaca_fascicularis ENSMFAG00000041883
macaca_nemestrina ENSMNEG00000003947
mandrillus_leucophaeus ENSMLEG00000037228
papio_anubis ENSPANG00000021726
theropithecus_gelada ENSTGEG00000013093
cercocebus_atys ENSCATG00000028617
chlorocebus_sabaeus ENSCSAG00000015229
saimiri_boliviensis_boliviensis ENSSBOG00000031616
cebus_capucinus ENSCCAG00000026931
callithrix_jacchus ENSCJAG00000040577
aotus_nancymaae ENSANAG00000031586
carlito_syrichta ENSTSYG00000034453
propithecus_coquereli ENSPCOG00000014930
prolemur_simus ENSPSMG00000020922
microcebus_murinus ENSMICG00000031861
otolemur_garnettii ENSOGAG00000015331
castor_canadensis ENSCCNG00000000533
dipodomys_ordii ENSDORG00000028342
heterocephalus_glaber_male ENSHGLG00100011338
heterocephalus_glaber_female ENSHGLG00000015951
fukomys_damarensis ENSFDAG00000020188
chinchilla_lanigera ENSCLAG00000008662
cavia_porcellus ENSCPOG00000036856
octodon_degus ENSODEG00000009340
urocitellus_parryii ENSUPAG00010006019
marmota_marmota_marmota ENSMMMG00000004388
ictidomys_tridecemlineatus ENSSTOG00000022032
pteropus_vampyrus ENSPVAG00000002911
bos_taurus ENSBTAG00000002105
bos_mutus ENSBMUG00000001182
equus_caballus ENSECAG00000018768
ursus_maritimus ENSUMAG00000021576
nomascus_leucogenys ENSNLEG00000010250
homo_sapiens ENSG00000258881
macaca_mulatta ENSMMUG00000002093
mus_spicilegus ENSMSIG00000031494
canis_lupus_familiaris ENSCAFG00000003468
vulpes_vulpes ENSVVUG00000028071
mustela_putorius_furo ENSMPUG00000007372
myotis_lucifugus ENSMLUG00000007382
sorex_araneus ENSSARG00000005057
bison_bison_bison ENSBBBG00000018828
cavia_aperea ENSCAPG00000016215
jaculus_jaculus ENSJJAG00000000197
spermophilus_dauricus ENSSDAG00000021264
ovis_aries ENSOARG00000011341
capra_hircus ENSCHIG00000009683
tursiops_truncatus ENSTTRG00000012250
sus_scrofa ENSSSCG00000008317
ursus_americanus ENSUAMG00000018909
ailuropoda_melanoleuca ENSAMEG00000015850
neovison_vison ENSNVIG00000002954
canis_lupus_dingo ENSCAFG00020001930
panthera_pardus ENSPPRG00000010712
panthera_tigris_altaica ENSPTIG00000017566
felis_catus ENSFCAG00000013457
equus_asinus_asinus ENSEASG00005007555
loxodonta_africana ENSLAFG00000012734
procavia_capensis ENSPCAG00000003225
tupaia_belangeri ENSTBEG00000005449
dasypus_novemcinctus ENSDNOG00000037842
apteryx_rowi ENSARWG00000014238
apteryx_owenii ENSAOWG00000009593
apteryx_haastii ENSAHAG00000018575
nothoprocta_perdicaria ENSNPEG00000008175
calidris_pygmaea ENSCPGG00000017278
calidris_pugnax ENSCPUG00000010516
anser_brachyrhynchus ENSABRG00000012160
coturnix_japonica ENSCJPG00005006723
gopherus_agassizii ENSGAGG00000010470
salvator_merianae ENSSMRG00000015283
cyanistes_caeruleus ENSCCEG00000016900
serinus_canaria ENSSCAG00000014153
ficedula_albicollis ENSFALG00000006533
numida_meleagris ENSNMEG00000005695
dromaius_novaehollandiae ENSDNVG00000000582
chrysemys_picta_bellii ENSCPBG00000019893
chelonoidis_abingdonii ENSCABG00000005527
pelodiscus_sinensis ENSPSIG00000011018
anolis_carolinensis ENSACAG00000004278
pogona_vitticeps ENSPVIG00000020675
sphenodon_punctatus ENSSPUG00000014928
monodelphis_domestica ENSMODG00000011206
phascolarctos_cinereus ENSPCIG00000015890
cyanistes_caeruleus ENSCCEG00000007983
anas_platyrhynchos_platyrhynchos ENSAPLG00000028100
lonchura_striata_domestica ENSLSDG00000012916
ornithorhynchus_anatinus ENSOANG00000019833
vulpes_vulpes ENSVVUG00000003859
notechis_scutatus ENSNSUG00000011480
xenopus_tropicalis ENSXETG00000021530
latimeria_chalumnae ENSLACG00000007845
mastacembelus_armatus ENSMAMG00000014888
monopterus_albus ENSMALG00000015943
anabas_testudineus ENSATEG00000002532
seriola_dumerili ENSSDUG00000007494
seriola_lalandi_dorsalis ENSSLDG00000005833
scophthalmus_maximus ENSSMAG00000007698
takifugu_rubripes ENSTRUG00000022006
tetraodon_nigroviridis ENSTNIG00000003543
mola_mola ENSMMOG00000012873
gasterosteus_aculeatus ENSGACG00000019089
labrus_bergylta ENSLBEG00000028188
amphiprion_ocellaris ENSAOCG00000002948
amphiprion_percula ENSAPEG00000003878
acanthochromis_polyacanthus ENSAPOG00000007998
stegastes_partitus ENSSPAG00000004870
xiphophorus_maculatus ENSXMAG00000001858
xiphophorus_couchianus ENSXCOG00000008999
gambusia_affinis ENSGAFG00000002484
poecilia_formosa ENSPFOG00000005700
poecilia_latipinna ENSPLAG00000004317
poecilia_mexicana ENSPMEG00000012493
cyprinodon_variegatus ENSCVAG00000014425
fundulus_heteroclitus ENSFHEG00000020270
kryptolebias_marmoratus ENSKMAG00000012756
oryzias_latipes_asm223469v1 ENSORLG00015003542
oryzias_latipes ENSORLG00000007802
oryzias_latipes ENSORLG00020006136
oryzias_melastigma ENSOMEG00000016289
maylandia_zebra ENSMZEG00005021131
astatotilapia_calliptera ENSACLG00000013039
haplochromis_burtoni ENSHBUG00000003871
pundamilia_nyererei ENSPNYG00000021230
neolamprologus_brichardi ENSNBRG00000004130
oreochromis_niloticus ENSONIG00000012937
amphilophus_citrinellus ENSACIG00000009971
cynoglossus_semilaevis ENSCSEG00000004018
periophthalmus_magnuspinnatus ENSPMGG00000017996
hippocampus_comes ENSHCOG00000012400
gadus_morhua ENSGMOG00000016945
poecilia_reticulata ENSPREG00000003637
esox_lucius ENSELUG00000004257
pygocentrus_nattereri ENSPNAG00000027471
astyanax_mexicanus ENSAMXG00000005799
ictalurus_punctatus ENSIPUG00000007946
paramormyrops_kingsleyae ENSPKIG00000013695
scleropages_formosus ENSSFOG00015004704
danio_rerio ENSDARG00000044584
lepisosteus_oculatus ENSLOCG00000001643
eptatretus_burgeri ENSEBUG00000013370
ciona_intestinalis ENSCING00000005155
ciona_savignyi ENSCSAVG00000003088
drosophila_melanogaster FBgn0034849
marmota_marmota_marmota ENSMMMG00000001742
saccharomyces_cerevisiae YHR181W
