dasypus_novemcinctus ENSDNOG00000024478
choloepus_hoffmanni ENSCHOG00000010416
loxodonta_africana ENSLAFG00000021522
procavia_capensis ENSPCAG00000004390
echinops_telfairi ENSETEG00000013432
spermophilus_dauricus ENSSDAG00000000849
urocitellus_parryii ENSUPAG00010007812
ictidomys_tridecemlineatus ENSSTOG00000025512
marmota_marmota_marmota ENSMMMG00000023105
castor_canadensis ENSCCNG00000001454
mus_musculus ENSMUSG00000072845
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028334
mus_spicilegus ENSMSIG00000006309
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027342
mus_pahari MGP_PahariEiJ_G0017121
rattus_norvegicus ENSRNOG00000046764
meriones_unguiculatus ENSMUGG00000021974
peromyscus_maniculatus_bairdii ENSPEMG00000016148
microtus_ochrogaster ENSMOCG00000022135
cricetulus_griseus_crigri-picr ENSCGRG00015019021
cricetulus_griseus_chok1gshd ENSCGRG00001024889
cricetulus_griseus_crigri ENSCGRG00000006675
mesocricetus_auratus ENSMAUG00000005780
nannospalax_galili ENSNGAG00000018591
jaculus_jaculus ENSJJAG00000022846
dipodomys_ordii ENSDORG00000012858
chinchilla_lanigera ENSCLAG00000003283
octodon_degus ENSODEG00000000664
cavia_porcellus ENSCPOG00000036189
heterocephalus_glaber_female ENSHGLG00000007743
heterocephalus_glaber_male ENSHGLG00100000486
fukomys_damarensis ENSFDAG00000005344
oryctolagus_cuniculus ENSOCUG00000012626
ochotona_princeps ENSOPRG00000011229
pan_troglodytes ENSPTRG00000016102
pan_paniscus ENSPPAG00000040487
homo_sapiens ENSG00000187054
gorilla_gorilla ENSGGOG00000012506
pongo_abelii ENSPPYG00000014730
nomascus_leucogenys ENSNLEG00000009182
rhinopithecus_bieti ENSRBIG00000027791
rhinopithecus_roxellana ENSRROG00000020870
piliocolobus_tephrosceles ENSPTEG00000023478
colobus_angolensis_palliatus ENSCANG00000002262
macaca_mulatta ENSMMUG00000000552
macaca_fascicularis ENSMFAG00000039434
macaca_nemestrina ENSMNEG00000042431
chlorocebus_sabaeus ENSCSAG00000005227
papio_anubis ENSPANG00000013421
cercocebus_atys ENSCATG00000023778
theropithecus_gelada ENSTGEG00000018403
mandrillus_leucophaeus ENSMLEG00000028948
saimiri_boliviensis_boliviensis ENSSBOG00000007192
cebus_capucinus ENSCCAG00000021017
callithrix_jacchus ENSCJAG00000009860
aotus_nancymaae ENSANAG00000020889
carlito_syrichta ENSTSYG00000011043
prolemur_simus ENSPSMG00000015528
microcebus_murinus ENSMICG00000014906
propithecus_coquereli ENSPCOG00000013125
otolemur_garnettii ENSOGAG00000002392
tupaia_belangeri ENSTBEG00000017410
sorex_araneus ENSSARG00000006524
erinaceus_europaeus ENSEEUG00000007181
equus_asinus_asinus ENSEASG00005018347
equus_caballus ENSECAG00000009414
capra_hircus ENSCHIG00000001607
ovis_aries ENSOARG00000007963
bos_mutus ENSBMUG00000011791
bos_taurus ENSBTAG00000020298
bison_bison_bison ENSBBBG00000007792
tursiops_truncatus ENSTTRG00000003073
sus_scrofa ENSSSCG00000008927
vicugna_pacos ENSVPAG00000009031
myotis_lucifugus ENSMLUG00000016898
pteropus_vampyrus ENSPVAG00000005858
ailuropoda_melanoleuca ENSAMEG00000014084
ursus_maritimus ENSUMAG00000013759
neovison_vison ENSNVIG00000017374
mustela_putorius_furo ENSMPUG00000001680
canis_lupus_dingo ENSCAFG00020027122
canis_lupus_familiaris ENSCAFG00000002802
vulpes_vulpes ENSVVUG00000005490
panthera_pardus ENSPPRG00000008808
panthera_tigris_altaica ENSPTIG00000009470
felis_catus ENSFCAG00000022368
phascolarctos_cinereus ENSPCIG00000001569
notamacropus_eugenii ENSMEUG00000005643
sarcophilus_harrisii ENSSHAG00000004633
monodelphis_domestica ENSMODG00000020746
ornithorhynchus_anatinus ENSOANG00000014140
