pteropus_vampyrus ENSPVAG00000016618
myotis_lucifugus ENSMLUG00000005885
equus_caballus ENSECAG00000015591
equus_asinus_asinus ENSEASG00005020330
ursus_americanus ENSUAMG00000016134
ursus_maritimus ENSUMAG00000019222
ailuropoda_melanoleuca ENSAMEG00000017652
mustela_putorius_furo ENSMPUG00000006892
neovison_vison ENSNVIG00000009135
vulpes_vulpes ENSVVUG00000012749
canis_lupus_dingo ENSCAFG00020019682
panthera_pardus ENSPPRG00000002811
panthera_tigris_altaica ENSPTIG00000021073
bos_taurus ENSBTAG00000002824
bos_mutus ENSBMUG00000002813
bison_bison_bison ENSBBBG00000015763
ovis_aries ENSOARG00000003282
capra_hircus ENSCHIG00000025807
tursiops_truncatus ENSTTRG00000001351
sus_scrofa ENSSSCG00000023514
tursiops_truncatus ENSTTRG00000000378
vicugna_pacos ENSVPAG00000012295
erinaceus_europaeus ENSEEUG00000012625
pan_troglodytes ENSPTRG00000008256
pan_paniscus ENSPPAG00000032158
homo_sapiens ENSG00000141096
gorilla_gorilla ENSGGOG00000012625
pongo_abelii ENSPPYG00000007479
nomascus_leucogenys ENSNLEG00000005069
rhinopithecus_bieti ENSRBIG00000044138
rhinopithecus_roxellana ENSRROG00000029821
piliocolobus_tephrosceles ENSPTEG00000013290
colobus_angolensis_palliatus ENSCANG00000011480
macaca_mulatta ENSMMUG00000029101
cercocebus_atys ENSCATG00000002243
chlorocebus_sabaeus ENSCSAG00000004033
papio_anubis ENSPANG00000035043
theropithecus_gelada ENSTGEG00000011651
theropithecus_gelada ENSTGEG00000011717
papio_anubis ENSPANG00000009391
chlorocebus_sabaeus ENSCSAG00000004027
macaca_fascicularis ENSMFAG00000037108
macaca_nemestrina ENSMNEG00000032464
callithrix_jacchus ENSCJAG00000015864
cebus_capucinus ENSCCAG00000020424
aotus_nancymaae ENSANAG00000033881
carlito_syrichta ENSTSYG00000037092
prolemur_simus ENSPSMG00000010759
propithecus_coquereli ENSPCOG00000024767
microcebus_murinus ENSMICG00000046654
otolemur_garnettii ENSOGAG00000012978
tupaia_belangeri ENSTBEG00000005036
chinchilla_lanigera ENSCLAG00000016921
octodon_degus ENSODEG00000015502
cavia_porcellus ENSCPOG00000005908
heterocephalus_glaber_male ENSHGLG00100013297
heterocephalus_glaber_female ENSHGLG00000013542
fukomys_damarensis ENSFDAG00000007456
castor_canadensis ENSCCNG00000015210
mus_spicilegus ENSMSIG00000005894
mus_musculus ENSMUSG00000031898
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032625
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031507
mus_pahari MGP_PahariEiJ_G0023107
rattus_norvegicus ENSRNOG00000019757
meriones_unguiculatus ENSMUGG00000017074
cricetulus_griseus_crigri ENSCGRG00000009506
cricetulus_griseus_chok1gshd ENSCGRG00001011671
mesocricetus_auratus ENSMAUG00000017410
peromyscus_maniculatus_bairdii ENSPEMG00000013959
microtus_ochrogaster ENSMOCG00000005099
nannospalax_galili ENSNGAG00000012609
jaculus_jaculus ENSJJAG00000011227
urocitellus_parryii ENSUPAG00010000258
ictidomys_tridecemlineatus ENSSTOG00000030974
spermophilus_dauricus ENSSDAG00000018096
marmota_marmota_marmota ENSMMMG00000014599
ochotona_princeps ENSOPRG00000013886
erinaceus_europaeus ENSEEUG00000013105
loxodonta_africana ENSLAFG00000010415
procavia_capensis ENSPCAG00000010763
echinops_telfairi ENSETEG00000002827
dasypus_novemcinctus ENSDNOG00000009413
