propithecus_coquereli ENSPCOG00000016993
microcebus_murinus ENSMICG00000010821
prolemur_simus ENSPSMG00000023864
carlito_syrichta ENSTSYG00000008714
marmota_marmota_marmota ENSMMMG00000006401
urocitellus_parryii ENSUPAG00010023465
spermophilus_dauricus ENSSDAG00000014351
heterocephalus_glaber_female ENSHGLG00000005706
heterocephalus_glaber_male ENSHGLG00100014817
fukomys_damarensis ENSFDAG00000002135
chinchilla_lanigera ENSCLAG00000011044
octodon_degus ENSODEG00000014226
cavia_porcellus ENSCPOG00000032341
cavia_aperea ENSCAPG00000005849
mus_musculus ENSMUSG00000034429
mus_spicilegus ENSMSIG00000021670
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020806
mus_pahari MGP_PahariEiJ_G0019914
rattus_norvegicus ENSRNOG00000057901
rattus_norvegicus ENSRNOG00000043439
meriones_unguiculatus ENSMUGG00000010112
cricetulus_griseus_crigri-picr ENSCGRG00015018160
cricetulus_griseus_crigri ENSCGRG00000003207
cricetulus_griseus_chok1gshd ENSCGRG00001017122
mesocricetus_auratus ENSMAUG00000019306
microtus_ochrogaster ENSMOCG00000017775
peromyscus_maniculatus_bairdii ENSPEMG00000010804
nannospalax_galili ENSNGAG00000008924
jaculus_jaculus ENSJJAG00000015665
castor_canadensis ENSCCNG00000028224
equus_caballus ENSECAG00000012218
equus_asinus_asinus ENSEASG00005009663
dasypus_novemcinctus ENSDNOG00000046822
echinops_telfairi ENSETEG00000011109
