monopterus_albus ENSMALG00000008976
mastacembelus_armatus ENSMAMG00000004507
anabas_testudineus ENSATEG00000000203
seriola_dumerili ENSSDUG00000010730
seriola_lalandi_dorsalis ENSSLDG00000004472
gambusia_affinis ENSGAFG00000006276
xiphophorus_maculatus ENSXMAG00000024543
poecilia_formosa ENSPFOG00000024481
poecilia_latipinna ENSPLAG00000018066
poecilia_mexicana ENSPMEG00000023969
poecilia_reticulata ENSPREG00000007840
fundulus_heteroclitus ENSFHEG00000018656
cyprinodon_variegatus ENSCVAG00000007599
oryzias_latipes ENSORLG00000028554
oryzias_latipes ENSORLG00020019289
oryzias_latipes_asm223469v1 ENSORLG00015017390
oryzias_melastigma ENSOMEG00000003869
amphiprion_percula ENSAPEG00000016092
amphiprion_ocellaris ENSAOCG00000005214
astatotilapia_calliptera ENSACLG00000027278
haplochromis_burtoni ENSHBUG00000015755
pundamilia_nyererei ENSPNYG00000008736
maylandia_zebra ENSMZEG00005003122
amphilophus_citrinellus ENSACIG00000018775
pygocentrus_nattereri ENSPNAG00000014021
paramormyrops_kingsleyae ENSPKIG00000020840
scleropages_formosus ENSSFOG00015019660
lepisosteus_oculatus ENSLOCG00000001583
