lonchura_striata ENSLSDG00000014422
taeniopygia_guttata ENSTGUG00000010944
serinus_canaria ENSSCAG00000012704
junco_hyemalis ENSJHYG00000012031
zonotrichia_albicollis ENSZALG00000004434
ficedula_albicollis ENSFALG00000010174
parus_major ENSPMJG00000015692
cyanistes_caeruleus ENSCCEG00000013742
lepidothrix_coronata ENSLCOG00000004366
manacus_vitellinus ENSMVIG00005001723
melopsittacus_undulatus ENSMUNG00000006310
calidris_pugnax ENSCPUG00000019145
calidris_pygmaea ENSCPGG00000014033
anser_brachyrhynchus ENSABRG00000012541
anas_platyrhynchos ENSAPLG00000003822
gallus_gallus ENSGALG00000015254
coturnix_japonica ENSCJPG00005010379
meleagris_gallopavo ENSMGAG00000010851
numida_meleagris ENSNMEG00000013667
apteryx_owenii ENSAOWG00000014931
apteryx_haastii ENSAHAG00000010599
apteryx_rowi ENSARWG00000015858
dromaius_novaehollandiae ENSDNVG00000019041
nothoprocta_perdicaria ENSNPEG00000001013
crocodylus_porosus ENSCPRG00005016142
gopherus_agassizii ENSGAGG00000024706
chelonoidis_abingdonii ENSCABG00000003154
chrysemys_picta ENSCPBG00000020161
pelodiscus_sinensis ENSPSIG00000011125
cyanistes_caeruleus ENSCCEG00000007880
pogona_vitticeps ENSPVIG00000024119
anolis_carolinensis ENSACAG00000017961
notechis_scutatus ENSNSUG00000000187
salvator_merianae ENSSMRG00000010953
sphenodon_punctatus ENSSPUG00000008746
vombatus_ursinus ENSVURG00010005584
vombatus_ursinus ENSVURG00010001460
phascolarctos_cinereus ENSPCIG00000027453
notamacropus_eugenii ENSMEUG00000001386
sarcophilus_harrisii ENSSHAG00000012193
monodelphis_domestica ENSMODG00000009635
ursus_maritimus ENSUMAG00000009506
ursus_americanus ENSUAMG00000027282
ailuropoda_melanoleuca ENSAMEG00000015014
neovison_vison ENSNVIG00000024442
mustela_putorius ENSMPUG00000006922
canis_lupus ENSCAFG00020015423
vulpes_vulpes ENSVVUG00000017692
canis_lupus ENSCAFG00000006762
panthera_tigris ENSPTIG00000007462
panthera_pardus ENSPPRG00000011977
felis_catus ENSFCAG00000008556
erinaceus_europaeus ENSEEUG00000006909
sorex_araneus ENSSARG00000014015
equus_caballus ENSECAG00000011546
equus_asinus ENSEASG00005020200
pteropus_vampyrus ENSPVAG00000013501
bison_bison ENSBBBG00000017983
bos_mutus ENSBMUG00000013031
bos_indicus ENSBIXG00000017261
bos_indicus ENSBIXG00005024438
bos_taurus ENSBTAG00000005560
capra_hircus ENSCHIG00000013632
ovis_aries ENSOARG00000013407
tursiops_truncatus ENSTTRG00000015387
sus_scrofa ENSSSCG00000006266
myotis_lucifugus ENSMLUG00000013211
castor_canadensis ENSCCNG00000002285
dipodomys_ordii ENSDORG00000002635
mus_spretus MGP_SPRETEiJ_G0014736
mus_spicilegus ENSMSIG00000027619
mus_musculus ENSMUSG00000033740
mus_caroli MGP_CAROLIEiJ_G0013932
mus_pahari MGP_PahariEiJ_G0023886
rattus_norvegicus ENSRNOG00000006200
meriones_unguiculatus ENSMUGG00000018099
cricetulus_griseus ENSCGRG00015023785
cricetulus_griseus ENSCGRG00000004277
cricetulus_griseus ENSCGRG00001012689
mesocricetus_auratus ENSMAUG00000000573
microtus_ochrogaster ENSMOCG00000021621
peromyscus_maniculatus ENSPEMG00000021799
nannospalax_galili ENSNGAG00000005949
jaculus_jaculus ENSJJAG00000020074
heterocephalus_glaber ENSHGLG00100007988
heterocephalus_glaber ENSHGLG00000014452
